method,n_robots,n_tasks,runs,feasible_rate,median_regret_per_task,q25_regret_per_task,q75_regret_per_task,median_welfare_efficiency,median_iterations,median_evaluations,median_runtime_s
greedy,32,32,20,1.0,0.019144850585090897,0.014597977176519294,0.025635186207398304,0.9794369476975904,32.0,1024.0,0.0005485500005306676
potential_br,32,32,20,1.0,0.028191945451654266,0.022701658544847913,0.034441259059085974,0.9698841765037808,32.0,2112.0,0.07821220000187168
potential_exchange,32,32,20,1.0,0.00020144860198812592,0.0,0.0010271474836161497,0.9997866356446272,49.5,11288.0,0.08526895000250079
no_exclusion,32,32,20,0.0,,,,0.12742826442699798,0.0,1056.0,0.042436100004124455
hungarian,64,32,20,1.0,0.0,0.0,0.0,1.0,1.0,2048.0,3.460000152699649e-05
auction_eps,64,32,20,1.0,0.0,0.0,7.43631974828296e-06,1.0,5514.0,352896.0,0.06297864999942249
greedy,64,32,20,1.0,0.0026531583082895598,0.0017395183383042238,0.003150085269217815,0.9973334445181408,32.0,2048.0,0.0017615999968256801
potential_br,64,32,20,1.0,0.09782227258469323,0.08192971093933328,0.11120208035805482,0.9018757462527736,32.0,4224.0,0.19536240000161342
potential_exchange,64,32,20,1.0,0.0012557326167078817,0.0005520346957159934,0.0016772205896992496,0.9987418994918752,59.0,46784.0,0.2215902499956428
no_exclusion,64,32,20,0.0,,,,0.12981786289266317,0.0,2112.0,0.09672829999180976
hungarian,64,64,20,1.0,0.0,0.0,0.0,1.0,1.0,4096.0,0.0001117999927373603
auction_eps,64,64,20,1.0,7.215549486593031e-06,4.145587929722805e-06,1.2286850596763405e-05,0.9999924937299368,2079.5,133088.0,0.026593650007271208
greedy,64,64,20,1.0,0.016945349219102283,0.013062542889774889,0.024985408319632224,0.9824878287972258,64.0,4096.0,0.002691549998417031
potential_br,64,64,20,1.0,0.02521179031260183,0.022003022710621035,0.0311227186222101,0.9738592077490728,64.0,8320.0,0.3529340000022785
potential_exchange,64,64,20,1.0,0.0013246462855337204,0.0005923383620071755,0.001862853623502643,0.9986449555098686,101.0,84928.0,0.42266080000263173
no_exclusion,64,64,20,0.0,,,,0.09294835954897238,0.0,4160.0,0.16912284999853
