experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,robot_index,assigned_load_label,active,battery_fraction,x,y,theta_rad,vx,vy,target_x,target_y,target_theta_rad,wrench_margin,wrench_residual_norm,support_level,paused,degraded_speed,event_phase
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,robot,amr-06,6,1,True,0.8096443286015418,-0.8565517233953166,-4.712180850999634,,0.2363791460963604,0.05833603374413604,-0.6979250044562189,-4.660856134936431,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,robot,amr-07,7,0,True,0.7710287264912212,6.038738079596061,0.683615714596833,,0.009888881511786908,0.026271410424349804,6.038738079596061,0.683615714596833,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,robot,amr-08,8,1,True,0.7463535363772628,-1.5708202856284321,-4.6798478801271965,,0.5208357547013944,0.47320308422171303,-1.0009428252580368,-4.201857006095735,,,,,,,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,load,load-01,,1,,,-0.09667534355838725,-3.9344073444011016,0.583491970347843,0.3973680579047412,0.4759187184352103,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,1.0,False,False,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,load,load-02,,2,,,5.453976952482468,-0.002270855056715638,0.3252269505650349,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,0.0,1.0,False,False,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,17.5,load,load-03,,3,,,-0.6504608831334929,4.7242972077999195,0.1593928336475976,0.3935306779162024,-0.47909665573745586,5.76,-3.0800000000000005,0.17453292519943295,0.08030687717231033,0.0,1.0803068771723103,False,False,pre_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-01,1,3,True,0.6454614239999152,-1.531759242658584,4.077209355021897,,0.3871872877928347,-0.20495317280050093,-1.204042861312715,3.9395974082327356,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-02,2,0,True,0.7727047869369736,4.296498381787604,-0.311696127541784,,-0.017460043878352476,0.0011531574238654372,4.296498381787604,-0.311696127541784,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-03,3,3,True,0.7186759541714915,-1.625282717140892,4.933910801874943,,0.36310740684463233,-0.4956593364845313,-1.313710157592243,4.478552957537813,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,18.200000000000003,robot,amr-04,4,3,True,0.6269586604523362,0.04604013576028148,4.429594379950383,,0.37584846078419554,-0.2797547323430125,0.3611098011553081,4.191744474781721,,,,,,,post_event
