experiment_id,scenario_generator,scenario_variant_id,seed,method,assigned_robots,force_demand_n,force_error_n,load_index,mass_kg,mobile_conflict,obstacle_intersection,raw_mobile_conflicts,raw_obstacle_intersections,required_robots,route_mitigation_factor,scalar_feasible,torque_demand_nm,torque_error_nm,transport_success,travel_distance_m,wrench_feasible,wrench_residual_norm
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,92.10180489674826,14.322079166091227,3,88.99919686435028,False,False,0.0,0.0,2,0.18,True,83.62773078611822,26.703124473153025,False,40.381302612232076,False,0.3551613887952737
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,3,97.63824331597326,6.052863058804473,4,118.65426667314823,False,False,0.0,0.0,3,0.18,True,-16.380621007060164,12.632212947245822,False,16.700010011341554,False,0.1696359380527344
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,130.47689976188417,4.710728068206497,5,108.49757145218632,False,False,1.0,1.0,2,0.18,False,-66.22963148616493,10.698612577585443,False,33.21853119617003,False,0.13852045673023128
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,1,59.021721729319886,47.57399554804706,6,49.36144758114334,False,False,1.0,0.0,1,0.18,True,10.419442111852108,6.385776053262809,False,54.9964442894305,False,0.6000082275748425
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,76.77973124793013,18.384441763863208,7,91.8160667913991,False,False,0.0,0.0,2,0.18,True,0.7897657820026972,14.960309775285321,False,44.5743855440263,False,0.2962786292973894
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,3,142.27654166328327,1.139086659085919e-13,8,138.0898150044099,False,False,0.0,0.0,3,0.18,True,74.43734602177123,1.2789769243681803e-13,True,20.75964511628281,True,1.7879857246430058e-15
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,3,129.94364800708564,3.625202399514737,9,124.06082351010748,False,False,0.0,0.0,3,0.18,True,22.304842184654404,9.116146926172135,True,25.88652746371899,True,0.11731723778022103
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,94.7453642501113,46.74681633542801,10,76.81209527325541,False,False,0.0,0.0,2,0.18,True,161.89186748677176,94.42699588051275,False,23.882008407005245,False,0.7639660421864564
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,2,95.36904378401886,51.329049341974105,11,115.820564048601,False,False,0.0,0.0,2,0.18,False,-166.49656694920031,92.86774333514565,False,45.630051236861235,False,0.7751058890823898
SP8_DEBUG_smoke,debug,debug_64r_16l_seed9800,9800,centralized_coalition_oracle,3,131.22030805301077,12.479665323385094,12,132.52953376273595,False,False,0.0,0.0,3,0.18,True,197.73014492719983,9.515752018747293,True,30.56396651277963,True,0.10658757060341334
