world_key,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified
E2:clustered:p0.85:cv0.35:r0,OPTIMAL,350.6242395660396,350.6242395660396,0.0,0.04335899994475767,True,True
E2:clustered:p0.85:cv0.35:r1,OPTIMAL,380.06640192795714,380.06640192795714,0.0,0.11568339995574206,True,True
E2:clustered:p0.85:cv0.35:r2,OPTIMAL,541.4896565503191,541.4896565503191,0.0,0.19912040000781417,True,True
E2:clustered:p0.85:cv0.35:r3,OPTIMAL,467.91587382475586,467.91587382475586,0.0,0.03086470003472641,True,True
E2:clustered:p0.85:cv0.35:r4,OPTIMAL,323.9667987455758,323.9667987455758,0.0,0.020231899979989976,True,True
E2:clustered:p0.85:cv0.35:r5,OPTIMAL,371.99241285564494,371.99241285564494,0.0,0.05957720003789291,True,True
E2:clustered:p0.85:cv0.35:r6,OPTIMAL,402.0242854192343,402.0242854192343,0.0,0.0774169999640435,True,True
E2:clustered:p0.85:cv0.35:r7,OPTIMAL,393.798345867992,393.79834586799194,0.0,0.05134040000848472,True,True
E2:clustered:p0.85:cv0.35:r8,OPTIMAL,439.27894247367044,439.2789424736704,0.0,0.17068030004156753,True,True
E2:clustered:p0.85:cv0.35:r9,OPTIMAL,300.8383475518874,300.8383475518874,0.0,0.017180300026666373,True,True
E2:clustered:p0.85:cv0.35:r10,OPTIMAL,448.78172440516994,448.78172440516994,0.0,0.2932545999647118,True,True
E2:clustered:p0.85:cv0.35:r11,OPTIMAL,285.47234793351697,285.47234793351697,0.0,0.0456214000005275,True,True
E2:clustered:p0.85:cv0.35:r12,OPTIMAL,264.3338300606298,264.3338300606298,0.0,0.09012629999779165,True,True
E2:clustered:p0.85:cv0.35:r13,OPTIMAL,402.9295289282307,402.9295289282307,0.0,0.23180290003074333,True,True
E2:clustered:p0.85:cv0.35:r14,OPTIMAL,311.53140293038916,311.53140293038916,0.0,0.08064559998456389,True,True
E2:clustered:p0.85:cv0.35:r15,OPTIMAL,431.2700999134721,431.27009991347205,0.0,0.14974419999634847,True,True
E2:clustered:p0.85:cv0.35:r16,OPTIMAL,444.0177591050875,444.01775910508746,0.0,0.10664259997429326,True,True
E2:clustered:p0.85:cv0.35:r17,OPTIMAL,432.73059001305086,432.73059001305086,0.0,0.442286100005731,True,True
E2:clustered:p0.85:cv0.35:r18,OPTIMAL,266.2694505478979,266.2694505478979,0.0,0.1585814999998547,True,True
E2:clustered:p0.85:cv0.35:r19,OPTIMAL,450.9950283870553,450.9950283870553,0.0,0.1676551999989897,True,True
E2:clustered:p0.85:cv0.35:r20,OPTIMAL,448.3437280215899,448.3437280215899,0.0,0.21524130000034347,True,True
E2:clustered:p0.85:cv0.35:r21,OPTIMAL,383.54905444990834,383.54905444990834,0.0,0.4740361000294797,True,True
E2:clustered:p0.85:cv0.35:r22,OPTIMAL,456.97842767838335,456.9784276783833,0.0,0.058764400018844754,True,True
E2:clustered:p0.85:cv0.35:r23,OPTIMAL,358.8703044562043,358.87030445620434,0.0,0.268387200019788,True,True
E2:clustered:p0.85:cv0.35:r24,OPTIMAL,438.5619153726659,438.56191537266596,0.0,0.30065300001297146,True,True
E2:clustered:p0.85:cv0.35:r25,OPTIMAL,485.8437404109012,485.8437404109012,0.0,0.07817550003528595,True,True
E2:clustered:p0.85:cv0.35:r26,OPTIMAL,455.24493595404607,455.2449359540461,0.0,0.20141889998922125,True,True
E2:clustered:p0.85:cv0.35:r27,OPTIMAL,458.801822737526,458.801822737526,0.0,0.07541550003224984,True,True
E2:clustered:p0.85:cv0.35:r28,OPTIMAL,507.0417716745296,507.04177167452957,0.0,0.4569212000351399,True,True
E2:clustered:p0.85:cv0.35:r29,OPTIMAL,381.2024765157738,381.20247651577375,0.0,0.039343399985227734,True,True
E2:clustered:p0.7:cv0.65:r0,OPTIMAL,248.25954277445177,248.25954277445177,0.0,0.0930303999921307,True,True
E2:clustered:p0.7:cv0.65:r1,OPTIMAL,283.494303413553,283.494303413553,0.0,0.014620899979490787,True,True
E2:clustered:p0.7:cv0.65:r2,OPTIMAL,286.6148432671346,286.6148432671345,0.0,0.027346700022462755,True,True
E2:clustered:p0.7:cv0.65:r3,OPTIMAL,254.70441248273073,254.70441248273073,0.0,0.049907199980225414,True,True
E2:clustered:p0.7:cv0.65:r4,OPTIMAL,289.6954696130673,289.6954696130673,0.0,0.017166199977509677,True,True
E2:clustered:p0.7:cv0.65:r5,OPTIMAL,220.26641293410006,220.26641293410006,0.0,0.02581419999478385,True,True
E2:clustered:p0.7:cv0.65:r6,OPTIMAL,275.1810462001372,275.18104620013713,0.0,0.09804040001472458,True,True
E2:clustered:p0.7:cv0.65:r7,OPTIMAL,235.91711990500562,235.9171199050056,0.0,0.017922200029715896,True,True
E2:clustered:p0.7:cv0.65:r8,OPTIMAL,220.14092419012945,220.14092419012948,0.0,0.013147000048775226,True,True
E2:clustered:p0.7:cv0.65:r9,OPTIMAL,329.1785259842949,329.1785259842948,0.0,0.04292649996932596,True,True
E2:clustered:p0.7:cv0.65:r10,OPTIMAL,311.3840207746381,311.3840207746381,0.0,0.028809399984311312,True,True
E2:clustered:p0.7:cv0.65:r11,OPTIMAL,339.2201217043557,339.2201217043557,0.0,0.03796719998354092,True,True
E2:clustered:p0.7:cv0.65:r12,OPTIMAL,241.04325751483591,241.04325751483591,0.0,0.03362390003167093,True,True
E2:clustered:p0.7:cv0.65:r13,OPTIMAL,306.9366782706297,306.9366782706298,0.0,0.04119169997284189,True,True
E2:clustered:p0.7:cv0.65:r14,OPTIMAL,198.78364644693875,198.78364644693872,0.0,0.04999249998945743,True,True
E2:clustered:p0.7:cv0.65:r15,OPTIMAL,234.9406772387445,234.94067723874454,0.0,0.18886459997156635,True,True
E2:clustered:p0.7:cv0.65:r16,OPTIMAL,257.38889512339864,257.38889512339864,0.0,0.08432820002781227,True,True
E2:clustered:p0.7:cv0.65:r17,OPTIMAL,232.94417140396342,232.94417140396342,0.0,0.0395145999500528,True,True
