scenario,seed,n_robots,world_hash,method,stage,barrier_violation_rate,max_barrier_residual,is_executed_trajectory
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,centralized_preview_reference,RAW,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,573001,8,f82d48bd12857e11020ea6299ea5581f39bfbfc069fd3dffdd6431d676f04f68,centralized_preview_reference,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,centralized_preview_reference,RAW,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,centralized_preview_reference,SAFE,0.0,0.0,0
open_nominal,573000,12,e9744d4cacc5b421b905c99eaf871207adfbf09b166ac048a222c7716d7271ef,centralized_preview_reference,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,damped_hamiltonian_cbf,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,distributed_preview_cbf,RAW,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,distributed_preview_cbf,SAFE,0.0,0.0,0
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,distributed_preview_cbf,EXEC,0.0,0.0,1
open_nominal,573001,12,cb1eef1c229f0394ce8f44152228ffcfe59d6e477fb375e687e71944330b57d8,centralized_preview_reference,RAW,0.0,0.0,0
