study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,requested_delta,observed_delta,rho_M_over_N,quota_mode,spatial_mode,treatment,structurally_feasible,mission_feasible,coverage,assigned_slot_count,missing_slot_count,idle_robot_count,idle_fraction,quota_asymmetry_cv,cost_asymmetry_cv,total_cost,mean_cost_per_assigned_slot,normalized_cost_per_assigned_slot,assignment_cost_p50,assignment_cost_p95,assignment_cost_max,assignment_cost_std,assignment_cost_cv,assignment_cost_gini,assignment_cost_jain,normalized_assignment_cost_p95,normalized_assignment_cost_max,load_mean_cost_cv,served_load_fraction,robot_utilization,greedy_total_cost,greedy_to_hungarian_ratio,hungarian_saving_vs_greedy,assignment_cost_lower_bound,relative_gap_to_lower_bound,slots_wall_ns,matrix_wall_ns,solver_wall_ns,post_wall_ns,total_wall_ns,total_cpu_ns,matrix_bytes,solver_ns_per_matrix_element,matrix_build_ns_per_element,failure_count,failure_rate,failed_robot_was_assigned,recovery_feasible,base_total_cost,relative_cost_increase,assignment_churn,logical_messages,communication_bytes,logical_messages_per_assigned_slot,communication_bytes_per_assigned_slot,communication_rounds,retry_messages,nonresponding_count,metrics_wall_ns
asymmetry,614064372,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5477671294674408,0.46171830011535125,8865.474416243265,13.852303775380102,0.09795057934627284,13.511727632474969,27.9378526563914,36.56631291173632,8.15414508459014,0.5886490230659409,0.3369251823591082,0.7426619398684353,0.19755045065124957,0.2585628782287796,0.46463722754600684,1.0,0.6666666666666666,9590.10791807303,1.081736573567016,0.07556051590036411,1016.5015860449457,0.8853415465073682,1687100,20505200,99446300,1602500,144959400,140625000,4915200,161.85921223958334,33.374348958333336,0,0.0,False,True,nan,nan,nan,1920,207288,3.0,323.8875,2,0,0,6317900
asymmetry,513017155,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5487156523988541,0.4596713628908634,8776.750926479031,13.713673322623487,0.0969703140140412,13.38058132005124,26.43696818612016,32.19217102852758,7.69256843427832,0.5609414963668317,0.32245144256435343,0.7606556278105494,0.18693759478418587,0.22763302435388966,0.4515019506069227,1.0,0.6666666666666666,9596.336408126976,1.0933814219536862,0.08540608069490467,1090.3912627071577,0.8757636770325223,870300,15252700,100600800,1728900,136098700,109375000,4915200,163.73828125,24.825358072916668,0,0.0,False,True,nan,nan,nan,1920,207336,3.0,323.9625,2,0,0,11270400
asymmetry,1727618174,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5468169612059415,0.4740053388781949,8710.682980713884,13.610442157365444,0.09624035944420369,13.910548286520534,26.609770797092086,34.511496168312526,7.684760269131226,0.5646223818652747,0.32297983970868716,0.7582659898136749,0.18815949376443575,0.24403312969507338,0.45792534572063126,1.0,0.6666666666666666,9506.160293450215,1.091322036916919,0.08368019138962118,1013.7951848849033,0.8836147306555039,1656400,18483200,89661000,1132300,129264900,140625000,4915200,145.9326171875,30.083333333333332,0,0.0,False,True,nan,nan,nan,1920,207342,3.0,323.971875,2,0,0,11707500
asymmetry,1065227775,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5294224078535966,0.4645294473177975,9067.42565532423,14.16785258644411,0.10018184638725995,13.543499118532537,29.02724228035904,37.073423470288745,8.360002689566617,0.5900684411105126,0.33726818292468574,0.7417402961209467,0.2052535985558674,0.2621486913764168,0.4966938074906936,1.0,0.6666666666666666,9824.994833015056,1.0835484300051574,0.07710631817791462,1033.1472205090686,0.8860594771017039,1632900,18985200,104646900,1719400,149369100,156250000,4915200,170.32373046875,30.900390625,0,0.0,False,True,nan,nan,nan,1920,207312,3.0,323.925,2,0,0,12194000
asymmetry,429654859,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5063271546144844,0.46757121449599537,9146.2943330973,14.29108489546453,0.10105323040095612,14.252521660448291,27.413330256226615,36.38075908151818,7.865313091211295,0.5503650106863093,0.31465560380028945,0.7675176432902644,0.19384151719084194,0.25725081451255577,0.42746707404522716,1.0,0.6666666666666666,9792.231007727147,1.0706227736726583,0.06596419897775413,1056.2153156437378,0.8845198637636603,1681600,19099200,107274500,1719900,150632600,156250000,4915200,174.60042317708334,31.0859375,0,0.0,False,True,nan,nan,nan,1920,207358,3.0,323.996875,2,0,0,11845000
asymmetry,3578909185,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5655170822464164,0.46637431984863287,8595.761930315299,13.430878016117655,0.09497064922486118,13.051347190094342,27.338690509782904,34.963857040970524,7.991862315740907,0.5950364753629896,0.3400389410949536,0.7385151258394547,0.193313734482278,0.24723180410107273,0.5006403149597015,1.0,0.6666666666666666,9425.215262023685,1.0964956147497633,0.08800364857983035,895.2003873792698,0.8958556094693477,1702100,19355200,92081000,1732700,135008400,125000000,4915200,149.87141927083334,31.502604166666668,0,0.0,False,True,nan,nan,nan,1920,207341,3.0,323.9703125,2,0,0,9706500
asymmetry,3656018409,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.49490075551821505,0.46298586289445914,8773.112745203327,13.7079886643802,0.09693011741011563,13.21826707911921,26.639187667024192,32.853240438035726,7.5272307323837975,0.5491127047648555,0.31498397771994435,0.7683295998555706,0.1883675024465385,0.23230749097687162,0.4181100098932334,1.0,0.6666666666666666,9479.39122180915,1.0805048900109004,0.07450673361606751,1042.579337907259,0.8811619811363661,2324300,19926900,102426900,1747700,146252400,140625000,4915200,166.71044921875,32.43310546875,0,0.0,False,True,nan,nan,nan,1920,207354,3.0,323.990625,2,0,0,12226800
asymmetry,2172035753,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,clustered,none,True,True,1.0,640,0,320,0.3333333333333333,0.5323609707003323,0.4705147788295651,8138.838559136082,12.716935248650127,0.08992231150230738,12.328662968912841,25.532411101295303,30.638602715100248,7.277168249041995,0.572242297908567,0.32781294119409843,0.7533176594582209,0.18054141029768594,0.2166476374592795,0.48335286674109,1.0,0.6666666666666666,8946.232573524603,1.0992026083970172,0.09024961152674651,988.4773870454997,0.8785481024272309,1823800,17442400,83899900,1907300,125782900,125000000,4915200,136.55582682291666,28.389322916666668,0,0.0,False,True,nan,nan,nan,1920,207396,3.0,324.05625,2,0,0,13156500
asymmetry,1170385029,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.49067973420806776,0.23439258899715534,37272.9248764024,58.238945119378755,0.41181153023063904,58.01744956091162,78.83070411593697,86.94045209057668,11.891261194356522,0.20418057315395555,0.11669433286435371,0.9599787670021105,0.5574172544608931,0.6147618323267092,0.18698074377256013,1.0,0.6666666666666666,37468.314445576296,1.0052421313814734,0.005214794742306939,30000.420335022387,0.19511494108647906,893700,17992000,232588700,1673700,272664700,281250000,4915200,378.5623372395833,29.283854166666668,0,0.0,False,True,nan,nan,nan,1920,207628,3.0,324.41875,2,0,0,6607600
asymmetry,410162957,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.5254787623562917,0.23171293110695168,37433.231453043045,58.48942414537976,0.41358268440894214,58.85225552991621,78.770190508953,85.72788107271127,12.066750793636459,0.20630654122433595,0.11794142047844614,0.9591752115720048,0.5569893586423689,0.6061876604326801,0.1880610072330042,1.0,0.6666666666666666,37664.053401599886,1.0061662309022503,0.006128441516786822,30690.47127321747,0.1801276544421184,1969700,17129500,215863400,1570500,256597500,265625000,4915200,351.3401692708333,27.880045572916668,0,0.0,False,True,nan,nan,nan,1920,207639,3.0,324.4359375,2,0,0,9332400
asymmetry,3648680782,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.5073531576352905,0.23139973893264412,38340.02518481348,59.90628935127106,0.4236014343600723,59.203373307097735,81.7429732068971,87.82591000922841,12.766604628991285,0.21310958777853975,0.12204487961201194,0.9565572847629924,0.5780101066894721,0.6210229653140489,0.1939925406303786,1.0,0.6666666666666666,38537.32984757537,1.005146179790201,0.005119832213136669,31091.644306078477,0.18905519346414235,1765800,17157100,215073700,2131600,255342900,265625000,4915200,350.0548502604167,27.924967447916668,0,0.0,False,True,nan,nan,nan,1920,207579,3.0,324.3421875,2,0,0,13955900
asymmetry,1400670501,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.47888012265597324,0.23155227791481175,37515.26755231096,58.61760555048587,0.4144890638166676,58.11849416137298,80.49418691457763,89.03610592875935,12.664454562000104,0.21605206222714993,0.12377026644775779,0.9554032170543737,0.569179854133953,0.629580342726695,0.19543403018870378,1.0,0.6666666666666666,37733.23875335485,1.0058101998270426,0.005776636415142508,30131.982724903883,0.19680746824241324,1675900,18767600,221687400,2279600,264932400,265625000,4915200,360.8193359375,30.546223958333332,0,0.0,False,True,nan,nan,nan,1920,207642,3.0,324.440625,2,0,0,12763600
asymmetry,3684047327,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.49067973420806776,0.22567613188743002,38387.553372922805,59.98055214519188,0.424126551611785,60.14007873375408,79.71741721644577,86.94622673968868,11.94932711702623,0.1992200253192251,0.11402211499707549,0.9618264374713423,0.5636872629242603,0.6148026652621699,0.1808765866991313,1.0,0.6666666666666666,38602.63194429201,1.0056028205100696,0.0055716038139468045,31097.030129812454,0.1899189347204613,1718000,18812900,223891700,2088100,266209500,265625000,4915200,364.4070638020833,30.619954427083332,0,0.0,False,True,nan,nan,nan,1920,207670,3.0,324.484375,2,0,0,12435000
asymmetry,1680617401,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.47011260286765355,0.2207662790020554,38644.94966574644,60.38273385272881,0.42697040573847045,60.177710540194695,79.38546637518914,87.79211469629905,11.779525736737503,0.19508102706093639,0.11185669052325431,0.9633386013266018,0.5613400160155289,0.6207839963646021,0.1836313738574131,1.0,0.6666666666666666,38858.60184057457,1.005528592395024,0.005498195115323046,31485.863007875454,0.18525283949888427,1241100,18906300,249192500,1803000,291502000,296875000,4915200,405.5867513020833,30.77197265625,0,0.0,False,True,nan,nan,nan,1920,207641,3.0,324.4390625,2,0,0,8953000
asymmetry,2392586825,960,960,213,640,1600,614400,0.2,0.2,0.6666666666666666,low,separated,none,True,True,1.0,640,0,320,0.3333333333333333,0.5362540063952903,0.21963603505228876,38740.08645589991,60.53138508734361,0.4280215286987492,61.21005366710629,78.81671739955848,89.18964538226382,11.394670781966596,0.1882440120199577,0.10696247060247122,0.9657769146233066,0.5573183534409155,0.6306660306142219,0.17150597811787738,1.0,0.6666666666666666,38972.435848338864,1.0059976477518564,0.005961890433103592,31163.47592566601,0.19557546777441487,1757200,17832500,240402300,1849800,282266200,296875000,4915200,391.27978515625,29.024251302083332,0,0.0,False,True,nan,nan,nan,1920,207626,3.0,324.415625,2,0,0,14203000
