study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,requested_delta,observed_delta,rho_M_over_N,quota_mode,spatial_mode,treatment,structurally_feasible,mission_feasible,coverage,assigned_slot_count,missing_slot_count,idle_robot_count,idle_fraction,quota_asymmetry_cv,cost_asymmetry_cv,total_cost,mean_cost_per_assigned_slot,normalized_cost_per_assigned_slot,assignment_cost_p50,assignment_cost_p95,assignment_cost_max,assignment_cost_std,assignment_cost_cv,assignment_cost_gini,assignment_cost_jain,normalized_assignment_cost_p95,normalized_assignment_cost_max,load_mean_cost_cv,served_load_fraction,robot_utilization,greedy_total_cost,greedy_to_hungarian_ratio,hungarian_saving_vs_greedy,assignment_cost_lower_bound,relative_gap_to_lower_bound,slots_wall_ns,matrix_wall_ns,solver_wall_ns,post_wall_ns,total_wall_ns,total_cpu_ns,matrix_bytes,solver_ns_per_matrix_element,matrix_build_ns_per_element,failure_count,failure_rate,failed_robot_was_assigned,recovery_feasible,base_total_cost,relative_cost_increase,assignment_churn,logical_messages,communication_bytes,logical_messages_per_assigned_slot,communication_bytes_per_assigned_slot,communication_rounds,retry_messages,nonresponding_count,metrics_wall_ns
balance,3896955009,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.5095227215566601,717.0911485223141,19.91919857006428,0.14085000384693833,18.034393584468805,48.735486032371696,64.94784625937434,15.325592842836098,0.7693880247706493,0.41885019865230966,0.6281573020769458,0.34461192657912293,0.4592506251346494,0.44134288383401676,1.0,1.0,885.3914752602909,1.234698653141637,0.19008577724164238,572.076472202338,0.20222628130162124,102900,76300,41700,80500,1081700,0,11520,28.958333333333332,52.986111111111114,0,0.0,False,False,nan,nan,nan,72,7704,2.0,214.0,2,0,0,851300
balance,188283063,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.48566636841025773,668.3678088457276,18.565772467936878,0.1312798361004467,17.750721001689474,34.971955405427806,40.55782717434298,8.348141847323136,0.4496522760763331,0.24610832823873574,0.8318172290220042,0.24728906818531537,0.28678714625169954,0.3388388451616049,1.0,1.0,780.1145372777419,1.1671934628703933,0.14324400212045965,591.2553264928749,0.11537432134265424,115100,86100,29300,87800,897900,0,11520,20.34722222222222,59.791666666666664,0,0.0,False,False,nan,nan,nan,72,7719,2.0,214.41666666666666,2,0,0,764500
balance,1569817752,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.46440149499392336,800.4391168947293,22.23441991374248,0.1572210909675652,20.40734362737072,42.33624074694149,50.74902690669723,11.676066859364038,0.5251347642376489,0.2901636134553407,0.7838424851603143,0.2993624292210855,0.35884981064344174,0.2691757366490525,0.9230769230769231,1.0,1011.1300344683652,1.2632191669879937,0.20837173300307868,551.5803076048434,0.31090285824026626,109400,77900,44600,82300,1112400,0,11520,30.97222222222222,54.09722222222222,0,0.0,False,False,nan,nan,nan,72,7710,2.0,214.16666666666666,2,0,0,1053100
balance,950025730,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.4769907715680501,587.8118371573013,16.328106587702813,0.11545714892101397,14.377017464431994,34.42979385900761,40.541343055305035,9.971435155714799,0.6106914541594544,0.3395815919703007,0.7283617991641413,0.2434554071255923,0.28667058592816336,0.3961919233410571,0.9230769230769231,1.0,708.603932403008,1.205494492642179,0.17046489544036006,538.0301273618136,0.08468987292980606,120700,94600,28000,109400,1343100,15625000,11520,19.444444444444443,65.69444444444444,0,0.0,False,False,nan,nan,nan,72,7695,2.0,213.75,2,0,0,1897700
balance,151954130,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.4916091474080851,527.6103153772967,14.655842093813797,0.10363245328534985,11.002945042787534,30.29093903305124,34.207476920355646,9.201715522116205,0.6278530747817097,0.3433166196466877,0.717257474145941,0.21418928398778814,0.24188338897665793,0.4997227460796557,1.0,1.0,670.3142023301243,1.2704721321659136,0.21289103894377442,473.6689894013763,0.10223705716850275,208000,146800,52100,82500,2030800,0,11520,36.18055555555556,101.94444444444444,0,0.0,False,False,nan,nan,nan,72,7708,2.0,214.11111111111111,2,0,0,765300
balance,3659358466,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.492523454123455,556.1575444540978,15.448820679280495,0.10923965863654203,15.244568228553586,31.246547759394616,37.60506915892867,8.914754607403442,0.5770508178245378,0.323319054582764,0.750194499353939,0.22094645809337254,0.2659079940926756,0.362059336372926,0.9230769230769231,1.0,718.2786091001755,1.2915020505659225,0.22570777215428298,475.61993048678954,0.14481079106166,104500,161700,330700,154600,1726300,0,11520,229.65277777777777,112.29166666666667,0,0.0,False,False,nan,nan,nan,72,7688,2.0,213.55555555555554,2,0,0,567800
balance,1715342975,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.49173990009038177,693.4483736156101,19.262454822655837,0.13620612427399456,17.84588656045149,41.81139231351523,62.35637475821463,12.93582351553042,0.671556332493808,0.3606071580284278,0.6891856194559806,0.2956511903573771,0.44092615441743227,0.5018028833877825,1.0,1.0,773.754118674428,1.1158063788369814,0.10378716328695645,566.3612745190561,0.183268292106487,110200,83800,36700,82700,1187200,0,11520,25.48611111111111,58.19444444444444,0,0.0,False,False,nan,nan,nan,72,7702,2.0,213.94444444444446,2,0,0,781500
balance,1612674877,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.4708911850747979,734.11578555455,20.392105154293056,0.14419395837269766,16.594087577970683,49.84345467167876,66.16565457675932,14.536287587854478,0.7128389873369315,0.3685667421041503,0.6630686695807548,0.3524464479610835,0.4678618303287324,0.46575232284187895,1.0,1.0,805.2737655366382,1.0969301864668874,0.08836495491029454,503.60001656356934,0.31400464821342783,116800,92700,31700,97000,1234700,0,11520,22.01388888888889,64.375,0,0.0,False,False,nan,nan,nan,72,7702,2.0,213.94444444444446,2,0,0,765100
balance,2909601748,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.47385267085706423,559.629398293179,15.545261063699416,0.10992159513457059,14.788738668489653,27.45276822512745,34.23811713019296,7.767413939884379,0.4996644255799917,0.28056954244540444,0.8002147531914782,0.194120385743302,0.24210004797818738,0.33643667546646366,1.0,1.0,708.010511116147,1.2651417407225523,0.20957473157997586,478.48689274088645,0.1449932862708251,117300,89700,26500,94600,1144900,0,11520,18.40277777777778,62.291666666666664,0,0.0,False,False,nan,nan,nan,72,7712,2.0,214.22222222222223,2,0,0,774900
balance,2321690519,36,36,13,40,76,1440,-0.05,-0.05263157894736842,1.1111111111111112,symmetric,uniform,none,False,False,0.9,36,4,0,0.0,0.08660254037844385,0.4593810426183313,753.1062542492072,20.919618173589086,0.1479240387037818,16.23435386123985,50.476453122179024,59.61804066569395,14.45793274426834,0.6911183858279694,0.37284956010059056,0.6767527078428747,0.35692242292937665,0.4215632083576754,0.46760813579271227,1.0,1.0,941.6558926020001,1.2503625979587214,0.20023199539673595,538.2607506209362,0.2852791387882664,139900,79100,33100,82600,1141900,0,11520,22.98611111111111,54.93055555555556,0,0.0,False,False,nan,nan,nan,72,7706,2.0,214.05555555555554,2,0,0,769900
