scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_engine,method_payoff_signal,method_role,method_recommended_phase,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,scalar_feasible_rate_mean,wrench_feasible_rate_mean,false_positive_rate_mean,false_positive_given_scalar_rate_mean,wrench_residual_norm_mean,max_wrench_residual_norm_mean,wrench_margin_mean,torque_error_nm_mean,force_error_n_mean,slot_coverage_ratio_mean,complementarity_gain_mean,scalar_wrench_success_gap_mean,slot_conflict_count_mean,assignment_valid_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean,score_value_mean,oracle_score_value_mean,signed_score_delta_vs_oracle_mean,oracle_dominance_violation_mean,optimality_gap_vs_wrench_oracle_mean,captured_reward_mean,oracle_reward_mean
off_center_com,bnn_wrench_deficit,BNN wrench deficit,model_based,decentralized,baseline,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B,none,distributed_bnn_wrench_deficit_rule,positive_excess_wrench_scores,0,4,False,False,100,1.0,0.0,1.0,1.0,0.19666072401312815,0.19666072401312815,-0.1466607240131281,6.57058479881083,9.800969377125915,1.0,0.08870310153652106,1.0,0.0,1.0,5.511420250153958,4.857952940483056,31.762907456677183,18.0,37.34235999640077,-4.760350972392094,0.0,-4.760350972392094,0.0,0.0842539995113645,0.0,0.0
off_center_com,capacity_greedy_slots,Capacity greedy slots,classic,decentralized,baseline,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A,none,distributed_capacity_slot_rule,local_robot_load_slots,0,0,False,False,100,1.0,0.0,1.0,1.0,0.49484638035963413,0.49484638035963413,-0.444846380359634,14.352976413647767,25.261215152453648,0.6666666666666669,0.06441456534806009,1.0,0.0,1.0,5.16127943703121,6.231469212497384,29.13951086560763,18.0,0.29067499679513276,-7.97372297945907,0.0,-7.97372297945907,0.0,0.1411278403444083,0.0,0.0
off_center_com,cbba_slots,CBBA slots,sota,decentralized,baseline,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A,none,distributed_slot_bundle_auction_proxy,auction_robot_slot_bids,0,3,False,False,100,0.0,0.0,0.0,0.0,0.28512065022990024,0.28512065022990024,-0.23512065022990025,5.934115466666442,16.03591101754362,0.3333333333333334,0.0,0.0,0.0,1.0,2.911921308452855,4.609295546691095,16.42130673711228,18.0,21.614785995334387,-5.42441958638653,0.0,-5.42441958638653,0.0,0.09600742630772618,0.0,0.0
off_center_com,hungarian_slots,Hungarian slots,classic,centralized,baseline,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A,none,centralized_robot_slot_hungarian,centralized_robot_slot_cost_matrix,0,0,False,False,100,1.0,0.0,1.0,1.0,0.22606397929412542,0.22606397929412542,-0.17606397929412548,7.552969986063457,11.266337747160152,1.0,0.09498736060699117,1.0,0.0,1.0,3.6752706672894018,2.857404076106165,21.565464265203122,18.0,0.10147400782443583,-5.066382227885168,0.0,-5.066382227885168,0.0,0.08967048190947197,0.0,0.0
off_center_com,oracle_scalar_assignment,Oracle scalar assignment,model_based_oracle,centralized,reference,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A,none,centralized_exact_scalar_search,centralized_all_robot_slot_pairs,0,2,False,False,100,1.0,0.0,1.0,1.0,0.22606397929412542,0.22606397929412542,-0.17606397929412548,7.552969986063457,11.266337747160152,1.0,0.09498736060699117,1.0,0.0,1.0,3.6752706672894018,2.857404076106165,21.565464265203122,18.0,9.413895002799109,-5.066382227885168,0.0,-5.066382227885168,0.0,0.08967048190947197,0.0,0.0
off_center_com,replicator_wrench_deficit,Replicator wrench deficit,model_based,decentralized,baseline,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B,none,distributed_replicator_wrench_deficit_rule,local_wrench_deficit_scores,0,4,False,False,100,1.0,0.0,1.0,1.0,0.19687356483733626,0.19687356483733626,-0.14687356483733627,6.5776959730990665,9.811576713241118,1.0,0.08874639679794509,1.0,0.0,1.0,5.428801047885929,4.73188975192398,31.271575684937332,18.0,37.78605900355615,-4.761525542786276,0.0,-4.761525542786276,0.0,0.0842747883678987,0.0,0.0
off_center_com,smith_wrench_deficit,Smith-QR wrench deficit,model_based,decentralized,proposed,smith_qr_wrench_deficit,proposed_wrench_deficit,smith,wrench_deficit_minus_rho,main_proposal,A,model_based_tuning_optional,distributed_smith_qr_wrench_deficit_rule,local_wrench_deficit_scores,0,5,False,False,100,1.0,0.0,1.0,1.0,0.19645742835807853,0.19645742835807853,-0.1464574283580785,6.563792535905074,9.790837743066078,1.0,0.08866322187182167,1.0,0.0,1.0,5.622415776391582,5.09210943562943,32.55975716548889,18.0,36.830921994987875,-4.759777831700601,0.0,-4.759777831700601,0.0,0.08424385542832923,0.0,0.0
off_center_com,smith_wrench_marginal,Smith-QR wrench marginal,model_based,decentralized,proposed,smith_qr_delta_rho_wrench_marginal,proposed_wrench_ablation,smith,delta_rho_marginal,proposal_ablation,A,model_based_tuning_optional,distributed_smith_qr_delta_rho_rule,local_marginal_wrench_scores,0,5,False,False,100,1.0,0.0,1.0,1.0,0.19649832286726737,0.19649832286726737,-0.14649832286726738,6.565158852650727,9.792875800407034,1.0,0.0886718907543073,1.0,0.0,1.0,5.587889233250683,5.048462351549375,32.19995329932512,18.0,38.59258600510657,-4.759646980655993,0.0,-4.759646980655993,0.0,0.08424153948063705,0.0,0.0
off_center_com,support_dual_wrench_market,Residual-support wrench market,model_based,decentralized,proposed,residual_support_wrench_market,proposed_wrench_market,residual_support_market,current_residual_wrench_direction,main_proposal,A,model_based_tuning_optional,distributed_residual_support_wrench_market,current_residual_wrench_direction,0,5,False,False,100,1.0,0.0,1.0,1.0,0.19645742835807842,0.19645742835807842,-0.14645742835807846,6.563792535905073,9.79083774306607,1.0,0.08866322187182178,1.0,0.0,1.0,7.409889534920747,6.471440797235492,42.44554564797778,18.0,14.409495000727475,-4.7861704110441945,0.0,-4.7861704110441945,0.0,0.08471098072644592,0.0,0.0
off_center_com,wrench_oracle,Wrench oracle,model_based_oracle,centralized,reference,exact_role_slot_wrench,centralized_wrench_oracle_reference,oracle,strict_wrench_feasible_score,reference,A,none,centralized_exact_role_slot_search,centralized_all_robot_slot_pairs,0,3,False,False,100,0.0,0.0,0.0,0.0,1.140175425099138,1.140175425099138,-1.090175425099138,42.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,247.61452799662948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one_sided_push,bnn_wrench_deficit,BNN wrench deficit,model_based,decentralized,baseline,bnn_wrench_deficit,wrench_dynamics_baseline,bnn,positive_excess_wrench_deficit,engine_ablation,B,none,distributed_bnn_wrench_deficit_rule,positive_excess_wrench_scores,0,4,False,False,100,1.0,0.0,1.0,1.0,0.9000000002095476,0.9000000002095476,-0.8500000002095476,4.8789180479908955e-20,54.000000012572855,1.0,2.5313084961453567e-16,1.0,0.0,1.0,4.006331762881286,3.2695607579879864,23.60471366297877,15.0,38.80897700204514,-12.589878340333,0.0,-12.589878340333,0.0,0.2463772669341095,0.0,0.0
one_sided_push,capacity_greedy_slots,Capacity greedy slots,classic,decentralized,baseline,capacity_greedy_slots,classic_decentralized_baseline,greedy,scalar_capacity_only,classic_baseline,A,none,distributed_capacity_slot_rule,local_robot_load_slots,0,0,False,False,100,1.0,0.0,1.0,1.0,0.9000000000854215,0.9000000000854215,-0.8500000000854206,2.611816260441749e-13,54.00000000512526,0.6666666666666669,0.0,1.0,0.0,1.0,4.865637209683885,5.711648722151908,28.110122877455026,15.0,0.2861110004596412,-12.45244270891165,0.0,-12.45244270891165,0.0,0.24368772424484642,0.0,0.0
one_sided_push,cbba_slots,CBBA slots,sota,decentralized,baseline,cbba_slot_wrench_proxy,sota_decentralized_baseline,cbba,marginal_wrench_bid,sota_proxy,A,none,distributed_slot_bundle_auction_proxy,auction_robot_slot_bids,0,3,False,False,100,0.0,0.0,0.0,0.0,0.9000000000019128,0.9000000000019128,-0.8500000000019122,3.3474027056845152e-12,54.00000000011475,0.3333333333333334,0.0,0.0,0.0,1.0,0.6661349937501376,1.033483559356697,3.869896813702732,15.0,27.747191002126783,-12.23992856835331,0.0,-12.23992856835331,0.0,0.23952893480143453,0.0,0.0
one_sided_push,hungarian_slots,Hungarian slots,classic,centralized,baseline,hungarian_robot_slot_cost,classic_centralized_baseline,hungarian,robot_slot_cost_only,classic_baseline,A,none,centralized_robot_slot_hungarian,centralized_robot_slot_cost_matrix,0,0,False,False,100,1.0,0.0,1.0,1.0,0.9000000002095476,0.9000000002095476,-0.8500000002095476,4.8789180479908955e-20,54.000000012572855,1.0,2.5313084961453567e-16,1.0,0.0,1.0,3.9167515020292853,3.081076305753519,23.08421499047935,15.0,0.09171500103548169,-12.588543127866524,0.0,-12.588543127866524,0.0,0.24635113753163448,0.0,0.0
one_sided_push,oracle_scalar_assignment,Oracle scalar assignment,model_based_oracle,centralized,reference,exact_scalar_capacity_reference,centralized_scalar_reference,oracle,scalar_capacity_only,reference_scalar_false_positive,A,none,centralized_exact_scalar_search,centralized_all_robot_slot_pairs,0,2,False,False,100,1.0,0.0,1.0,1.0,0.9000000002095476,0.9000000002095476,-0.8500000002095476,4.8789180479908955e-20,54.000000012572855,1.0,2.5313084961453567e-16,1.0,0.0,1.0,3.9167515020292853,3.081076305753519,23.08421499047935,15.0,5.703117992961779,-12.588543127866524,0.0,-12.588543127866524,0.0,0.24635113753163448,0.0,0.0
one_sided_push,replicator_wrench_deficit,Replicator wrench deficit,model_based,decentralized,baseline,replicator_wrench_deficit,wrench_dynamics_baseline,replicator,wrench_deficit_minus_rho,engine_ablation,B,none,distributed_replicator_wrench_deficit_rule,local_wrench_deficit_scores,0,4,False,False,100,1.0,0.0,1.0,1.0,0.9000000002095476,0.9000000002095476,-0.8500000002095476,4.8789180479908955e-20,54.000000012572855,1.0,2.5313084961453567e-16,1.0,0.0,1.0,4.006331762881286,3.2695607579879864,23.60471366297877,15.0,38.28562300768681,-12.589878340333,0.0,-12.589878340333,0.0,0.2463772669341095,0.0,0.0
