experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,19b2138798d8ccdef575,588290200,2723079560,20,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.05263157894736842,,0.0292,1.192
failure,19b2138798d8ccdef575,588290200,3984010721,20,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1388888888888889,,0.0281,1.1505
failure,19b2138798d8ccdef575,588290200,1550139913,20,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.15625,,0.0251,1.0433
failure,19b2138798d8ccdef575,588290200,3779027602,20,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.2857142857142857,,0.0161,0.9365
failure,e9fda7149cf77c268570,335760269,1347999537,21,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0542,1.3758
failure,e9fda7149cf77c268570,335760269,2455815470,21,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.0521,1.3144
failure,e9fda7149cf77c268570,335760269,2939011235,21,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.05555555555555555,,0.0448,1.2336
failure,e9fda7149cf77c268570,335760269,3994210386,21,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.375,,0.0349,1.1408
failure,e9fda7149cf77c268570,335760269,2918240778,21,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0264,0.9926
failure,f9cb507349cffacb299e,3908712671,908537122,22,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0493,1.3282
failure,f9cb507349cffacb299e,3908712671,3629704943,22,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.23684210526315788,,0.0488,1.2947
failure,f9cb507349cffacb299e,3908712671,1519387750,22,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.3055555555555556,,0.0516,1.2201
failure,f9cb507349cffacb299e,3908712671,3211837247,22,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.21875,,0.0362,1.1055
failure,f9cb507349cffacb299e,3908712671,2709691195,22,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0238,0.9923
failure,d7ca623bab6f2831ef3a,2863683342,3658205680,23,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0293,1.2354
failure,d7ca623bab6f2831ef3a,2863683342,1757310834,23,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.15789473684210525,,0.0347,1.2172
failure,d7ca623bab6f2831ef3a,2863683342,3888922691,23,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.19444444444444445,,0.0271,1.0685
failure,d7ca623bab6f2831ef3a,2863683342,1394877815,23,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.1875,,0.0132,0.9524
failure,d7ca623bab6f2831ef3a,2863683342,1050259540,23,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0181,0.8789
failure,29e7fd7756fc1f800476,861375848,3572456962,24,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.025,1.1716
failure,29e7fd7756fc1f800476,861375848,446755875,24,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.0214,1.1186
failure,29e7fd7756fc1f800476,861375848,2396418386,24,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1111111111111111,,0.0208,1.0675
failure,29e7fd7756fc1f800476,861375848,197354890,24,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.1875,,0.0159,0.9951
failure,29e7fd7756fc1f800476,861375848,806055038,24,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.17857142857142858,,0.0177,0.8825
failure,35e0731ac97c65d3d525,3576468283,3634311338,25,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0434,1.1781
