experiment,world_id,world_seed,replicate,scenario,scenario_label,pressure,capacity_cv,realized_cv,N,K,lp_status,milp_status,lp_objective,milp_objective,gap_absolute,gap_relative,fractional_variables,fractional_world,fractionality_rate,max_fractionality,lp_runtime_s,milp_runtime_s
atomicity,86319c76afef26ee8cda,2840311814,7,corridor,Pasillo,0.7,0.15,0.16471019034593262,16,5,OPTIMAL,OPTIMAL,79.16950773484372,120.2818288209719,41.112321086128176,0.34179993344896653,8,True,0.5333333333333333,0.4172471177813513,0.0011050000321120024,0.011595699994359165
atomicity,86319c76afef26ee8cda,2840311814,7,corridor,Pasillo,0.7,0.35,0.35545235673524556,16,5,OPTIMAL,OPTIMAL,92.23863101119053,124.12590963706563,31.887278625875098,0.2568946219134344,7,True,0.4375,0.17366932256344952,0.0014255000278353691,0.009368000028189272
atomicity,86319c76afef26ee8cda,2840311814,7,corridor,Pasillo,0.7,0.65,0.5863732652437899,16,5,OPTIMAL,OPTIMAL,78.6023733545763,114.90098541212726,36.298612057550955,0.3159121040377066,7,True,0.5384615384615384,0.45804678063505555,0.0010812999680638313,0.1321794000105001
atomicity,86319c76afef26ee8cda,2840311814,7,corridor,Pasillo,0.7,1.0,0.887014714492245,16,5,OPTIMAL,OPTIMAL,102.5613011665969,147.59262834752795,45.031327180931044,0.3051055305749983,7,True,0.5384615384615384,0.443125521809944,0.0011205999762751162,0.0242083000484854
atomicity,9fc9d42f413a25a31802,3089648593,8,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,118.84735433099715,217.6698544663676,98.82250013537046,0.4540017742817007,6,True,0.4,0.48358200546743857,0.0018752999603748322,0.002556599967647344
atomicity,9fc9d42f413a25a31802,3089648593,8,corridor,Pasillo,0.7,0.15,0.12708878110734073,16,5,OPTIMAL,OPTIMAL,116.41791407665768,144.44855421853052,28.030640141872837,0.194052756661492,5,True,0.35714285714285715,0.33374658554678116,0.0022173000033944845,0.03142029995797202
atomicity,9fc9d42f413a25a31802,3089648593,8,corridor,Pasillo,0.7,0.35,0.3498386664815237,16,5,OPTIMAL,OPTIMAL,108.62709681867533,134.23334746586997,25.606250647194642,0.19075923479972262,8,True,0.5714285714285714,0.38789880848355796,0.0011516999802552164,0.007433500024490058
atomicity,9fc9d42f413a25a31802,3089648593,8,corridor,Pasillo,0.7,0.65,0.5688175519508192,16,5,OPTIMAL,OPTIMAL,81.53034375426354,122.6798513105413,41.149507556277754,0.33542188971288694,8,True,0.6666666666666666,0.3965328092825758,0.002189899969380349,0.021114000002853572
atomicity,9fc9d42f413a25a31802,3089648593,8,corridor,Pasillo,0.7,1.0,0.8595380884139183,16,5,OPTIMAL,OPTIMAL,92.85522409395485,154.95220523608546,62.096981142130616,0.40074925715009696,8,True,0.6666666666666666,0.498836373861419,0.0019286000169813633,0.016202199971303344
atomicity,35857479d3d84c97bdb2,39224223,9,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,121.25115994669255,153.30881325886762,32.05765331217506,0.20910509076894704,7,True,0.4666666666666667,0.3007521047850979,0.002114600036293268,0.005340299976523966
atomicity,35857479d3d84c97bdb2,39224223,9,corridor,Pasillo,0.7,0.15,0.17935303065942176,16,5,OPTIMAL,OPTIMAL,110.81081493888094,142.39157770321674,31.5807627643358,0.2217881371478221,7,True,0.5,0.40640276789150426,0.0015911999507807195,0.013225300004705787
atomicity,35857479d3d84c97bdb2,39224223,9,corridor,Pasillo,0.7,0.35,0.4669927026847819,16,5,OPTIMAL,OPTIMAL,100.8974225081773,135.63996860941603,34.74254610123873,0.25613796919462667,7,True,0.5384615384615384,0.3864935644969882,0.0017510000034235418,0.03360750002320856
atomicity,35857479d3d84c97bdb2,39224223,9,corridor,Pasillo,0.7,0.65,0.28855949028233463,16,5,OPTIMAL,OPTIMAL,111.40365491074962,133.32106961007943,21.91741469932981,0.16439573102309402,7,True,0.5,0.29377502398277955,0.0011175000108778477,0.022460000007413328
atomicity,35857479d3d84c97bdb2,39224223,9,corridor,Pasillo,0.7,1.0,0.6142853696190416,16,5,OPTIMAL,OPTIMAL,84.16697695376341,126.13402732827724,41.96705037451383,0.3327179133453823,6,True,0.5454545454545454,0.4882502230891495,0.0013121000374667346,0.03699910000432283
atomicity,af95a18e337af5e83b6b,1423628189,10,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,247.34433913400207,427.7228043425121,180.37846520851005,0.42171813935846747,7,True,0.4375,0.4851295275392158,0.0012119000311940908,0.001685399969574064
atomicity,af95a18e337af5e83b6b,1423628189,10,corridor,Pasillo,0.7,0.15,0.20239223021959848,16,5,OPTIMAL,OPTIMAL,239.80839666408542,282.61777172618065,42.80937506209523,0.15147446248911717,7,True,0.4666666666666667,0.46643705603007646,0.0010801000171341002,0.01849619997665286
atomicity,af95a18e337af5e83b6b,1423628189,10,corridor,Pasillo,0.7,0.35,0.4185395196055951,16,5,OPTIMAL,OPTIMAL,210.91793518612724,250.01265250078043,39.094717314653195,0.1563709553240757,9,True,0.6,0.4611964850433532,0.001642799994442612,0.04080469999462366
atomicity,af95a18e337af5e83b6b,1423628189,10,corridor,Pasillo,0.7,0.65,0.7453697806080941,16,5,OPTIMAL,OPTIMAL,176.0733960408835,227.11490623912763,51.04151019824414,0.2247387062498791,7,True,0.5384615384615384,0.48685529940134464,0.0012310000020079315,0.1366647999966517
atomicity,af95a18e337af5e83b6b,1423628189,10,corridor,Pasillo,0.7,1.0,0.6819457104964308,16,5,OPTIMAL,OPTIMAL,179.2951435007333,233.4057698732419,54.11062637250859,0.23183071439020128,8,True,0.5714285714285714,0.35173710127600744,0.0015554000274278224,0.06640579999657348
atomicity,8c21ec1d6e073e4e262d,2918937660,11,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,108.73423323626949,160.6334410692941,51.899207833024604,0.32309092980605647,7,True,0.4666666666666667,0.3835227863649313,0.0012627000105567276,0.002132499997969717
atomicity,8c21ec1d6e073e4e262d,2918937660,11,corridor,Pasillo,0.7,0.15,0.1412718687487261,16,5,OPTIMAL,OPTIMAL,112.18841593431793,138.4852570431282,26.29684110881027,0.18988910206247223,6,True,0.42857142857142855,0.2465315809734492,0.0013424999779090285,0.030769000004511327
atomicity,8c21ec1d6e073e4e262d,2918937660,11,corridor,Pasillo,0.7,0.35,0.3281803916080612,16,5,OPTIMAL,OPTIMAL,107.1065033663422,130.23064443962167,23.124141073279475,0.17756297815143218,7,True,0.4666666666666667,0.3330927487859744,0.0014084000140428543,0.031896799977403134
atomicity,8c21ec1d6e073e4e262d,2918937660,11,corridor,Pasillo,0.7,0.65,0.6226802548008442,16,5,OPTIMAL,OPTIMAL,87.05816321288188,118.7778564217151,31.71969320883322,0.26705056114343373,8,True,0.6153846153846154,0.3586048037504985,0.0034150999854318798,0.04058659996371716
atomicity,8c21ec1d6e073e4e262d,2918937660,11,corridor,Pasillo,0.7,1.0,0.9612359358766502,16,5,OPTIMAL,OPTIMAL,79.15452329642225,126.24498193492306,47.090458638500806,0.37300855777994457,7,True,0.6363636363636364,0.476370642260979,0.0014396000187844038,0.03000699996482581
atomicity,a043bea83b0e76ac2f06,1687938221,12,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,126.91423413472631,191.62643061182146,64.71219647709515,0.3376997435608606,8,True,0.5,0.39864335115903615,0.0019153999746777117,0.003952200000640005
atomicity,a043bea83b0e76ac2f06,1687938221,12,corridor,Pasillo,0.7,0.15,0.1224423843150771,16,5,OPTIMAL,OPTIMAL,114.3716960245342,144.2003220180239,29.82862599348971,0.20685547421843736,8,True,0.5714285714285714,0.4565158775546635,0.002194400003645569,0.009009099972900003
atomicity,a043bea83b0e76ac2f06,1687938221,12,corridor,Pasillo,0.7,0.35,0.25277758797207206,16,5,OPTIMAL,OPTIMAL,134.3526157648967,166.99708628796859,32.644470523071874,0.1954792819964534,8,True,0.5333333333333333,0.4613859393754416,0.0014713000273332,0.023355100012850016
atomicity,a043bea83b0e76ac2f06,1687938221,12,corridor,Pasillo,0.7,0.65,0.5688273206886495,16,5,OPTIMAL,OPTIMAL,99.99494861568576,134.56488737365018,34.56993875796442,0.2569016288920384,8,True,0.6153846153846154,0.46283376938533627,0.0015291000017896295,0.016170000017154962
atomicity,a043bea83b0e76ac2f06,1687938221,12,corridor,Pasillo,0.7,1.0,1.3636775715614418,16,5,OPTIMAL,OPTIMAL,79.84901904315399,199.82258142593898,119.97356238278499,0.6004004228483619,7,True,0.7,0.46208827597346386,0.0017713999841362238,0.04426779999630526
atomicity,dcd5e0cf8beaa542d325,2295811249,13,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,202.3352066854362,302.9623377158535,100.6271310304173,0.33214402750217376,9,True,0.5625,0.49579622579616256,0.0012400000123307109,0.001735099998768419
atomicity,dcd5e0cf8beaa542d325,2295811249,13,corridor,Pasillo,0.7,0.15,0.18685606786165154,16,5,OPTIMAL,OPTIMAL,181.82162741400674,237.4752046758023,55.65357726179556,0.23435531864378437,8,True,0.5333333333333333,0.49262390560387626,0.001153399993199855,0.006723699974827468
atomicity,dcd5e0cf8beaa542d325,2295811249,13,corridor,Pasillo,0.7,0.35,0.30542716057209557,16,5,OPTIMAL,OPTIMAL,182.92100499842726,247.1086154590506,64.18761046062335,0.25975464409196264,8,True,0.5333333333333333,0.34841266980130825,0.0011995999957434833,0.033854099980089813
atomicity,dcd5e0cf8beaa542d325,2295811249,13,corridor,Pasillo,0.7,0.65,0.3710788705374961,16,5,OPTIMAL,OPTIMAL,170.73642136802823,230.44307075569802,59.706649387669785,0.2590950085497134,6,True,0.42857142857142855,0.42113188280298874,0.0012217999901622534,0.017880800005514175
atomicity,dcd5e0cf8beaa542d325,2295811249,13,corridor,Pasillo,0.7,1.0,0.7264334658230249,16,5,OPTIMAL,OPTIMAL,161.97414775829026,213.3370590618724,51.36291130358214,0.24075944202777153,8,True,0.5714285714285714,0.48066718524104923,0.0013719000271521509,0.056761200015898794
atomicity,0779049c8132c450307c,2218403357,14,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,135.34085204361003,298.0717051461672,162.73085310255715,0.5459453221927182,7,True,0.4375,0.14545417895234447,0.0012355000362731516,0.0018986000213772058
atomicity,0779049c8132c450307c,2218403357,14,corridor,Pasillo,0.7,0.15,0.10729892997034525,16,5,OPTIMAL,OPTIMAL,135.85975181986262,189.95737148292469,54.09761966306206,0.2847882092742314,9,True,0.6,0.4196539728811002,0.0011413999600335956,0.045862300030421466
atomicity,0779049c8132c450307c,2218403357,14,corridor,Pasillo,0.7,0.35,0.24553278834574166,16,5,OPTIMAL,OPTIMAL,138.29292550353924,199.07566033541482,60.78273483187559,0.30532479324426265,9,True,0.5625,0.492093410735516,0.0014008000143803656,0.062171900004614145
atomicity,0779049c8132c450307c,2218403357,14,corridor,Pasillo,0.7,0.65,0.7006219704636552,16,5,OPTIMAL,OPTIMAL,126.555567871243,185.97610890881884,59.420541037575845,0.3195063139357798,7,True,0.4666666666666667,0.4224384271163218,0.0012384000001475215,0.07307379995472729
atomicity,0779049c8132c450307c,2218403357,14,corridor,Pasillo,0.7,1.0,0.7180310936925551,16,5,OPTIMAL,OPTIMAL,115.82054148637137,149.51054047515,33.68999898877864,0.22533527657455174,7,True,0.5384615384615384,0.3983407693696309,0.0013500999775715172,0.01514660002430901
atomicity,01b5971987d05e1e4eb9,749504376,15,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,168.77710148311883,266.10245966560956,97.32535818249073,0.3657439254969383,8,True,0.5,0.4550642311257931,0.0011718000168912113,0.0016009000246413052
atomicity,01b5971987d05e1e4eb9,749504376,15,corridor,Pasillo,0.7,0.15,0.18243268542196153,16,5,OPTIMAL,OPTIMAL,154.59010528037973,222.50205065251907,67.91194537213934,0.3052194133626088,6,True,0.4,0.4253212200613403,0.001080599962733686,0.02152020001085475
atomicity,01b5971987d05e1e4eb9,749504376,15,corridor,Pasillo,0.7,0.35,0.32065023154959826,16,5,OPTIMAL,OPTIMAL,185.45910539815407,245.51916395380454,60.06005855565047,0.2446247274080447,8,True,0.5333333333333333,0.4528966365608272,0.0012892999802716076,0.026621900033205748
atomicity,01b5971987d05e1e4eb9,749504376,15,corridor,Pasillo,0.7,0.65,0.6283037969900621,16,5,OPTIMAL,OPTIMAL,176.31504255097232,225.09085389207516,48.77581134110284,0.21669388381497495,7,True,0.5833333333333334,0.41350498373724975,0.001317799964454025,0.02659020002465695
atomicity,01b5971987d05e1e4eb9,749504376,15,corridor,Pasillo,0.7,1.0,0.8161595475316267,16,5,OPTIMAL,OPTIMAL,127.81130286290619,201.10325137981243,73.29194851690625,0.364449346363296,7,True,0.5833333333333334,0.4361654989700682,0.0012329000164754689,0.02108920004684478
atomicity,6fdd415f00425a274d78,3220217033,16,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,87.41032078647444,123.0939508639203,35.683630077445855,0.2898893879593963,7,True,0.4666666666666667,0.4020229727218033,0.0011967000318691134,0.0017584999441169202
atomicity,6fdd415f00425a274d78,3220217033,16,corridor,Pasillo,0.7,0.15,0.10485470290446404,16,5,OPTIMAL,OPTIMAL,83.10543605266544,102.86169000476538,19.75625395209994,0.19206620026546978,6,True,0.46153846153846156,0.31081162815325686,0.0009969999664463103,0.0030518000130541623
atomicity,6fdd415f00425a274d78,3220217033,16,corridor,Pasillo,0.7,0.35,0.25806682107376555,16,5,OPTIMAL,OPTIMAL,85.26931893907866,114.71888983580796,29.4495708967293,0.25671073821302803,5,True,0.38461538461538464,0.46466123367723533,0.00090970000019297,0.006454799964558333
atomicity,6fdd415f00425a274d78,3220217033,16,corridor,Pasillo,0.7,0.65,0.5848540109907053,16,5,OPTIMAL,OPTIMAL,79.5965395513769,104.98547172142497,25.388932170048065,0.24183281509099325,7,True,0.5384615384615384,0.4751485370017944,0.001046899997163564,0.01099340000655502
atomicity,6fdd415f00425a274d78,3220217033,16,corridor,Pasillo,0.7,1.0,0.744839134086732,16,5,OPTIMAL,OPTIMAL,56.352716169424184,79.4207126730395,23.06799650361532,0.29045315418638995,7,True,0.6363636363636364,0.4904823985298341,0.0011145000462420285,0.002477100002579391
atomicity,dd0e6cf2393b7f42acd6,3240704485,17,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,87.88804903370173,134.05843462619654,46.17038559249481,0.34440492850177284,6,True,0.4,0.32435587356038265,0.0010470999986864626,0.001644300005864352
atomicity,dd0e6cf2393b7f42acd6,3240704485,17,corridor,Pasillo,0.7,0.15,0.11431830434285,16,5,OPTIMAL,OPTIMAL,80.5732819532207,109.59370634895595,29.020424395735247,0.2648000999558467,7,True,0.5,0.41023714467189154,0.0010875000152736902,0.007698000001255423
atomicity,dd0e6cf2393b7f42acd6,3240704485,17,corridor,Pasillo,0.7,0.35,0.29680066682957496,16,5,OPTIMAL,OPTIMAL,97.48050660167115,122.92785948639889,25.447352884727735,0.20701046118470245,7,True,0.4375,0.49020921489105046,0.0010145000414922833,0.008196000009775162
atomicity,dd0e6cf2393b7f42acd6,3240704485,17,corridor,Pasillo,0.7,0.65,0.62821127008877,16,5,OPTIMAL,OPTIMAL,75.17414914797469,106.0877868127626,30.913637664787913,0.2913967629407548,8,True,0.6153846153846154,0.48471529289365534,0.0013420000323094428,0.010060500004328787
atomicity,dd0e6cf2393b7f42acd6,3240704485,17,corridor,Pasillo,0.7,1.0,0.822114505207361,16,5,OPTIMAL,OPTIMAL,100.87768084351231,134.01834027381352,33.14065943030121,0.24728450869180568,7,True,0.5,0.4324158926910019,0.0011733000283129513,0.009714199986774474
atomicity,c2763464bf94ed3efe14,158628397,18,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,220.60687012076312,312.2343135068136,91.62744338605046,0.2934573152993672,8,True,0.5333333333333333,0.47057315723024806,0.001117000007070601,0.0016620000242255628
atomicity,c2763464bf94ed3efe14,158628397,18,corridor,Pasillo,0.7,0.15,0.16152901453497184,16,5,OPTIMAL,OPTIMAL,215.77352370802797,260.9086657880341,45.13514208000615,0.17299211562667902,7,True,0.4666666666666667,0.39806155408604327,0.0010868999524973333,0.036517800006549805
atomicity,c2763464bf94ed3efe14,158628397,18,corridor,Pasillo,0.7,0.35,0.30446275349782626,16,5,OPTIMAL,OPTIMAL,244.08507115570404,281.08127002908816,36.99619887338412,0.13162100366757096,8,True,0.5,0.49811150965587075,0.0013283999869599938,0.10787280002841726
atomicity,c2763464bf94ed3efe14,158628397,18,corridor,Pasillo,0.7,0.65,0.6599007351187615,16,5,OPTIMAL,OPTIMAL,162.64692003707387,210.70573244078014,48.05881240370627,0.22808497826329158,8,True,0.5714285714285714,0.3544527808811514,0.001144800044130534,0.07832809997489676
atomicity,c2763464bf94ed3efe14,158628397,18,corridor,Pasillo,0.7,1.0,0.530188166084502,16,5,OPTIMAL,OPTIMAL,180.96494637124738,235.08227821666304,54.11733184541566,0.23020591877852464,8,True,0.6153846153846154,0.4853534898770294,0.0011271999683231115,0.14597210002830252
atomicity,ca1ac9b49e78362414ec,1056182064,19,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,201.5439657763084,354.9283758540726,153.38441007776422,0.4321559517710345,8,True,0.5,0.42353432903616306,0.001197999983560294,0.0017514000064693391
atomicity,ca1ac9b49e78362414ec,1056182064,19,corridor,Pasillo,0.7,0.15,0.09057579119753613,16,5,OPTIMAL,OPTIMAL,192.75823196009176,298.47168103037444,105.71344907028268,0.35418250972870213,9,True,0.5625,0.2795932207999825,0.0011261999607086182,0.009638699993956834
atomicity,ca1ac9b49e78362414ec,1056182064,19,corridor,Pasillo,0.7,0.35,0.2764959941243204,16,5,OPTIMAL,OPTIMAL,174.86322508024494,235.01720637593866,60.15398129569371,0.2559556477727426,8,True,0.5333333333333333,0.4210821196500505,0.0011728000245057046,0.24379119998775423
atomicity,ca1ac9b49e78362414ec,1056182064,19,corridor,Pasillo,0.7,0.65,0.5439285365827077,16,5,OPTIMAL,OPTIMAL,148.09453300559503,182.13588437779347,34.04135137219845,0.18690084871791945,9,True,0.6428571428571429,0.4493298138464277,0.0011632000096142292,0.024435600033029914
atomicity,ca1ac9b49e78362414ec,1056182064,19,corridor,Pasillo,0.7,1.0,0.6950877733687331,16,5,OPTIMAL,OPTIMAL,151.73472145090972,182.57383703056664,30.83911557965692,0.16891311527014582,8,True,0.5714285714285714,0.4975687620222478,0.0013077000039629638,0.017302500025834888
atomicity,ad3ad161e8c871893c16,2316537276,20,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,148.2421941915737,219.51299357753945,71.27079938596574,0.3246769051089929,8,True,0.5333333333333333,0.3529063052363757,0.0012420000275596976,0.0020756000303663313
atomicity,ad3ad161e8c871893c16,2316537276,20,corridor,Pasillo,0.7,0.15,0.14026886833930513,16,5,OPTIMAL,OPTIMAL,148.08085137062878,163.94089395318863,15.860042582559856,0.09674244296294067,8,True,0.5333333333333333,0.44412412470159285,0.0011752000427804887,0.006448199972510338
atomicity,ad3ad161e8c871893c16,2316537276,20,corridor,Pasillo,0.7,0.35,0.33683034714912014,16,5,OPTIMAL,OPTIMAL,123.42079151366,157.6411152897924,34.22032377613239,0.2170774021309416,7,True,0.5384615384615384,0.405477587800289,0.001201000006403774,0.01862659998005256
atomicity,ad3ad161e8c871893c16,2316537276,20,corridor,Pasillo,0.7,0.65,0.5419625035491189,16,5,OPTIMAL,OPTIMAL,127.90030956285528,156.92798948127276,29.027679918417476,0.18497452248237423,6,True,0.5,0.4634679569011373,0.001221700047608465,0.01969059999100864
atomicity,ad3ad161e8c871893c16,2316537276,20,corridor,Pasillo,0.7,1.0,0.8081132819186478,16,5,OPTIMAL,OPTIMAL,128.7685767516632,173.8021570509187,45.033580299255505,0.25910829338016816,8,True,0.6666666666666666,0.48899726288923795,0.0010872000129893422,0.015209700039122254
atomicity,258f0daa82d1eb8fa52d,142287202,21,corridor,Pasillo,0.7,0.0,0.0,16,5,OPTIMAL,OPTIMAL,120.33561813593481,162.76115366757446,42.42553553163965,0.26066130999716386,7,True,0.4666666666666667,0.439848433749942,0.0011871999595314264,0.001686600036919117
