claim_id,campaign,metric,method,macro,denominator_definition,n_total,n_used,estimate,ci_low,ci_high,source_csv,filter,definition,appears_in,script,git_sha
SPoneDmisWorldsCert,,,,\SPoneDmisWorldsCert,cert,,,1160.0,,,n4_v2/e4_family_runs.csv,,pares comparados,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisSameObjN,N4.E4,mundos con J identico,DMIS+TX vs CF,\SPoneDmisSameObjN,full,1200,1200,1200.0,,,n4_v2/e4_family_runs.csv,ambos metodos presentes,mundos con objetivo identico entre DMIS+TX y CF,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisPairedN,,,,\SPoneDmisPairedN,full,,,1200.0,,,n4_v2/e4_family_runs.csv,,pares comparados,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarWorlds,,,,\SPoneHstarWorlds,bloque confirmatorio,,,1200.0,,,n4_v4/e9_hstar_runs.csv,,mundos del bloque frozen_main,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarTwoCount,,,,\SPoneHstarTwoCount,bloque confirmatorio,,,1156.0,,,n4_v4/e9_hstar_runs.csv,,recuento de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarTwoPct,,,,\SPoneHstarTwoPct,bloque confirmatorio,,,96.3333,,,n4_v4/e9_hstar_runs.csv,,porcentaje de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarThreeCount,,,,\SPoneHstarThreeCount,bloque confirmatorio,,,4.0,,,n4_v4/e9_hstar_runs.csv,,recuento de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarThreePct,,,,\SPoneHstarThreePct,bloque confirmatorio,,,0.3333,,,n4_v4/e9_hstar_runs.csv,,porcentaje de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarNotFoundCount,,,,\SPoneHstarNotFoundCount,bloque confirmatorio,,,40.0,,,n4_v4/e9_hstar_runs.csv,,recuento de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneHstarNotFoundPct,,,,\SPoneHstarNotFoundPct,bloque confirmatorio,,,3.3333,,,n4_v4/e9_hstar_runs.csv,,porcentaje de la categoria de h_c*,"N4 texto, F7C",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeCommonWorlds,,,,\SPoneNThreeCommonWorlds,common,,,878.0,,,n3_v2/e2_runs.csv,,los tres metodos factibles y certificado,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeCbbaGap,,,,\SPoneNThreeCbbaGap,common,,,40.2516,,,n3_v2/e2_runs.csv,,mediana de la brecha sobre soporte comun,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeCbbaBytes,,,,\SPoneNThreeCbbaBytes,cert,,,9135.4375,,,n3_v2/e2_runs.csv,,mediana de bytes/AMR,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeCbbaFeas,,,,\SPoneNThreeCbbaFeas,cert,,,75.755,,,n3_v2/e2_runs.csv,,factibilidad condicionada al oraculo,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeGrapeGap,,,,\SPoneNThreeGrapeGap,common,,,20.9142,,,n3_v2/e2_runs.csv,,mediana de la brecha sobre soporte comun,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeGrapeBytes,,,,\SPoneNThreeGrapeBytes,cert,,,20776.875,,,n3_v2/e2_runs.csv,,mediana de bytes/AMR,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreeGrapeFeas,,,,\SPoneNThreeGrapeFeas,cert,,,99.8274,,,n3_v2/e2_runs.csv,,factibilidad condicionada al oraculo,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreePairGrapeGap,,,,\SPoneNThreePairGrapeGap,common,,,9.3763,,,n3_v2/e2_runs.csv,,mediana de la brecha sobre soporte comun,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreePairGrapeBytes,,,,\SPoneNThreePairGrapeBytes,cert,,,25511.25,,,n3_v2/e2_runs.csv,,mediana de bytes/AMR,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneNThreePairGrapeFeas,,,,\SPoneNThreePairGrapeFeas,cert,,,100.0,,,n3_v2/e2_runs.csv,,factibilidad condicionada al oraculo,"N3 texto, F5",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
