assignment_switches,censored_loads,coalition_breaks,comm_graph_lambda2_mean,delivered_reward,delivered_weight_ratio,delivery_rate,discovery_latency_first_mean,discovery_latency_mean,distance_per_delivered_weight,family,frac_loads_never_discovered,info_requirement,label,lateral_switches,lateral_switches_per_delivery,lateral_while_transporting,loads_delivered,loads_offered,loads_spawned,max_completion_time,max_contact_margin,max_formation_error,mean_communication_degree,mean_completion_time,mean_contact_deficit,mean_contact_surplus,mean_formation_error,mean_time_post_discovery,method,min_load_obstacle_clearance,min_pair_distance,min_robot_obstacle_clearance,network_coverage_mean,offered_load,oracle_reward,peak_deficit_after_fault,pre_failure_deliveries,price_level_vs_lambda_star,price_std_late,priority_regret,recovery_time_s,recruit_latency_mean,recruit_switches,release_switches,reward_capture_discovered,reward_capture_ratio,rho,robots,run_mode,runtime_per_decision_ms,runtime_seconds,scenario,scenario_case,seed,staffing_rmse_vs_theory,station_mesh_connected,switch_denominator_lt3,switch_event_log_path,switches_per_delivery,throughput_steady,total_robot_distance,visual_method,visual_scenario,wasted_distance
114,10,0,0.36830215542371514,22.5,0.6181818181818182,0.5652173913043478,0.0,0.0,18.783837449777053,classic,0.0,global,Classic centralized min-cost,78,6.0,0,13,55,23,153.03763786623503,1.0,7.920071776263223,10.95774387424873,74.33140945146008,3.4384146341463415,0.14329268292682926,1.3766869182948867,74.33140945146008,classic_centralized_mincost,0.5248844124255986,0.20120417410332003,0.07999999999999974,0.8047135135135135,2.5,82.0,nan,nan,nan,nan,59.5,nan,57.539941420402464,23,13,0.27439024390243905,0.27439024390243905,2.5,15,nan,6.2914337031543255,4.536123699974269,scarcity_priority,triage_forced,2026,nan,True,False,nan,8.76923076923077,4.444444444444445,1277.3009465848395,classic_centralized_mincost,scarcity_priority,67.96141745012032
114,10,0,0.36830215542371514,22.5,0.6181818181818182,0.5652173913043478,0.0,0.0,18.783837449777053,oracle,0.0,global,Oracle clairvoyant,78,6.0,0,13,55,23,153.03763786623503,1.0,7.920071776263223,10.95774387424873,74.33140945146008,3.4384146341463415,0.14329268292682926,1.3766869182948867,74.33140945146008,oracle_clairvoyant,0.5248844124255986,0.20120417410332003,0.07999999999999974,0.8047135135135135,2.5,82.0,nan,nan,nan,nan,59.5,nan,57.539941420402464,23,13,0.27439024390243905,0.27439024390243905,2.5,15,nan,5.299231206711469,3.8207457000389695,scarcity_priority,triage_forced,2026,nan,True,False,nan,8.76923076923077,4.444444444444445,1277.3009465848395,oracle_clairvoyant,scarcity_priority,67.96141745012032
466,10,2,0.4526009565917353,24.5,0.5454545454545454,0.6774193548387096,24.769660350012696,24.769660350012696,15.68235124333251,ours,0.0,local,Smith main raw,398,18.952380952380953,24,21,57,31,117.10115242509727,0.0,7.802327356878474,9.894220989366621,63.88010383548269,4.456890088469036,0.011695906432748537,1.1555352899178322,52.54761904761905,smith_full,0.47828597885349555,0.22459249016990393,0.07999999999999974,0.8454918918918918,2.5,85.5,nan,nan,150534.53645402426,0.19907910366695966,61.0,nan,26.653846153846153,41,27,0.532608695652174,0.28654970760233917,2.5,15,nan,9.483402496511854,6.837533199985046,scarcity_priority,triage_forced,2027,3.9503093823838116,True,False,nan,22.19047619047619,7.777777777777778,1223.2233969799358,smith_full,scarcity_priority,152.450698835852
98,10,0,0.3314865106897355,22.5,0.6086956521739131,0.6,26.37267382974421,26.37267382974421,18.336468345920395,classic,0.0,local,Classic greedy nearest,87,5.8,0,15,57,25,128.5258184356671,1.0,10.171899144993487,9.72057327785483,77.34553848631528,3.9327221647197987,0.1457932870028094,1.5600014641785633,75.11666666666666,classic_greedy_nearest,0.4869631786171097,0.2209324242263718,0.07999999999999974,0.8350702702702701,2.5,85.5,nan,nan,nan,nan,63.0,nan,49.041666666666664,11,0,0.6081081081081081,0.2631578947368421,2.5,15,nan,7.581063245514204,5.465946600015741,scarcity_priority,triage_forced,2027,nan,True,False,nan,6.533333333333333,5.555555555555555,1283.5527842144277,classic_greedy_nearest,scarcity_priority,73.07676014211899
110,10,0,0.3524294830472421,22.5,0.6181818181818182,0.5652173913043478,0.0,0.0,19.70020537675627,classic,0.0,global,Classic centralized min-cost,74,5.6923076923076925,0,13,57,23,168.00797052842486,1.0,7.904451462910538,10.726768377253814,67.91186912894501,3.587842846553002,0.14217939214232764,1.5059732279374904,67.91186912894501,classic_centralized_mincost,0.4758025679044612,0.22093044404277698,0.07999999999999974,0.8066162162162162,2.5,85.5,nan,nan,nan,nan,63.0,nan,51.410739813838035,23,13,0.2631578947368421,0.2631578947368421,2.5,15,nan,5.350674618563218,3.8578363999840803,scarcity_priority,triage_forced,2027,nan,True,False,nan,8.461538461538462,3.888888888888889,1339.6139656194264,classic_centralized_mincost,scarcity_priority,103.71576686981973
109,10,0,0.35914738519791994,22.5,0.6181818181818182,0.5652173913043478,0.0,0.0,19.657865948498504,oracle,0.0,global,Oracle clairvoyant,73,5.615384615384615,0,13,57,23,168.00797052842486,1.0,7.904451462910538,10.646139620896902,67.91186912894501,3.5869532987398074,0.14232765011119347,1.5040207486598909,67.91186912894501,oracle_clairvoyant,0.4758025679044612,0.22093044404277698,0.07999999999999974,0.8105513513513514,2.5,85.5,nan,nan,nan,nan,63.0,nan,51.410739813838035,23,13,0.2631578947368421,0.2631578947368421,2.5,15,nan,5.225365603311651,3.7674885999877006,scarcity_priority,triage_forced,2027,nan,True,False,nan,8.384615384615385,3.888888888888889,1336.7348844978983,oracle_clairvoyant,scarcity_priority,102.42671467917128
488,10,3,0.4202334535863836,25.5,0.5328947368421053,0.6875,32.07174901296019,32.07174901296019,15.338451177805629,ours,0.0,local,Smith main raw,424,19.272727272727273,54,22,62,32,134.7226873517347,0.0,8.023205290246096,10.550346740638004,71.28355626638876,4.533187134502924,0.011842105263157895,1.202756990269549,52.46590909090909,smith_full,0.46863680317877954,0.24868769347872227,0.07999999999999985,0.8240864864864864,2.5,94.0,nan,nan,135481.1029442013,0.2091845487305208,68.5,nan,25.221153846153847,39,25,0.5204081632653061,0.2712765957446808,2.5,15,nan,9.43893106798312,6.8054693000158295,scarcity_priority,triage_forced,2028,3.811408881428999,True,False,nan,22.181818181818183,7.222222222222222,1242.414545402256,smith_full,scarcity_priority,124.88631212976871
101,10,0,0.3375367149051923,22.5,0.6086956521739131,0.6,35.515939927504725,35.515939927504725,18.55875190703036,classic,0.0,local,Classic greedy nearest,90,6.0,0,15,62,25,145.500741110542,1.0,10.691025596379134,10.08784096162737,81.34340492394884,3.8514677961150867,0.14940850007302467,1.5226760308473226,74.5,classic_greedy_nearest,0.46838400000142977,0.18941841173056428,0.07999999999999974,0.8090378378378379,2.5,94.0,nan,nan,nan,nan,71.5,nan,49.013888888888886,11,0,0.6081081081081081,0.2393617021276596,2.5,15,nan,7.235876837714308,5.217067199992016,scarcity_priority,triage_forced,2028,nan,True,False,nan,6.733333333333333,5.0,1299.112633492125,classic_greedy_nearest,scarcity_priority,118.18883800637478
122,10,0,0.3896084653809107,23.5,0.6339285714285714,0.5833333333333334,0.0,0.0,18.719929641654748,classic,0.0,global,Classic centralized min-cost,83,5.928571428571429,0,14,62,24,151.31064983239796,1.0,7.717025995706211,11.173555247341655,79.97789319645953,3.557535046728972,0.14004088785046728,1.445046264573966,79.97789319645953,classic_centralized_mincost,0.5177637982080269,0.19012822377820382,0.07999999999999963,0.8012972972972973,2.5,94.0,nan,nan,nan,nan,70.5,nan,68.14484730141626,24,15,0.25,0.25,2.5,15,nan,5.3457403606373495,3.8542788000195287,scarcity_priority,triage_forced,2028,nan,True,False,nan,8.714285714285714,4.444444444444445,1329.115004557487,classic_centralized_mincost,scarcity_priority,85.36227267749346
120,10,0,0.38431527061838994,23.5,0.6339285714285714,0.5833333333333334,0.0,0.0,18.69307962653607,oracle,0.0,global,Oracle clairvoyant,81,5.785714285714286,0,14,62,24,150.31064983239796,1.0,7.717025995706211,11.135460009246417,79.76360748217382,3.5616238317757007,0.14106308411214954,1.423417327641417,79.76360748217382,oracle_clairvoyant,0.5132561875995169,0.19012822377820382,0.07999999999999963,0.7994378378378378,2.5,94.0,nan,nan,nan,nan,70.5,nan,67.95734730141626,24,15,0.25,0.25,2.5,15,nan,5.278708183076801,3.8059485999983735,scarcity_priority,triage_forced,2028,nan,True,False,nan,8.571428571428571,4.444444444444445,1327.208653484061,oracle_clairvoyant,scarcity_priority,89.38329722250162
345,3,0,0.33601620921261227,14.3,0.6493506493506493,0.7,38.42861892548508,38.42861892548508,17.849668842255063,ours,0.0,local,Smith main raw,180,25.714285714285715,4,7,21,10,123.85691394292938,0.0,9.96129043579918,7.830975496994914,67.85459790668303,5.7418848167539265,0.02617801047120419,1.9218508406382973,41.5,smith_full,0.46033915798800396,0.12428831335590954,0.07999999999999985,0.7952,1.1,40.660000000000004,1.2986111111111112,2,20315.856676319145,0.24274634569476372,26.360000000000003,0.0,1.7222222222222223,87,78,0.6707317073170732,0.35169699950811606,1.1,15,nan,6.01792649096963,4.3389249999891035,robot_failures,fail4,2026,6.916728567066832,True,False,nan,49.285714285714285,2.7777777777777777,892.4834421127532,smith_full,robot_failure,36.65871525321906
97,3,1,0.20252033615305712,14.620000000000001,0.6753246753246753,0.7,33.60361892548508,33.60361892548508,20.291608674095876,classic,0.0,local,Classic greedy nearest,65,9.285714285714286,0,7,21,10,108.72902685475927,1.0,11.084450592196566,7.536199722607489,62.781443446411444,4.893819334389858,0.2662440570522979,2.4275073718937814,50.82142857142857,classic_greedy_nearest,0.5361564646327015,0.14855351116725846,0.07999999999999985,0.6474378378378377,1.1,40.660000000000004,1.8668088587044842,3,nan,nan,26.040000000000003,0.0,9.833333333333334,18,14,0.6857410881801126,0.35956714215445157,1.1,15,nan,5.50617406381444,3.969951500010211,robot_failures,fail4,2026,nan,True,False,nan,13.857142857142858,2.2222222222222223,1055.1636510529856,classic_greedy_nearest,robot_failure,184.84606677081058
74,3,1,0.2728438125816993,12.280000000000001,0.6231884057971014,0.6666666666666666,0.0,0.0,18.302536735599684,classic,0.0,global,Classic centralized min-cost,24,4.0,0,6,21,9,116.94917936391478,1.0,9.906369937513935,7.288210818307905,68.72921190064197,5.164202745512144,0.22703273495248152,1.4089952843110203,68.72921190064197,classic_centralized_mincost,0.5342413655212823,0.15260923296603365,0.07999999999999996,0.7408864864864864,1.1,40.660000000000004,1.8668088587044842,3,nan,nan,28.380000000000003,0.0,46.26959214503655,25,25,0.30201672405312346,0.30201672405312346,1.1,15,nan,4.655779888995519,3.356817299965769,robot_failures,fail4,2026,nan,True,False,nan,12.333333333333334,1.6666666666666665,787.0090796307863,classic_centralized_mincost,robot_failure,127.43234233398154
74,3,1,0.2728438125816993,12.280000000000001,0.6231884057971014,0.6666666666666666,0.0,0.0,18.302536735599684,oracle,0.0,global,Oracle clairvoyant,24,4.0,0,6,21,9,116.94917936391478,1.0,9.906369937513935,7.288210818307905,68.72921190064197,5.164202745512144,0.22703273495248152,1.4089952843110203,68.72921190064197,oracle_clairvoyant,0.5342413655212823,0.15260923296603365,0.07999999999999996,0.7408864864864864,1.1,40.660000000000004,1.8668088587044842,3,nan,nan,28.380000000000003,0.0,46.26959214503655,25,25,0.30201672405312346,0.30201672405312346,1.1,15,nan,4.598502496540955,3.3155203000060283,robot_failures,fail4,2026,nan,True,False,nan,12.333333333333334,1.6666666666666665,787.0090796307863,oracle_clairvoyant,robot_failure,127.43234233398154
169,3,3,0.273153181998907,12.54,0.7090909090909091,0.7,53.269698467865986,53.269698467865986,23.08442575371252,ours,0.0,local,Smith main raw,24,3.4285714285714284,5,7,23,10,131.87182636910208,0.0,10.509628591818483,7.81544151641239,95.69634508792612,2.2114285714285713,0.018571428571428572,2.151915870767787,60.17857142857143,smith_full,0.629066110911524,0.19800338427989275,0.07999999999999974,0.7893621621621623,1.1,42.94,1.6111111111111112,2,65892.23128296279,0.22679212119776826,30.4,0.0,4.575,76,69,0.7044943820224718,0.2920353982300885,1.1,15,nan,6.179205131789362,4.45520690002013,robot_failures,fail4,2027,4.107608566380061,True,False,nan,24.142857142857142,2.7777777777777777,900.2926043947882,smith_full,robot_failure,47.559756469369596
72,3,0,0.21510320452270953,13.6,0.6666666666666666,0.7272727272727273,23.087884043538114,23.087884043538114,24.019805667911232,classic,0.0,local,Classic greedy nearest,54,6.75,0,8,23,11,111.77916740067474,1.0,10.957287818904286,7.341840036985668,55.09854967046773,3.3477846593616007,0.31014768937589327,1.6601385064064267,43.65625,classic_greedy_nearest,0.5378244101491055,0.22388728869879346,0.07999999999999985,0.7569297297297298,1.1,42.94,3.23195143364095,5,nan,nan,29.339999999999996,0.0,9.975,14,4,0.6974358974358974,0.3167210060549604,1.1,15,nan,5.786471289902894,4.172045800019987,robot_failures,fail4,2027,nan,True,False,nan,9.0,1.6666666666666665,960.7922267164492,classic_greedy_nearest,robot_failure,156.27271638007363
67,3,1,0.26094129792162196,11.9,0.6363636363636364,0.7,0.0,0.0,22.311347897077056,classic,0.0,global,Classic centralized min-cost,32,4.571428571428571,0,7,23,10,125.52916740067474,1.0,10.254440448701866,8.877484974572353,57.84522442780568,4.06,0.25761904761904764,1.4841061475723882,57.84522442780568,classic_centralized_mincost,0.6276096483728676,0.22466744684464554,0.07999999999999985,0.7128648648648649,1.1,42.94,3.48195143364095,5,nan,nan,31.04,0.0,30.360255008602287,20,15,0.27713088029809035,0.27713088029809035,1.1,15,nan,4.707880305086267,3.394381699967198,robot_failures,fail4,2027,nan,True,False,nan,9.571428571428571,1.1111111111111112,780.897176397697,classic_centralized_mincost,robot_failure,71.26176775188576
67,3,1,0.26094129792162196,11.9,0.6363636363636364,0.7,0.0,0.0,22.311347897077056,oracle,0.0,global,Oracle clairvoyant,32,4.571428571428571,0,7,23,10,125.52916740067474,1.0,10.254440448701866,8.877484974572353,57.84522442780568,4.06,0.25761904761904764,1.4841061475723882,57.84522442780568,oracle_clairvoyant,0.6276096483728676,0.22466744684464554,0.07999999999999985,0.7128648648648649,1.1,42.94,3.48195143364095,5,nan,nan,31.04,0.0,30.360255008602287,20,15,0.27713088029809035,0.27713088029809035,1.1,15,nan,4.719951595005356,3.4030850999988616,robot_failures,fail4,2027,nan,True,False,nan,9.571428571428571,1.1111111111111112,780.897176397697,oracle_clairvoyant,robot_failure,71.26176775188576
353,3,2,0.24603372183727631,7.6,0.6756756756756757,0.5714285714285714,42.268737003277046,42.268737003277046,27.855850218668913,ours,0.0,local,Smith main raw,147,36.75,5,4,24,7,144.8749897942532,0.0,9.781807399918852,7.666574202496532,87.58395204395609,2.522727272727273,0.011837121212121212,1.570485739035367,80.6875,smith_full,0.7183862806912534,0.17408431484601775,0.07999999999999985,0.7762162162162161,1.1,47.68,1.6388888888888888,2,13688.74663122135,0.15663192339451487,40.08,0.0,17.0,108,98,0.6219312602291325,0.1593959731543624,1.1,15,nan,6.170940637990869,4.449248199991416,robot_failures,fail4,2028,4.649868325180765,True,False,nan,88.25,1.1111111111111112,696.3962554667228,smith_full,robot_failure,134.17085714455433
84,3,1,0.20798872519827621,17.8,0.7142857142857143,0.7692307692307693,35.45829471243888,35.515987020131185,19.742552192688,classic,0.0,local,Classic greedy nearest,67,6.7,0,10,24,13,115.40779181267979,1.0,11.40654431524529,8.06879334257975,61.333603411013904,3.7103513770180436,0.32288698955365625,1.881897403361402,40.85,classic_greedy_nearest,0.4950393476839188,0.11929716931341819,0.07999999999999974,0.7379027027027028,1.1,47.68,2.793357868337642,5,nan,nan,29.88,0.0,7.8125,13,4,0.7410491257285595,0.37332214765100674,1.1,15,nan,5.934836615804433,4.279017199994996,robot_failures,fail4,2028,nan,True,False,nan,8.4,2.7777777777777777,1085.8403705978399,classic_greedy_nearest,robot_failure,117.05177322260425
91,3,0,0.2252800592528143,15.780000000000001,0.6666666666666666,0.75,0.0,0.0,18.668862520250652,classic,0.0,global,Classic centralized min-cost,32,3.5555555555555554,0,9,24,12,125.65779181267979,1.0,9.067076252688082,8.618030513176144,70.48169894292009,3.635500711912672,0.28856193640246797,2.1330471756855443,70.48169894292009,classic_centralized_mincost,0.4675352909544751,0.2845336862177656,0.07999999999999985,0.749837837837838,1.1,47.68,2.4878023127820863,4,nan,nan,31.9,0.0,43.49678845794661,32,27,0.3309563758389262,0.3309563758389262,1.1,15,nan,4.793299861309143,3.455969200003892,robot_failures,fail4,2028,nan,True,False,nan,10.11111111111111,2.7777777777777777,896.1054009720312,classic_centralized_mincost,robot_failure,24.85972061555965
