study,seed,N,N_original,K,M,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,milp_feasible,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,base_milp_total_distance,relative_distance_increase,assignment_churn,central_logical_messages,central_communication_bytes,retry_messages
asymmetry,2967909299,240,240,53,160,0.2,0.2,0.27822264940767805,high,clustered,moderate,none,0,False,1200.0,677.6071610936858,5.0,1.90957762767893,0.381915525535786,1.867735851718237,16.684812391125433,1.4904382744682851,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.027351980430759492,0,131,109,0.5458333333333333,2296.295928037017,17.528976549900893,0.12394858185694893,14.351849550231355,0.29745654145503336,53.05235118567155,2309.6900158334347,561704,12720,346,5074573800,5093782600,5359375000,nan,nan,nan,371,32317,0
asymmetry,1319155624,240,240,53,160,0.2,0.2,0.28531359287700275,high,clustered,moderate,none,0,False,1200.0,667.2485946623506,5.0,1.8559619358824215,0.3711923871764843,2.025092207734493,12.482470260981032,1.2617572072312484,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.04107160564040756,0,129,111,0.5375,2185.6056136237785,16.942679175378128,0.11980283336377977,13.660035085148616,0.2412286683736087,45.02712916377848,2196.991395914723,561704,12720,346,5065949400,5083802900,5453125000,nan,nan,nan,369,32261,0
asymmetry,1025110068,240,240,53,160,0.2,0.2,0.27689320633865394,high,clustered,moderate,none,0,False,1200.0,679.5620401816743,5.0,1.8501758634881746,0.3700351726976349,2.1982393957542907,13.79415316741307,1.4453048986286594,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.018289158678625902,0,130,110,0.5416666666666666,1995.4807253376448,15.3498517333665,0.10853984250871532,12.47175453336028,0.24058147466175356,46.01477687899821,2007.1144195573945,561704,12720,346,5062493100,5076294100,5281250000,nan,nan,nan,370,32297,0
asymmetry,2233350995,240,240,53,160,0.2,0.2,0.2877882317586398,high,clustered,moderate,none,0,False,1200.0,663.6604534912487,5.0,1.8242103380246744,0.36484206760493487,1.5081094162922752,14.746683175458287,1.2666700931971198,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.21075559122807336,0,138,102,0.575,2757.5513441135904,19.982256116765146,0.14129588803571003,17.23469590070994,0.36221807781622684,83.13320830191576,2778.472646189069,561704,12720,346,5071646200,5089133800,5515625000,nan,nan,nan,378,32583,0
asymmetry,3227216120,240,240,53,160,0.2,0.2,0.27959504379198,high,clustered,moderate,none,0,False,1200.0000000000002,675.5933853008586,5.0,1.8715853346365974,0.3743170669273195,1.7347934955487399,11.660116971856056,1.4016731073970135,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.06966227806690743,0,132,108,0.55,2098.7029026639243,15.899264414120639,0.11242477683102664,13.116893141649527,0.26114015566371235,57.33633980806423,2113.1689876159403,561704,12720,346,5093794200,5107330700,5343750000,nan,nan,nan,372,32390,0
asymmetry,255872478,240,240,53,160,0.2,0.2,0.2734874120227384,high,clustered,moderate,none,0,False,1200.0,684.5887107654798,5.000000000000001,1.8592383367474972,0.37184766734949937,1.8491579981849584,15.553872356661682,1.3642477322685935,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02032801409596719,0,134,106,0.5583333333333333,1974.2166549543322,14.732960111599494,0.10417776001862916,12.338854093464576,0.23347423778846907,43.752313416109075,1985.2887333083595,561704,12720,346,5061856300,5075838500,5437500000,nan,nan,nan,374,32441,0
asymmetry,3921798727,240,240,53,160,0.2,0.2,0.2801344979095999,high,clustered,moderate,none,0,False,1199.9999999999998,674.803002277564,5.0,1.9920640242481993,0.39841280484963987,2.0158443062961626,12.901578829944874,1.2234365022345866,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.04515782310028854,0,131,109,0.5458333333333333,1709.9847839747147,13.053318961639043,0.0923009035476591,10.687404899841967,0.18932854664037874,59.121380107197695,1724.8961290015143,561704,12720,346,5090391500,5103265300,5453125000,nan,nan,nan,371,32330,0
asymmetry,1258587937,240,240,53,160,0.2,0.2,0.27396196036987375,high,clustered,moderate,none,0,False,1200.0,683.8867051440059,5.0,1.898249078916667,0.3796498157833334,1.6746068840061263,14.062490963797206,1.4105074441490906,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02100967059466094,0,133,107,0.5541666666666667,1932.3611996528532,14.529031576337243,0.10273576751701538,12.077257497830333,0.2227926648645789,43.48335037251823,1943.3650372459829,561704,12720,346,5081953100,5101531300,5359375000,nan,nan,nan,373,32419,0
asymmetry,1948990542,240,240,53,160,0.2,0.2,0.2853079798987457,high,clustered,moderate,none,0,False,1200.0000000000002,667.2567489926173,5.000000000000002,1.9336838783336583,0.38673677566673154,1.7562253609714091,14.014798602859747,1.4323549228455912,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.02341020825096685,0,129,111,0.5375,1781.4831485707834,13.809946888145609,0.0976510709243382,11.134269678567396,0.19885020494708014,45.746691296524396,1793.0488213949145,561704,12720,346,5089911600,5102977800,5406250000,nan,nan,nan,369,32262,0
asymmetry,2123128961,240,240,53,160,0.2,0.2,0.28788355323623976,high,separated,moderate,none,0,False,1200.0,663.5225164334107,5.0,1.811996539568168,0.3623993079136336,1.5148205766048963,13.914934272709162,1.1786180997252673,True,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.055381069100380514,0,124,116,0.5166666666666667,7271.743028345591,58.64308893827089,0.4146692585797716,45.44839392715994,0.6247675714215176,72.51862593298077,7289.996684828836,561704,12720,346,5072345200,5090868000,5859375000,nan,nan,nan,364,32137,0
