M,requested_delta,replicates,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_robot_utilization_mean,milp_robot_utilization_std,milp_robot_utilization_median,milp_robot_utilization_p05,milp_robot_utilization_p95,milp_assignment_distance_gini_mean,milp_assignment_distance_gini_std,milp_assignment_distance_gini_median,milp_assignment_distance_gini_p05,milp_assignment_distance_gini_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
20,0.15,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,315.6758812890954,46.68266147332745,323.3241665025637,240.3676128379171,376.52741544224983,0.27356959566616706,0.06376147736423272,0.2757538767993296,0.1847893136921552,0.3547604880202003,7.43302887253972,2.7849387799704264,7.229731390164276,4.221550992148059,12.180188563762652,16.7,0.6403124237432849,17.0,16.0,17.549999999999997,0.6185185185185185,0.023715274953455007,0.6296296296296297,0.5925925925925926,0.6499999999999999,nan,nan,nan,nan,nan,157262730.0,100164997.8352024,140637400.0,32746925.0,321500009.9999999,158261270.0,100160834.95843123,141717500.0,33718745.0,322467824.9999999,8568.0,0.0,8568.0,8568.0,8568.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3482998992655012,0.062312740647726884,0.3280619625990724,0.2754531270525746,0.4469006111466098
20,0.2,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,318.8720326608866,45.40149960588305,341.34215030261237,252.17511229809315,369.1551485305134,0.3053887648431545,0.07506658107249194,0.2673772782185687,0.21971993221043307,0.4235353091338332,7.213853100978352,2.8453287246302943,6.00669805908238,4.157966878800549,11.66105349037211,15.7,1.1874342087037917,16.0,14.0,17.549999999999997,0.5233333333333333,0.03958114029012638,0.5333333333333333,0.4666666666666667,0.585,nan,nan,nan,nan,nan,179102210.0,198807703.19303247,108990250.0,28614675.0,561386774.9999996,179983240.0,198738266.7676419,109767550.0,29620900.0,562167074.9999996,9504.0,0.0,9504.0,9504.0,9504.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3721625511996486,0.056129738268846006,0.37071147269887916,0.2976897762850705,0.4633443980829264
20,0.25,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,259.55320310773016,44.536476954514065,252.2894427562474,202.35478903710393,335.2039947780244,0.23146296475438194,0.038194002360784414,0.2353432830574566,0.18277981634970417,0.2844151225288336,9.098479329993133,3.1190601024359617,9.047092396927901,4.8985339250482856,14.1088163900525,16.1,1.5779733838059502,16.0,14.0,18.0,0.4878787878787879,0.04781737526684695,0.48484848484848486,0.42424242424242425,0.5454545454545454,nan,nan,nan,nan,nan,162423760.0,138454537.4230776,114123500.0,38599285.0,424458064.9999999,163369740.0,138431822.13950807,115165250.0,39548870.0,425336929.9999999,10440.0,0.0,10440.0,10440.0,10440.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3876500115406807,0.07205168634086397,0.3726764235283978,0.3226174711194655,0.5121664700686562
20,0.3,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,259.85143070553255,48.73002890840751,266.7861554717131,186.72963592425927,324.7897625208288,0.22664591040330354,0.03567191685312528,0.2172627948527798,0.17854237036138354,0.27892441806788615,8.035954389417224,1.405722330955096,8.324256394125118,5.922310488011641,9.83417543020617,15.9,1.374772708486752,16.5,13.45,17.0,0.4297297297297297,0.037156019148290594,0.44594594594594594,0.3635135135135135,0.4594594594594595,nan,nan,nan,nan,nan,164908050.0,131107241.46676452,150700050.0,25650530.0,393827304.9999998,165865740.0,131137158.28714758,151753400.0,26549265.0,394880349.9999998,11688.0,0.0,11688.0,11688.0,11688.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36311318581053753,0.036267691523493774,0.3726039127324043,0.3102975489545686,0.40576749712081733
20,0.35,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,235.69093728195452,49.099828741130025,237.64396777105014,166.846702513757,314.1752630805319,0.19660604125406067,0.06221822820677041,0.1819029099573209,0.12601945885080124,0.30715437848051064,8.044209049499973,2.07282368667368,9.073240684221123,4.385710737723901,9.924836788225672,16.7,1.4866068747318506,16.5,14.45,18.549999999999997,0.39761904761904754,0.035395401779329774,0.39285714285714285,0.34404761904761905,0.44166666666666665,nan,nan,nan,nan,nan,88863890.0,46082108.68129735,68839700.0,34135185.0,156781129.99999994,89804660.0,46038884.60699716,69674550.0,35192870.0,157776029.99999994,13248.0,0.0,13248.0,13248.0,13248.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3559504211989841,0.04386265590641956,0.3460575322639689,0.29307519076721517,0.4164282071470988
20,0.4,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,233.40666979106868,27.897452742582715,237.88980312023952,189.07188880830395,269.4643524196901,0.1977538180800848,0.03789230006745587,0.19442192878982234,0.14996353802243642,0.2555905850103326,9.158473726970406,3.2907357950193497,9.11331060465823,4.881090333421706,14.668164520907602,16.5,1.5,16.5,14.45,18.549999999999997,0.35106382978723405,0.031914893617021274,0.35106382978723405,0.3074468085106383,0.3946808510638298,nan,nan,nan,nan,nan,129904840.0,51996571.40828037,132662800.0,56955540.0,206517034.99999997,130987580.0,52028882.38359152,133809050.0,58044760.0,207599014.99999997,14808.0,0.0,14808.0,14808.0,14808.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3316191276325565,0.04929796591001236,0.33583192264560835,0.2591384245374517,0.4018173071557802
20,0.45,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,196.64084649159923,27.176717132835922,200.69866467545572,152.8578606180816,236.42117975890434,0.17331094282221285,0.038447660362291664,0.1674074681962391,0.11209667327479572,0.22410082475225654,8.861368724637831,3.1673037781513336,8.844963676274178,4.826327581202936,13.362684199483459,16.0,0.8944271909999159,16.0,15.0,17.549999999999997,0.3018867924528302,0.016875984735847466,0.3018867924528302,0.2830188679245283,0.3311320754716981,nan,nan,nan,nan,nan,151678280.0,56640916.392336026,144851150.0,67917520.0,235590284.99999997,152837530.0,56641725.99372392,146122850.0,68863940.0,236713939.99999997,16680.0,0.0,16680.0,16680.0,16680.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3746088961463871,0.046099189759550206,0.3636293499408505,0.31611667085456335,0.4424560263128661
20,0.5,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,177.0441853324012,36.79419695249472,170.14419364855627,125.9493598827649,234.6166374681308,0.1637676530875713,0.04179345716945964,0.15586374900260658,0.11525978177485247,0.23867014812341328,8.935381839950159,2.9727926962392446,8.625161303477899,4.737117470010307,13.227952823332886,15.4,1.2806248474865698,16.0,14.0,17.099999999999998,0.25666666666666665,0.02134374745810949,0.26666666666666666,0.23333333333333334,0.285,nan,nan,nan,nan,nan,89403200.0,43187313.41141748,87773350.0,36417025.0,158504229.99999994,90647250.0,43312082.047143616,89242950.0,37409710.0,159783634.99999994,18864.0,0.0,18864.0,18864.0,18864.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3766234259975518,0.037367554052625214,0.382085976311969,0.31342898605986946,0.4206795257553534
20,0.55,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,169.75742016479566,29.901684672389003,173.01752752631097,120.6243864279969,207.57858124994306,0.1342483618073118,0.014446842361921881,0.1318726432761022,0.11842867242931512,0.1579220445001976,9.524299520965299,3.087591657232926,9.51159669274075,6.26791769877161,14.758330506118423,16.3,1.4866068747318506,17.0,13.9,18.0,0.23623188405797105,0.021545027170026817,0.2463768115942029,0.20144927536231885,0.2608695652173913,nan,nan,nan,nan,nan,95798780.0,47604541.997330464,102343800.0,23916720.0,159986485.0,97200240.0,47699310.17719648,103562250.0,25357885.0,161581500.0,21672.0,0.0,21672.0,21672.0,21672.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37057501200741444,0.044490250523295076,0.3671506922717027,0.32185435107098337,0.4410857506529407
20,0.6,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,156.8511755623838,28.787460803064718,153.45849419382319,127.26411258116408,203.24924125079087,0.14269222599670522,0.0341806971142853,0.1302412362469828,0.11252634795772527,0.20363027602802994,7.957443141175906,2.3054580699733243,7.187492926183064,5.626959436309485,11.898021872820555,15.7,1.3453624047073711,16.0,14.0,17.549999999999997,0.19625,0.016817030058842143,0.2,0.175,0.219375,nan,nan,nan,nan,nan,169879690.0,62986178.407718144,160375250.0,97864485.0,267876954.99999988,171613020.0,63158078.26336707,162045550.0,99508385.0,269863584.9999999,25104.0,0.0,25104.0,25104.0,25104.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3550773003239337,0.02603838518969455,0.35319072736012774,0.3157555211396329,0.39364688190860003
