M,requested_delta,treatment,replicates,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_robot_utilization_mean,milp_robot_utilization_std,milp_robot_utilization_median,milp_robot_utilization_p05,milp_robot_utilization_p95,milp_assignment_distance_gini_mean,milp_assignment_distance_gini_std,milp_assignment_distance_gini_median,milp_assignment_distance_gini_p05,milp_assignment_distance_gini_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
160,0.33,random_20_percent,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,901.3727811395496,51.48207292546005,901.0522954680415,829.0336073941642,975.4505045689946,0.11249312160074632,0.015800987405351907,0.10874003726628723,0.09160348838749223,0.13605162888314792,65.09640810861109,9.299558595403894,65.416974720507,53.30093291482098,78.51399696549618,134.9,4.72122865364515,133.5,129.45,143.1,0.5311023622047244,0.018587514384429737,0.5255905511811023,0.5096456692913386,0.5633858267716535,nan,nan,nan,nan,nan,5061496360.0,13630550.744940573,5062815750.0,5045556220.0,5082158160.0,5079789710.0,16011129.682033682,5081205300.0,5060601735.0,5103476765.0,594408.0,0.0,594408.0,594408.0,594408.0,0.22244094488188976,0.02785276559972282,0.21456692913385828,0.19468503937007875,0.2679133858267716,0.1951183719891731,0.03843912585167657,0.19751839854716302,0.14089528550991426,0.2524523503688751,0.35579836114906277,0.020806554990980813,0.3611882037722429,0.3224440922630293,0.382757254555116
160,0.33,random_30_percent,10,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,1001.2673153896901,107.95337907451085,983.2100834989892,896.2770523821862,1172.751102821906,0.11785893949611714,0.019114926613918105,0.11515571586761733,0.09082479207622875,0.14444060779812487,65.5749376754621,9.682985817576718,64.9929356524434,53.1346938198046,80.17219177979626,136.6,4.8207883172775805,136.0,130.45,143.65,0.6125560538116591,0.021617884830841167,0.6098654708520179,0.5849775784753364,0.6441704035874439,nan,nan,nan,nan,nan,4863553700.0,582278382.3464168,5055717500.0,3983633535.0,5072713765.0,4877934440.0,581753595.25067,5070960500.0,3998036035.0,5086068350.0,521992.0,0.0,521992.0,521992.0,521992.0,0.3031390134529148,0.05778318804607932,0.28026905829596416,0.24641255605381168,0.39843049327354246,0.32949597601153036,0.15359585463474187,0.27844914574379576,0.22505330704196486,0.5931481456139855,0.35164422769265274,0.02342127420303324,0.3550952592330819,0.31938110805658737,0.38477942605404347
160,0.33,random_5_percent,10,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,788.083774378533,51.49725513996165,780.103755971857,723.1069909822124,866.3978864681684,0.09484732237662541,0.010362321952220513,0.09352198986652649,0.08347501286364051,0.1109969080911121,69.73465580533822,7.078631602112829,70.72559671547818,57.21617186303217,78.60511099177684,134.0,3.255764119219941,135.5,127.8,136.55,0.44370860927152317,0.01078067589145676,0.44867549668874174,0.4231788079470199,0.4521523178807947,nan,nan,nan,nan,nan,5011994660.0,232103867.8139087,5069825550.0,4656902035.0,5170148370.0,5030910490.0,233456520.99812698,5087829950.0,4674324790.0,5194031010.0,706536.0,0.0,706536.0,706536.0,706536.0,0.08410596026490066,0.031385418837278904,0.08443708609271523,0.03940397350993377,0.13079470198675494,0.04407252042843086,0.020832977856706847,0.03946521021992237,0.02467302451766479,0.08135469227820002,0.35492715155478843,0.013608449576176199,0.35536011576260695,0.33272942648585774,0.37316617895425336
160,0.33,random_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.3,0.45825756949558394,0.0,0.0,1.0,760.2443337769768,49.129494814992114,751.850317281228,700.8534215727175,842.7773703454734,0.09381569498622706,0.012203469172897673,0.09027327287170878,0.08079640983428325,0.11485844494783275,71.44572357957527,7.176938223050818,71.73646669521645,60.46649014081883,81.01674222474263,133.7,3.1320919526731648,134.0,128.45,138.0,0.4217665615141956,0.009880416254489485,0.42271293375394325,0.405205047318612,0.4353312302839117,nan,nan,nan,nan,nan,4935428420.0,269880644.7498479,5071760800.0,4451569050.0,5103200840.0,4959427910.0,269193182.6457106,5092978050.0,4476702810.0,5127893250.0,741576.0,0.0,741576.0,741576.0,741576.0,0.04384858044164038,0.03547879279555683,0.04574132492113565,0.004574132492113565,0.09747634069400625,0.007096214908488383,0.007589387798415778,0.005867077265011455,-0.002955146382139735,0.018630697533051833,0.3578056552187345,0.013934387624079213,0.35971829466855454,0.33518056731856277,0.3775971034890515
40,0.0,critical_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.7,0.45825756949558394,1.0,0.0,1.0,771.4171981085561,146.32310667593114,720.2227842210466,592.8029970366638,991.4507436577171,0.34764399204930896,0.07968500908255542,0.34932235942060963,0.22956656944187218,0.4651919888854059,10.624566258728487,2.849346308370432,10.160610127416232,7.647558448883503,15.601882648068667,36.0,1.61245154965971,36.0,33.45,38.099999999999994,0.9230769230769231,0.04134491152973614,0.9230769230769231,0.8576923076923076,0.9769230769230769,nan,nan,nan,nan,nan,3210654490.0,1585048008.8344526,3487663250.0,1145813615.0,5010640885.0,3211753150.0,1585187984.109428,3488953150.0,1146653960.0,5011824650.0,22728.0,0.0,22728.0,22728.0,22728.0,0.3205128205128205,0.13962003476986648,0.34615384615384615,0.08846153846153847,0.49230769230769217,0.12789731755895908,0.07331170187538003,0.1568941513682519,0.019665776678737992,0.2211883899473192,0.30770754607319284,0.04358392824656526,0.3099277330677674,0.2510744775046056,0.3736332622763121
40,0.0,idle_robot_failure,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,682.0191198327728,110.02165343270723,635.207448999112,549.6286975918758,851.7329158618261,0.3298199524538042,0.05923294085110595,0.32313367323289977,0.25275787811557826,0.41197812956671503,11.468293327849265,3.016998363101417,11.492998610821367,7.142850951408263,15.647323506087668,34.7,1.3453624047073711,34.5,32.9,36.55,0.8897435897435898,0.034496471915573625,0.8846153846153846,0.8435897435897436,0.9371794871794872,nan,nan,nan,nan,nan,1348356040.0,839383385.1873662,1264864700.0,360038385.0,2700705194.999999,1349311540.0,839413590.6849962,1265879500.0,361008925.0,2701759854.999999,22728.0,0.0,22728.0,22728.0,22728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460795840816891,0.04638640422589205,0.34609613779938525,0.2922635328738754,0.41998444964151393
40,0.0,no_failure,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,682.0191198327728,110.02165343270723,635.207448999112,549.6286975918758,851.7329158618261,0.3298199524538042,0.05923294085110595,0.32313367323289977,0.25275787811557826,0.41197812956671503,11.468293327849265,3.016998363101417,11.492998610821367,7.142850951408263,15.647323506087668,34.7,1.3453624047073711,34.5,32.9,36.55,0.8675,0.033634060117684286,0.8625,0.8225,0.9137500000000001,nan,nan,nan,nan,nan,1382441920.0,931267886.3589851,1212806650.0,502438010.0,2940217179.9999976,1383575280.0,931305893.3422023,1213879700.0,503531695.0,2941422559.9999976,23304.0,0.0,23304.0,23304.0,23304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34898903009722704,0.04714280953952457,0.3475627011387744,0.2952126627572873,0.4224380257308837
40,0.0,random_10_percent,10,0.8,0.4,1.0,0.0,1.0,0.4,0.48989794855663565,0.0,0.0,1.0,818.1103883315213,153.67868499026997,827.0806309025204,590.3750536388078,1012.5958619552197,0.3938521265684678,0.10958977124401369,0.3707805818265579,0.2608488970842184,0.5509244194554943,8.311584409024565,3.2756589207177536,7.326404462909512,5.268849181454214,13.874375989948083,27.9,13.974619851716898,34.0,0.0,36.0,0.775,0.38818388476991383,0.9444444444444444,0.0,1.0,nan,nan,nan,nan,nan,3672189850.0,1631876955.5520377,4652401700.0,1134759570.0,5016728535.0,3673232000.0,1631874299.7626112,4653649500.0,1135817345.0,5017657060.0,16800.0,8400.0,21000.0,0.0,21000.0,0.4201388888888889,0.1206316164308348,0.4166666666666667,0.24305555555555555,0.5819444444444445,0.20361448208219482,0.11119334672923423,0.16678726006930844,0.07540365748060968,0.38158864058768593,0.34603404080204636,0.03899421222609478,0.34580806959214805,0.2905852882249165,0.3995889959760814
40,0.0,random_20_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35339017443963494,0.05103412463568487,0.3444809973116142,0.29625736843369466,0.43135449300607626
40,0.0,random_30_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3471106270557151,0.06317640800149936,0.33447440316127997,0.27058266964092115,0.4565541277019092
40,0.0,random_5_percent,10,1.0,0.0,1.0,1.0,1.0,0.7,0.45825756949558394,1.0,0.0,1.0,729.3616886922161,118.49051519870805,689.1535204728845,591.1246112338231,914.9775221193552,0.3429492413156884,0.06306647732631757,0.34793148913074756,0.2560498184480846,0.43329035286129397,10.836760877037005,3.715847989969816,10.482127769209644,5.260787601265619,15.664547069110746,34.7,1.0999999999999999,34.5,33.45,36.55,0.9131578947368422,0.02894736842105262,0.9078947368421053,0.8802631578947369,0.9618421052631578,nan,nan,nan,nan,nan,3073182820.0,1530974396.170395,3149956600.0,995056160.0,5010564240.0,3074166890.0,1530943703.2546883,3150805600.0,996041835.0,5011606720.0,22152.0,0.0,22152.0,22152.0,22152.0,0.23421052631578948,0.14387302034564892,0.19736842105263158,0.10526315789473684,0.49078947368421044,0.07022473021517571,0.04338899454713437,0.07877250296076946,0.018448342601954333,0.1377720940837406,0.34975628311633444,0.047503951013383984,0.3554676264659654,0.29438841388387393,0.4215721673500282
40,0.0,random_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.9,0.30000000000000004,1.0,0.45,1.0,719.7203471512154,133.98247735691245,664.3153671592364,573.0932435182198,948.3527534475674,0.34630047432453825,0.0721830114051468,0.3244515750063029,0.25922096274494166,0.46303326662434935,10.853660958406902,3.3420268591510243,10.299900789545763,7.285466000824325,16.33837005660029,35.0,1.61245154965971,34.5,32.9,37.0,0.8974358974358975,0.04134491152973615,0.8846153846153846,0.8435897435897436,0.9487179487179487,nan,nan,nan,nan,nan,2742009870.0,1047509293.7804897,2371541600.0,1705181530.0,4659389889.999999,2742950290.0,1047554348.0572054,2372463200.0,1706093690.0,4660465869.999999,22728.0,0.0,22728.0,22728.0,22728.0,0.1717948717948718,0.10195330949780022,0.15384615384615385,0.04871794871794872,0.33846153846153837,0.05324382886230481,0.05157201916568175,0.031961978051063614,0.010259218653396997,0.14392393230401804,0.34472815233990733,0.057126161794310466,0.3522972127552121,0.26202890078495733,0.42843826029217946
