cfg_protocol,cfg_safety,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
smith,coalition,0.0,333.5126505000517,12.22462098330661,0,78.9400000000007,-0.2807817604685366,3.4535332734087962,1294805,1,164.27208058168665,0,6,16,4089,False,300.01999999979967,0.14978825841783952
smith,coalition,0.0,190.61442979995627,8.895371572693017,0,144.27999999994128,-0.1433738362298086,0.20735355792195342,851132,2,164.95158979780044,0,6,17,16345,True,144.29999999994126,0.09053848301003242
smith,coalition,0.0,160.1622129000025,7.438282463149611,0,137.81999999994716,-0.09429868677742392,1.9421480009959087,684576,2,162.40829282647059,0,6,18,10780,True,137.83999999994714,0.008506188268880166
smith,coalition,0.0,136.510323699913,7.874850028570206,0,114.85999999996803,-0.025516170180345632,-0.1627847771819102,674640,2,164.03314879530987,0,6,19,12424,True,114.879999999968,0.025501659525973608
smith,none,0.0,122.40711369994096,6.335485008106012,0,91.03999999998969,-0.09921331523737786,0.506451024537586,483624,2,159.08794149024982,0,6,0,12531,True,91.05999999998967,0.0
smith,none,0.0,88.0734387000557,6.350815460916619,0,87.01999999999335,-0.14294171030914862,-0.06200147632517283,499868,2,164.30284052668833,0,6,1,7517,True,87.03999999999333,0.049515158939938075
smith,none,0.0,188.14151340001263,10.279321634742287,0,161.69999999992544,-0.3918668719182385,-0.12053528348850762,939128,2,164.48216171767052,0,6,2,14149,True,161.71999999992542,0.029191774238202406
smith,none,0.0,132.7257700000191,8.745691847074978,0,116.29999999996672,-0.3990430489744373,-0.13365705882775814,672384,2,164.99191714740508,0,6,3,19710,True,116.3199999999667,0.013149388360483627
smith,none,0.0,84.05572800000664,5.588272435359888,0,86.05999999999422,-0.4144183050487701,-0.09677112589302617,552240,2,164.39158327703177,0,6,4,7412,True,86.0799999999942,0.11176205477886647
smith,none,0.0,153.33677170006558,7.680264732993956,0,104.03999999997787,-0.33254373297581813,-0.09243827019078488,518624,2,162.53916119675563,0,6,5,8439,True,104.05999999997785,0.10216100848575482
smith,none,0.0,124.3325684000738,6.339243963203112,0,94.8799999999862,-0.2431370758773993,-0.08962712003644668,610928,2,164.73394516928846,0,6,6,10027,True,94.89999999998618,0.09765640333680647
smith,none,0.0,180.15798310004175,9.801736146597472,0,140.75999999994448,-0.3149827724783457,-0.09764836631320506,879320,2,164.1693678202221,0,6,7,9328,True,140.77999999994447,0.0
smith,none,0.0,187.3618492000969,7.981071091135653,0,129.23999999995496,-0.043526036980966076,-0.1287381301117847,725236,2,164.82799323822968,0,6,8,6154,True,129.25999999995494,0.04204166841480905
smith,none,0.0,130.05903569993097,5.4318499757165535,0,77.20000000000228,-0.0843773731712601,0.08506448054041016,423740,2,162.6988266292967,0,6,9,6381,True,77.22000000000226,0.0
smith,none,0.0,97.45739350002259,6.137499031922698,0,89.03999999999151,-0.09373824777308076,-0.37972351750244115,548784,2,164.78577062159414,0,6,10,17302,True,89.05999999999149,0.09476620039663411
smith,none,0.0,145.60304199997336,7.015992063692637,0,106.4199999999757,-0.22400912177799545,-0.1084047313595704,565912,2,162.62033852338874,0,6,11,7607,True,106.43999999997568,0.030683053430738738
