unit_id,mean_runtime_wall_s,mean_messages,mean_bytes
MAPPO-GNN::train_seed=15002,0.3234149599971715,240.0,7680.0
MAPPO-GNN::train_seed=15002,0.39162248248467224,240.0,7680.0
MAPPO-GNN::train_seed=15002,0.4263043200073298,240.0,7680.0
MAPPO-GNN::train_seed=15002,0.505073952494422,992.0,31744.0
MAPPO-GNN::train_seed=15002,0.5299243674962781,992.0,31744.0
MAPPO-GNN::train_seed=15002,0.5460641650221078,992.0,31744.0
MAPPO-GNN::train_seed=15002,0.6346298774937168,4032.0,129024.0
MAPPO-GNN::train_seed=15002,0.8949266274896217,4032.0,129024.0
MAPPO-GNN::train_seed=15002,1.3284439324983395,4032.0,129024.0
MAPPO-GNN::train_seed=15003,0.38209324249473864,56.0,1792.0
MAPPO-GNN::train_seed=15003,0.38613700000569223,56.0,1792.0
MAPPO-GNN::train_seed=15003,0.36384211499243974,56.0,1792.0
MAPPO-GNN::train_seed=15003,0.3089396499941358,240.0,7680.0
MAPPO-GNN::train_seed=15003,0.3348432599916123,240.0,7680.0
MAPPO-GNN::train_seed=15003,0.33910443249333183,240.0,7680.0
MAPPO-GNN::train_seed=15003,0.38650763251062015,992.0,31744.0
MAPPO-GNN::train_seed=15003,0.4084262724878499,992.0,31744.0
MAPPO-GNN::train_seed=15003,0.4844758825143799,992.0,31744.0
MAPPO-GNN::train_seed=15003,0.5151574474904919,4032.0,129024.0
MAPPO-GNN::train_seed=15003,0.8607346575154224,4032.0,129024.0
MAPPO-GNN::train_seed=15003,1.1864621899789198,4032.0,129024.0
PROJ,0.9361983500071801,5616.0,179712.0
PROJ,0.4330763350095367,5616.0,179712.0
PROJ,0.8603115299833007,5616.0,179712.0
PROJ,1.4296105574961984,24032.0,769024.0
PROJ,0.8631831600068836,24032.0,769024.0
PROJ,1.5307396400079596,24032.0,769024.0
PROJ,1.6025128949928331,99264.0,3176448.0
PROJ,3.9433913000189933,99264.0,3176448.0
PROJ,2.9014335300191307,99264.0,3176448.0
PROJ,1.0932778299873462,403328.0,12906496.0
PROJ,2.5455386175046444,403328.0,12906496.0
PROJ,8.172168157511624,403328.0,12906496.0
REP,0.23962601500970776,5616.0,179712.0
REP,0.1691034449992003,5616.0,179712.0
REP,0.2399737774860114,5616.0,179712.0
REP,0.4505048049904872,24032.0,769024.0
REP,0.29125229750352444,24032.0,769024.0
REP,0.41970197249611374,24032.0,769024.0
REP,0.960554925003089,99264.0,3176448.0
REP,1.8815085249894765,99264.0,3176448.0
REP,1.5200268924992997,99264.0,3176448.0
REP,0.6807104799867375,403328.0,12906496.0
REP,1.280686112510739,403328.0,12906496.0
REP,3.6894593924982475,403328.0,12906496.0
SMI,0.28660976749670225,5616.0,179712.0
SMI,0.9631710075045703,5616.0,179712.0
SMI,0.9810109099897091,5616.0,179712.0
SMI,1.3499323249910957,24032.0,769024.0
SMI,1.2799411699874326,24032.0,769024.0
SMI,1.8605830575135769,24032.0,769024.0
SMI,2.6047845875058555,99264.0,3176448.0
SMI,2.9629645275010263,99264.0,3176448.0
SMI,2.9152154125040397,99264.0,3176448.0
SMI,1.6107525225059363,403328.0,12906496.0
SMI,3.572334690007847,403328.0,12906496.0
SMI,10.28695685249404,403328.0,12906496.0
unknown,,,
EPS-AUCTION,0.21440012219850904,230521.152,7376676.864
EPS-AUCTION,0.4504603789993562,2031492.736,65007767.552
GRD,0.014501071200240403,339.2,10854.4
GRD,0.02885531820356846,1088.0,34816.0
HYB,0.31814869259484113,33984.0,1087488.0
HYB,1.7212164020014462,108928.0,3485696.0
LOG,0.26670935200154783,28361.344,907563.008
LOG,0.5007365357966628,84502.144,2704068.608
MAPPO-GNN::train_seed=15001,0.013665432197973133,339.2,10854.4
MAPPO-GNN::train_seed=15001,0.01757472980208695,1088.0,34816.0
MAPPO-GNN::train_seed=15002,0.012224413000280038,339.2,10854.4
MAPPO-GNN::train_seed=15002,0.0186706847937312,1088.0,34816.0
MAPPO-GNN::train_seed=15003,0.013543498800368979,339.2,10854.4
MAPPO-GNN::train_seed=15003,0.019411280195461587,1088.0,34816.0
PROJ,0.5380182385956869,33984.0,1087488.0
PROJ,1.0047384024024941,108928.0,3485696.0
REP,0.2684125993975904,33984.0,1087488.0
REP,0.5086390494001098,108928.0,3485696.0
SMI,2.2105242950026875,33984.0,1087488.0
SMI,2.2700282088010573,108928.0,3485696.0
BNN,0.23908882875548443,99264.0,3176448.0
EPS-AUCTION,0.007605576245987322,1172.9,37532.8
GRD,0.0005694500083336607,32.0,1024.0
HUN,8.367249538423493e-05,1024.0,32768.0
HYB,0.2791783487497014,99264.0,3176448.0
LOG,0.16833078750350977,67743.2,2167782.4
MAPPO-GNN::train_seed=15001,0.011022738757310436,992.0,31744.0
MAPPO-GNN::train_seed=15002,0.010238297496107407,992.0,31744.0
MAPPO-GNN::train_seed=15003,0.010074462507327553,992.0,31744.0
PROJ,0.5107709162577521,99264.0,3176448.0
REP,0.20374704125424614,99264.0,3176448.0
SMI,0.28610017374303426,99264.0,3176448.0
HYB,0.19033601749979426,55248.0,1767936.0
HYB,0.708037064995733,225696.0,7222272.0
MAPPO-GNN::train_seed=15001,0.016895064996788278,552.0,17664.0
MAPPO-GNN::train_seed=15001,0.0169998799887253,2256.0,72192.0
MAPPO-GNN::train_seed=15002,0.01222788747982122,552.0,17664.0
MAPPO-GNN::train_seed=15002,0.015337162514333614,2256.0,72192.0
MAPPO-GNN::train_seed=15003,0.01023478499846533,552.0,17664.0
MAPPO-GNN::train_seed=15003,0.012029260012786836,2256.0,72192.0
PROJ,0.31276040750381073,55248.0,1767936.0
PROJ,0.6167794449982467,225696.0,7222272.0
SMI,0.18243755498551764,55248.0,1767936.0
SMI,0.820778142506606,225696.0,7222272.0
