geometry_id,N,K,R,lambda2,num_components
G-X,16.0,11.0,10.527848697344167,15.999999999999972,1.0
G-TIE,32.0,22.0,7.116071028591073,31.999999999999947,1.0
G-BIAS,8.0,12.0,7.637945699559841,7.999999999999991,1.0
G-UNI,16.0,24.0,9.767073633039132,15.999999999999972,1.0
G-CLU,32.0,48.0,13.021964546384021,31.999999999999947,1.0
G-X,8.0,8.0,6.47939276404489,7.999999999999991,1.0
G-TIE,16.0,16.0,4.978903600670645,15.999999999999972,1.0
G-BIAS,32.0,32.0,15.971689147999493,31.999999999999947,1.0
G-UNI,8.0,6.0,4.8288123412189705,7.999999999999991,1.0
G-CLU,16.0,11.0,6.365562224706231,15.999999999999972,1.0
G-X,32.0,22.0,18.016819040807203,31.999999999999947,1.0
G-TIE,8.0,12.0,3.543514196889499,7.999999999999991,1.0
G-BIAS,16.0,24.0,10.463567581975665,15.999999999999972,1.0
G-UNI,32.0,48.0,15.618563610294071,31.999999999999947,1.0
G-CLU,8.0,8.0,4.055626126123601,7.999999999999991,1.0
G-X,16.0,16.0,9.420489208733725,15.999999999999972,1.0
G-TIE,32.0,32.0,7.117883591611532,31.999999999999947,1.0
G-BIAS,8.0,6.0,4.760551035808245,7.999999999999991,1.0
G-UNI,16.0,11.0,10.381697186179668,15.999999999999972,1.0
G-CLU,32.0,22.0,11.961870460410426,31.999999999999947,1.0
G-X,8.0,12.0,6.8565786159921505,7.999999999999991,1.0
G-TIE,16.0,24.0,4.967617442059115,15.999999999999972,1.0
G-BIAS,32.0,48.0,16.0102781734443,31.999999999999947,1.0
G-UNI,8.0,12.0,6.772396001306349,7.999999999999991,1.0
G-UNI,8.0,12.0,7.448919958532861,7.999999999999991,1.0
G-UNI,8.0,12.0,6.219790150897175,7.999999999999991,1.0
G-UNI,8.0,12.0,8.19428228819229,7.999999999999991,1.0
G-UNI,8.0,12.0,6.974396125424747,7.999999999999991,1.0
G-UNI,8.0,12.0,7.2246012563238455,7.999999999999991,1.0
G-UNI,8.0,12.0,6.8952400763753365,7.999999999999991,1.0
G-UNI,8.0,12.0,7.1283853755743,7.999999999999991,1.0
G-UNI,8.0,12.0,6.751205333002215,7.999999999999991,1.0
G-UNI,8.0,12.0,6.13583324341713,7.999999999999991,1.0
G-UNI,8.0,12.0,8.9161468178643,7.999999999999991,1.0
G-UNI,8.0,12.0,6.284108395325258,7.999999999999991,1.0
G-UNI,8.0,12.0,6.822540000982377,7.999999999999991,1.0
G-UNI,8.0,12.0,8.383189411784143,7.999999999999991,1.0
G-UNI,8.0,12.0,6.221776697116723,7.999999999999991,1.0
G-UNI,8.0,12.0,7.6661680466897195,7.999999999999991,1.0
G-UNI,8.0,12.0,9.120370054762768,7.999999999999991,1.0
G-UNI,8.0,12.0,6.861374738797326,7.999999999999991,1.0
G-UNI,8.0,12.0,6.676456462426629,7.999999999999991,1.0
G-UNI,8.0,12.0,5.360450758995799,7.999999999999991,1.0
G-UNI,8.0,12.0,7.447486240052396,7.999999999999991,1.0
G-UNI,8.0,12.0,6.964074273184877,7.999999999999991,1.0
G-UNI,8.0,12.0,3.663916318548015,7.999999999999991,1.0
G-UNI,8.0,12.0,6.874720570880219,7.999999999999991,1.0
G-UNI,8.0,12.0,5.836588237947934,7.999999999999991,1.0
G-UNI,8.0,12.0,7.6574357879346575,7.999999999999991,1.0
G-UNI,8.0,12.0,7.539667015239173,7.999999999999991,1.0
G-UNI,8.0,12.0,7.585687995146526,7.999999999999991,1.0
G-UNI,8.0,12.0,7.208396016136192,7.999999999999991,1.0
G-UNI,8.0,12.0,4.9158779270993795,7.999999999999991,1.0
G-UNI,8.0,12.0,7.9787086840934895,7.999999999999991,1.0
G-UNI,8.0,12.0,4.71185037000522,7.999999999999991,1.0
G-UNI,8.0,12.0,7.379237937560684,7.999999999999991,1.0
G-UNI,8.0,12.0,6.996876026194458,7.999999999999991,1.0
G-UNI,8.0,12.0,6.295729647770998,7.999999999999991,1.0
G-UNI,8.0,12.0,7.276614898290392,7.999999999999991,1.0
G-UNI,8.0,12.0,6.521791438296468,7.999999999999991,1.0
G-UNI,8.0,12.0,6.234227671047829,7.999999999999991,1.0
G-UNI,8.0,12.0,7.189884983369938,7.999999999999991,1.0
G-UNI,8.0,12.0,6.011602939576315,7.999999999999991,1.0
G-UNI,8.0,8.0,6.772396001306349,7.999999999999991,1.0
G-UNI,8.0,8.0,7.448919958532861,7.999999999999991,1.0
G-UNI,8.0,8.0,6.219790150897175,7.999999999999991,1.0
G-UNI,8.0,8.0,8.19428228819229,7.999999999999991,1.0
G-UNI,8.0,8.0,6.974396125424747,7.999999999999991,1.0
G-UNI,8.0,8.0,7.2246012563238455,7.999999999999991,1.0
G-UNI,8.0,8.0,6.8952400763753365,7.999999999999991,1.0
G-UNI,8.0,8.0,7.1283853755743,7.999999999999991,1.0
G-UNI,8.0,8.0,6.751205333002215,7.999999999999991,1.0
G-UNI,8.0,8.0,6.13583324341713,7.999999999999991,1.0
G-UNI,8.0,8.0,8.9161468178643,7.999999999999991,1.0
G-UNI,8.0,8.0,6.284108395325258,7.999999999999991,1.0
G-UNI,8.0,8.0,6.822540000982377,7.999999999999991,1.0
G-UNI,8.0,8.0,8.383189411784143,7.999999999999991,1.0
G-UNI,8.0,8.0,6.221776697116723,7.999999999999991,1.0
G-UNI,8.0,8.0,7.6661680466897195,7.999999999999991,1.0
G-UNI,8.0,8.0,9.120370054762768,7.999999999999991,1.0
G-UNI,8.0,8.0,6.861374738797326,7.999999999999991,1.0
G-UNI,8.0,8.0,6.676456462426629,7.999999999999991,1.0
G-UNI,8.0,8.0,5.360450758995799,7.999999999999991,1.0
G-UNI,8.0,8.0,7.447486240052396,7.999999999999991,1.0
G-UNI,8.0,8.0,6.964074273184877,7.999999999999991,1.0
G-UNI,8.0,8.0,3.663916318548015,7.999999999999991,1.0
G-UNI,8.0,8.0,6.874720570880219,7.999999999999991,1.0
G-UNI,8.0,8.0,5.836588237947934,7.999999999999991,1.0
G-UNI,8.0,8.0,7.6574357879346575,7.999999999999991,1.0
G-UNI,8.0,8.0,7.539667015239173,7.999999999999991,1.0
G-UNI,8.0,8.0,7.585687995146526,7.999999999999991,1.0
G-UNI,8.0,8.0,7.208396016136192,7.999999999999991,1.0
G-UNI,8.0,8.0,4.9158779270993795,7.999999999999991,1.0
G-UNI,8.0,8.0,7.9787086840934895,7.999999999999991,1.0
G-UNI,8.0,8.0,4.71185037000522,7.999999999999991,1.0
G-UNI,8.0,8.0,7.379237937560684,7.999999999999991,1.0
G-UNI,8.0,8.0,6.996876026194458,7.999999999999991,1.0
G-UNI,8.0,8.0,6.295729647770998,7.999999999999991,1.0
G-UNI,8.0,8.0,7.276614898290392,7.999999999999991,1.0
G-UNI,8.0,8.0,6.521791438296468,7.999999999999991,1.0
G-UNI,8.0,8.0,6.234227671047829,7.999999999999991,1.0
G-UNI,8.0,8.0,7.189884983369938,7.999999999999991,1.0
G-UNI,8.0,8.0,6.011602939576315,7.999999999999991,1.0
G-UNI,8.0,6.0,6.772396001306349,7.999999999999991,1.0
G-UNI,8.0,6.0,7.448919958532861,7.999999999999991,1.0
G-UNI,8.0,6.0,6.219790150897175,7.999999999999991,1.0
G-UNI,8.0,6.0,8.19428228819229,7.999999999999991,1.0
G-UNI,8.0,6.0,6.974396125424747,7.999999999999991,1.0
G-UNI,8.0,6.0,7.2246012563238455,7.999999999999991,1.0
G-UNI,8.0,6.0,6.8952400763753365,7.999999999999991,1.0
G-UNI,8.0,6.0,7.1283853755743,7.999999999999991,1.0
G-UNI,8.0,6.0,6.751205333002215,7.999999999999991,1.0
G-UNI,8.0,6.0,6.13583324341713,7.999999999999991,1.0
G-UNI,8.0,6.0,8.9161468178643,7.999999999999991,1.0
G-UNI,8.0,6.0,6.284108395325258,7.999999999999991,1.0
G-UNI,8.0,6.0,6.822540000982377,7.999999999999991,1.0
G-UNI,8.0,6.0,8.383189411784143,7.999999999999991,1.0
G-UNI,8.0,6.0,6.221776697116723,7.999999999999991,1.0
G-UNI,8.0,6.0,7.6661680466897195,7.999999999999991,1.0
G-UNI,8.0,6.0,9.120370054762768,7.999999999999991,1.0
G-UNI,8.0,6.0,6.861374738797326,7.999999999999991,1.0
G-UNI,8.0,6.0,6.676456462426629,7.999999999999991,1.0
G-UNI,8.0,6.0,5.360450758995799,7.999999999999991,1.0
G-UNI,8.0,6.0,7.447486240052396,7.999999999999991,1.0
G-UNI,8.0,6.0,6.964074273184877,7.999999999999991,1.0
G-UNI,8.0,6.0,3.663916318548015,7.999999999999991,1.0
G-UNI,8.0,6.0,6.874720570880219,7.999999999999991,1.0
G-UNI,8.0,6.0,5.836588237947934,7.999999999999991,1.0
G-UNI,8.0,6.0,7.6574357879346575,7.999999999999991,1.0
G-UNI,8.0,6.0,7.539667015239173,7.999999999999991,1.0
G-UNI,8.0,6.0,7.585687995146526,7.999999999999991,1.0
G-UNI,8.0,6.0,7.208396016136192,7.999999999999991,1.0
G-UNI,8.0,6.0,4.9158779270993795,7.999999999999991,1.0
G-UNI,8.0,6.0,7.9787086840934895,7.999999999999991,1.0
G-UNI,8.0,6.0,4.71185037000522,7.999999999999991,1.0
G-UNI,8.0,6.0,7.379237937560684,7.999999999999991,1.0
G-UNI,8.0,6.0,6.996876026194458,7.999999999999991,1.0
G-UNI,8.0,6.0,6.295729647770998,7.999999999999991,1.0
G-UNI,8.0,6.0,7.276614898290392,7.999999999999991,1.0
G-UNI,8.0,6.0,6.521791438296468,7.999999999999991,1.0
G-UNI,8.0,6.0,6.234227671047829,7.999999999999991,1.0
G-UNI,8.0,6.0,7.189884983369938,7.999999999999991,1.0
G-UNI,8.0,6.0,6.011602939576315,7.999999999999991,1.0
G-UNI,16.0,24.0,9.811365747202991,15.999999999999972,1.0
G-UNI,16.0,24.0,11.457073494822279,15.999999999999972,1.0
G-UNI,16.0,24.0,11.929027401026202,15.999999999999972,1.0
G-UNI,16.0,24.0,11.588465145460962,15.999999999999972,1.0
G-UNI,16.0,24.0,9.86328558952383,15.999999999999972,1.0
G-UNI,16.0,24.0,11.722633896111077,15.999999999999972,1.0
G-UNI,16.0,24.0,9.876643904009095,15.999999999999972,1.0
G-UNI,16.0,24.0,10.08105927554499,15.999999999999972,1.0
G-UNI,16.0,24.0,12.751201186348842,15.999999999999972,1.0
G-UNI,16.0,24.0,10.359334632343067,15.999999999999972,1.0
G-UNI,16.0,24.0,12.609335753519193,15.999999999999972,1.0
G-UNI,16.0,24.0,9.36643856889431,15.999999999999972,1.0
G-UNI,16.0,24.0,10.967988572918646,15.999999999999972,1.0
G-UNI,16.0,24.0,11.855620161673452,15.999999999999972,1.0
G-UNI,16.0,24.0,11.219691381439839,15.999999999999972,1.0
G-UNI,16.0,24.0,10.964409047264692,15.999999999999972,1.0
G-UNI,16.0,24.0,12.898151024892739,15.999999999999972,1.0
G-UNI,16.0,24.0,10.811287567848787,15.999999999999972,1.0
G-UNI,16.0,24.0,10.11153266883782,15.999999999999972,1.0
G-UNI,16.0,24.0,12.061803783978165,15.999999999999972,1.0
G-UNI,16.0,24.0,10.931495103441641,15.999999999999972,1.0
G-UNI,16.0,24.0,9.848688286097392,15.999999999999972,1.0
G-UNI,16.0,24.0,9.617184399769224,15.999999999999972,1.0
G-UNI,16.0,24.0,10.339570339139499,15.999999999999972,1.0
G-UNI,16.0,24.0,10.519265397388176,15.999999999999972,1.0
G-UNI,16.0,24.0,12.893936934965591,15.999999999999972,1.0
G-UNI,16.0,24.0,12.150633504705702,15.999999999999972,1.0
G-UNI,16.0,24.0,10.727782842252775,15.999999999999972,1.0
G-UNI,16.0,24.0,11.286155353430786,15.999999999999972,1.0
G-UNI,16.0,24.0,10.017593577599387,15.999999999999972,1.0
G-UNI,16.0,24.0,11.283598030854789,15.999999999999972,1.0
G-UNI,16.0,24.0,8.594366258112762,15.999999999999972,1.0
G-UNI,16.0,24.0,11.090328675495162,15.999999999999972,1.0
G-UNI,16.0,24.0,12.02469065327533,15.999999999999972,1.0
G-UNI,16.0,24.0,9.670729980683223,15.999999999999972,1.0
G-UNI,16.0,24.0,10.761054644143265,15.999999999999972,1.0
G-UNI,16.0,24.0,9.698490657745698,15.999999999999972,1.0
G-UNI,16.0,24.0,11.429613762868692,15.999999999999972,1.0
G-UNI,16.0,24.0,10.919243019226762,15.999999999999972,1.0
G-UNI,16.0,24.0,10.510266138804887,15.999999999999972,1.0
G-UNI,16.0,16.0,9.811365747202991,15.999999999999972,1.0
G-UNI,16.0,16.0,11.457073494822279,15.999999999999972,1.0
G-UNI,16.0,16.0,11.929027401026202,15.999999999999972,1.0
G-UNI,16.0,16.0,11.588465145460962,15.999999999999972,1.0
G-UNI,16.0,16.0,9.86328558952383,15.999999999999972,1.0
G-UNI,16.0,16.0,11.722633896111077,15.999999999999972,1.0
G-UNI,16.0,16.0,9.876643904009095,15.999999999999972,1.0
G-UNI,16.0,16.0,10.08105927554499,15.999999999999972,1.0
G-UNI,16.0,16.0,12.751201186348842,15.999999999999972,1.0
G-UNI,16.0,16.0,10.359334632343067,15.999999999999972,1.0
G-UNI,16.0,16.0,12.609335753519193,15.999999999999972,1.0
G-UNI,16.0,16.0,9.36643856889431,15.999999999999972,1.0
G-UNI,16.0,16.0,10.967988572918646,15.999999999999972,1.0
G-UNI,16.0,16.0,11.855620161673452,15.999999999999972,1.0
G-UNI,16.0,16.0,11.219691381439839,15.999999999999972,1.0
G-UNI,16.0,16.0,10.964409047264692,15.999999999999972,1.0
G-UNI,16.0,16.0,12.898151024892739,15.999999999999972,1.0
G-UNI,16.0,16.0,10.811287567848787,15.999999999999972,1.0
G-UNI,16.0,16.0,10.11153266883782,15.999999999999972,1.0
G-UNI,16.0,16.0,12.061803783978165,15.999999999999972,1.0
G-UNI,16.0,16.0,10.931495103441641,15.999999999999972,1.0
G-UNI,16.0,16.0,9.848688286097392,15.999999999999972,1.0
G-UNI,16.0,16.0,9.617184399769224,15.999999999999972,1.0
G-UNI,16.0,16.0,10.339570339139499,15.999999999999972,1.0
G-UNI,16.0,16.0,10.519265397388176,15.999999999999972,1.0
G-UNI,16.0,16.0,12.893936934965591,15.999999999999972,1.0
G-UNI,16.0,16.0,12.150633504705702,15.999999999999972,1.0
G-UNI,16.0,16.0,10.727782842252775,15.999999999999972,1.0
G-UNI,16.0,16.0,11.286155353430786,15.999999999999972,1.0
G-UNI,16.0,16.0,10.017593577599387,15.999999999999972,1.0
G-UNI,16.0,16.0,11.283598030854789,15.999999999999972,1.0
G-UNI,16.0,16.0,8.594366258112762,15.999999999999972,1.0
G-UNI,16.0,16.0,11.090328675495162,15.999999999999972,1.0
G-UNI,16.0,16.0,12.02469065327533,15.999999999999972,1.0
G-UNI,16.0,16.0,9.670729980683223,15.999999999999972,1.0
G-UNI,16.0,16.0,10.761054644143265,15.999999999999972,1.0
G-UNI,16.0,16.0,9.698490657745698,15.999999999999972,1.0
G-UNI,16.0,16.0,11.429613762868692,15.999999999999972,1.0
G-UNI,16.0,16.0,10.919243019226762,15.999999999999972,1.0
G-UNI,16.0,16.0,10.510266138804887,15.999999999999972,1.0
G-UNI,16.0,11.0,9.811365747202991,15.999999999999972,1.0
G-UNI,16.0,11.0,11.457073494822279,15.999999999999972,1.0
G-UNI,16.0,11.0,11.929027401026202,15.999999999999972,1.0
G-UNI,16.0,11.0,11.588465145460962,15.999999999999972,1.0
G-UNI,16.0,11.0,9.86328558952383,15.999999999999972,1.0
G-UNI,16.0,11.0,11.722633896111077,15.999999999999972,1.0
G-UNI,16.0,11.0,9.876643904009095,15.999999999999972,1.0
G-UNI,16.0,11.0,10.08105927554499,15.999999999999972,1.0
G-UNI,16.0,11.0,12.751201186348842,15.999999999999972,1.0
G-UNI,16.0,11.0,10.359334632343067,15.999999999999972,1.0
G-UNI,16.0,11.0,12.609335753519193,15.999999999999972,1.0
G-UNI,16.0,11.0,9.36643856889431,15.999999999999972,1.0
G-UNI,16.0,11.0,10.967988572918646,15.999999999999972,1.0
G-UNI,16.0,11.0,11.855620161673452,15.999999999999972,1.0
G-UNI,16.0,11.0,11.219691381439839,15.999999999999972,1.0
G-UNI,16.0,11.0,10.964409047264692,15.999999999999972,1.0
G-UNI,16.0,11.0,12.898151024892739,15.999999999999972,1.0
G-UNI,16.0,11.0,10.811287567848787,15.999999999999972,1.0
G-UNI,16.0,11.0,10.11153266883782,15.999999999999972,1.0
G-UNI,16.0,11.0,12.061803783978165,15.999999999999972,1.0
G-UNI,16.0,11.0,10.931495103441641,15.999999999999972,1.0
G-UNI,16.0,11.0,9.848688286097392,15.999999999999972,1.0
G-UNI,16.0,11.0,9.617184399769224,15.999999999999972,1.0
G-UNI,16.0,11.0,10.339570339139499,15.999999999999972,1.0
G-UNI,16.0,11.0,10.519265397388176,15.999999999999972,1.0
G-UNI,16.0,11.0,12.893936934965591,15.999999999999972,1.0
G-UNI,16.0,11.0,12.150633504705702,15.999999999999972,1.0
G-UNI,16.0,11.0,10.727782842252775,15.999999999999972,1.0
G-UNI,16.0,11.0,11.286155353430786,15.999999999999972,1.0
G-UNI,16.0,11.0,10.017593577599387,15.999999999999972,1.0
G-UNI,16.0,11.0,11.283598030854789,15.999999999999972,1.0
G-UNI,16.0,11.0,8.594366258112762,15.999999999999972,1.0
G-UNI,16.0,11.0,11.090328675495162,15.999999999999972,1.0
G-UNI,16.0,11.0,12.02469065327533,15.999999999999972,1.0
G-UNI,16.0,11.0,9.670729980683223,15.999999999999972,1.0
G-UNI,16.0,11.0,10.761054644143265,15.999999999999972,1.0
G-UNI,16.0,11.0,9.698490657745698,15.999999999999972,1.0
G-UNI,16.0,11.0,11.429613762868692,15.999999999999972,1.0
G-UNI,16.0,11.0,10.919243019226762,15.999999999999972,1.0
G-UNI,16.0,11.0,10.510266138804887,15.999999999999972,1.0
G-UNI,32.0,48.0,16.146975188830094,31.999999999999947,1.0
G-UNI,32.0,48.0,16.87317768708831,31.999999999999947,1.0
G-UNI,32.0,48.0,16.870192336037316,31.999999999999947,1.0
G-UNI,32.0,48.0,17.56248943539985,31.999999999999947,1.0
G-UNI,32.0,48.0,14.26277542374173,31.999999999999947,1.0
G-UNI,32.0,48.0,16.578307842200626,31.999999999999947,1.0
G-UNI,32.0,48.0,17.75388095035214,31.999999999999947,1.0
G-UNI,32.0,48.0,17.045414912275596,31.999999999999947,1.0
G-UNI,32.0,48.0,18.032921653868218,31.999999999999947,1.0
G-UNI,32.0,48.0,15.864511697243065,31.999999999999947,1.0
G-UNI,32.0,48.0,18.25423689465838,31.999999999999947,1.0
G-UNI,32.0,48.0,16.570978903521365,31.999999999999947,1.0
G-UNI,32.0,48.0,17.380019366457677,31.999999999999947,1.0
G-UNI,32.0,48.0,18.288144168010476,31.999999999999947,1.0
G-UNI,32.0,48.0,16.302511540088517,31.999999999999947,1.0
G-UNI,32.0,48.0,15.50601597763378,31.999999999999947,1.0
G-UNI,32.0,48.0,18.240740108525536,31.999999999999947,1.0
G-UNI,32.0,48.0,16.690623531269384,31.999999999999947,1.0
G-UNI,32.0,48.0,14.95207940642408,31.999999999999947,1.0
G-UNI,32.0,48.0,17.057966497570824,31.999999999999947,1.0
G-UNI,32.0,48.0,16.910964841002283,31.999999999999947,1.0
G-UNI,32.0,48.0,16.7575249052539,31.999999999999947,1.0
G-UNI,32.0,48.0,16.683466977604244,31.999999999999947,1.0
G-UNI,32.0,48.0,18.076185066862447,31.999999999999947,1.0
G-UNI,32.0,48.0,17.6241790971605,31.999999999999947,1.0
G-UNI,32.0,48.0,18.2347804853975,31.999999999999947,1.0
G-UNI,32.0,48.0,18.3414958474745,31.999999999999947,1.0
G-UNI,32.0,48.0,15.372033800913014,31.999999999999947,1.0
G-UNI,32.0,48.0,16.683834925811723,31.999999999999947,1.0
G-UNI,32.0,48.0,16.06163839166936,31.999999999999947,1.0
G-UNI,32.0,48.0,16.2784090767179,31.999999999999947,1.0
G-UNI,32.0,48.0,16.128869177294348,31.999999999999947,1.0
G-UNI,32.0,48.0,16.929035478887055,31.999999999999947,1.0
G-UNI,32.0,48.0,17.005480604788747,31.999999999999947,1.0
G-UNI,32.0,48.0,15.475695259505486,31.999999999999947,1.0
G-UNI,32.0,48.0,15.220357303088464,31.999999999999947,1.0
G-UNI,32.0,48.0,14.941543813893741,31.999999999999947,1.0
G-UNI,32.0,48.0,16.16391479572088,31.999999999999947,1.0
G-UNI,32.0,48.0,16.6944782825089,31.999999999999947,1.0
G-UNI,32.0,48.0,15.194008070112016,31.999999999999947,1.0
G-UNI,32.0,32.0,16.146975188830094,31.999999999999947,1.0
G-UNI,32.0,32.0,16.87317768708831,31.999999999999947,1.0
G-UNI,32.0,32.0,16.870192336037316,31.999999999999947,1.0
G-UNI,32.0,32.0,17.56248943539985,31.999999999999947,1.0
G-UNI,32.0,32.0,14.26277542374173,31.999999999999947,1.0
G-UNI,32.0,32.0,16.578307842200626,31.999999999999947,1.0
G-UNI,32.0,32.0,17.75388095035214,31.999999999999947,1.0
G-UNI,32.0,32.0,17.045414912275596,31.999999999999947,1.0
G-UNI,32.0,32.0,18.032921653868218,31.999999999999947,1.0
G-UNI,32.0,32.0,15.864511697243065,31.999999999999947,1.0
G-UNI,32.0,32.0,18.25423689465838,31.999999999999947,1.0
G-UNI,32.0,32.0,16.570978903521365,31.999999999999947,1.0
G-UNI,32.0,32.0,17.380019366457677,31.999999999999947,1.0
G-UNI,32.0,32.0,18.288144168010476,31.999999999999947,1.0
G-UNI,32.0,32.0,16.302511540088517,31.999999999999947,1.0
G-UNI,32.0,32.0,15.50601597763378,31.999999999999947,1.0
G-UNI,32.0,32.0,18.240740108525536,31.999999999999947,1.0
G-UNI,32.0,32.0,16.690623531269384,31.999999999999947,1.0
G-UNI,32.0,32.0,14.95207940642408,31.999999999999947,1.0
G-UNI,32.0,32.0,17.057966497570824,31.999999999999947,1.0
G-UNI,32.0,32.0,16.910964841002283,31.999999999999947,1.0
G-UNI,32.0,32.0,16.7575249052539,31.999999999999947,1.0
G-UNI,32.0,32.0,16.683466977604244,31.999999999999947,1.0
G-UNI,32.0,32.0,18.076185066862447,31.999999999999947,1.0
G-UNI,32.0,32.0,17.6241790971605,31.999999999999947,1.0
G-UNI,32.0,32.0,18.2347804853975,31.999999999999947,1.0
G-UNI,32.0,32.0,18.3414958474745,31.999999999999947,1.0
G-UNI,32.0,32.0,15.372033800913014,31.999999999999947,1.0
G-UNI,32.0,32.0,16.683834925811723,31.999999999999947,1.0
G-UNI,32.0,32.0,16.06163839166936,31.999999999999947,1.0
G-UNI,32.0,32.0,16.2784090767179,31.999999999999947,1.0
G-UNI,32.0,32.0,16.128869177294348,31.999999999999947,1.0
G-UNI,32.0,32.0,16.929035478887055,31.999999999999947,1.0
G-UNI,32.0,32.0,17.005480604788747,31.999999999999947,1.0
G-UNI,32.0,32.0,15.475695259505486,31.999999999999947,1.0
G-UNI,32.0,32.0,15.220357303088464,31.999999999999947,1.0
G-UNI,32.0,32.0,14.941543813893741,31.999999999999947,1.0
G-UNI,32.0,32.0,16.16391479572088,31.999999999999947,1.0
G-UNI,32.0,32.0,16.6944782825089,31.999999999999947,1.0
G-UNI,32.0,32.0,15.194008070112016,31.999999999999947,1.0
G-UNI,32.0,22.0,16.146975188830094,31.999999999999947,1.0
G-UNI,32.0,22.0,16.87317768708831,31.999999999999947,1.0
G-UNI,32.0,22.0,16.870192336037316,31.999999999999947,1.0
G-UNI,32.0,22.0,17.56248943539985,31.999999999999947,1.0
G-UNI,32.0,22.0,14.26277542374173,31.999999999999947,1.0
G-UNI,32.0,22.0,16.578307842200626,31.999999999999947,1.0
G-UNI,32.0,22.0,17.75388095035214,31.999999999999947,1.0
G-UNI,32.0,22.0,17.045414912275596,31.999999999999947,1.0
G-UNI,32.0,22.0,18.032921653868218,31.999999999999947,1.0
G-UNI,32.0,22.0,15.864511697243065,31.999999999999947,1.0
G-UNI,32.0,22.0,18.25423689465838,31.999999999999947,1.0
G-UNI,32.0,22.0,16.570978903521365,31.999999999999947,1.0
G-UNI,32.0,22.0,17.380019366457677,31.999999999999947,1.0
G-UNI,32.0,22.0,18.288144168010476,31.999999999999947,1.0
G-UNI,32.0,22.0,16.302511540088517,31.999999999999947,1.0
G-UNI,32.0,22.0,15.50601597763378,31.999999999999947,1.0
G-UNI,32.0,22.0,18.240740108525536,31.999999999999947,1.0
G-UNI,32.0,22.0,16.690623531269384,31.999999999999947,1.0
G-UNI,32.0,22.0,14.95207940642408,31.999999999999947,1.0
G-UNI,32.0,22.0,17.057966497570824,31.999999999999947,1.0
G-UNI,32.0,22.0,16.910964841002283,31.999999999999947,1.0
G-UNI,32.0,22.0,16.7575249052539,31.999999999999947,1.0
G-UNI,32.0,22.0,16.683466977604244,31.999999999999947,1.0
G-UNI,32.0,22.0,18.076185066862447,31.999999999999947,1.0
G-UNI,32.0,22.0,17.6241790971605,31.999999999999947,1.0
G-UNI,32.0,22.0,18.2347804853975,31.999999999999947,1.0
G-UNI,32.0,22.0,18.3414958474745,31.999999999999947,1.0
G-UNI,32.0,22.0,15.372033800913014,31.999999999999947,1.0
G-UNI,32.0,22.0,16.683834925811723,31.999999999999947,1.0
