experiment,world_id,world_digest,world_seed,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,method,graph_regime,recovery_applied,recovered_certificate,runtime_ms,rounds,messages,bytes,delivered,dropped,algorithm_status,cycle_detected,cycle_length,consistent,raw_certificate,total_deficit,distance_cost,conflicts,unserved_loads,excess_capacity,assigned_robots,max_coalition_size,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,oracle_status,oracle_objective,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap
E2,corridor-0.85-1,f784f5513fab21e6e9ebbb02fc166362bd13bffc0fcf017d3862fd9e69188d6d,4048617625,corridor,Pasillo,0.0,0.0,0.85,16,5,capacity_cbba,medium,False,,28.450699988752604,24,694,106778,694,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,260.02404081903535,0,0,12.000000000000002,16,5,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,190.798022895354,0.0023567999596707523,True,True,0.36282356008295424
E2,corridor-0.85-1,f784f5513fab21e6e9ebbb02fc166362bd13bffc0fcf017d3862fd9e69188d6d,4048617625,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_grape,medium,False,,189.03569999383762,273,8469,355404,8469,0,CONVERGED,False,0,True,FEASIBLE,0.0,198.99418538832546,0,0,12.000000000000002,16,5,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,190.798022895354,0.0023567999596707523,True,True,0.04295727161421779
E2,corridor-0.85-1,f784f5513fab21e6e9ebbb02fc166362bd13bffc0fcf017d3862fd9e69188d6d,4048617625,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_pair_grape,medium,False,,789.8068000213243,241,7384,309834,7384,0,CONVERGED,False,0,True,FEASIBLE,0.0,190.79802289535402,0,0,12.000000000000002,16,5,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,190.798022895354,0.0023567999596707523,True,True,1.4896228482405352e-16
E2,corridor-0.85-2,c35eaa47483ca4378bc014ef24d644c8211d084d06f9ab4b4698dd2e701823b6,2573021898,corridor,Pasillo,0.0,0.0,0.85,16,5,capacity_cbba,medium,False,,40.666299988515675,23,1249,255119,1249,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,450.6605269364788,0,0,11.99999999999999,16,5,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,435.4056099652001,0.003705899987835437,True,True,0.03503610569578549
E2,corridor-0.85-2,c35eaa47483ca4378bc014ef24d644c8211d084d06f9ab4b4698dd2e701823b6,2573021898,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_grape,medium,False,,231.74760001711547,273,15294,641730,15294,0,CONVERGED,False,0,True,FEASIBLE,0.0,443.8547726256297,0,0,11.99999999999999,16,5,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,435.4056099652001,0.003705899987835437,True,True,0.01940526825344519
E2,corridor-0.85-2,c35eaa47483ca4378bc014ef24d644c8211d084d06f9ab4b4698dd2e701823b6,2573021898,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_pair_grape,medium,False,,1221.893599955365,193,11111,466044,11111,0,CONVERGED,False,0,True,FEASIBLE,0.0,435.4056099652001,0,0,11.99999999999999,16,5,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,435.4056099652001,0.003705899987835437,True,True,0.0
E2,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,capacity_cbba,medium,False,,48.200400022324175,28,1364,163468,1364,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,1.6618292651460784,328.6974678980396,0,1,13.661829265146066,16,5,74,9.25,3,3,1,1.3940521178398657,True,OPTIMAL,138.53979556995688,0.011313099996186793,True,True,
E2,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,weighted_grape,medium,False,,216.7775999987498,241,10181,427158,10181,0,CONVERGED,False,0,True,FEASIBLE,0.0,250.22146629311584,0,0,6.455354899965068,14,5,74,9.25,3,3,1,1.3940521178398657,True,OPTIMAL,138.53979556995688,0.011313099996186793,True,True,0.8061342249257494
E2,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,weighted_pair_grape,medium,False,,729.4988000066951,161,6859,287634,6859,0,CONVERGED,False,0,True,FEASIBLE,0.0,200.94091728264456,0,0,3.8020824971242915,13,4,74,9.25,3,3,1,1.3940521178398657,True,OPTIMAL,138.53979556995688,0.011313099996186793,True,True,0.4504201948325937
E2,corridor-0.85-1,7ceecf6e9d90d0c4617ac24cc24e11d496f160869532f20c2a93605152b736a6,4048617625,corridor,Pasillo,0.65,0.6986399898087976,0.85,16,5,capacity_cbba,medium,False,,30.369099986273795,26,882,120834,882,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,0.6377529110816926,211.69752390779493,0,1,7.396226632582659,13,4,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,140.03444889230659,0.05850659997668117,True,True,
E2,corridor-0.85-1,7ceecf6e9d90d0c4617ac24cc24e11d496f160869532f20c2a93605152b736a6,4048617625,corridor,Pasillo,0.65,0.6986399898087976,0.85,16,5,weighted_grape,medium,False,,155.44030000455678,241,7543,316512,7543,0,CONVERGED,False,0,True,FEASIBLE,0.0,319.8572506778323,0,0,8.114160211483638,14,5,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,140.03444889230659,0.05850659997668117,True,True,1.2841326059976739
E2,corridor-0.85-1,7ceecf6e9d90d0c4617ac24cc24e11d496f160869532f20c2a93605152b736a6,4048617625,corridor,Pasillo,0.65,0.6986399898087976,0.85,16,5,weighted_pair_grape,medium,False,,463.93650001846254,161,4905,205716,4905,0,CONVERGED,False,0,True,FEASIBLE,0.0,328.43905073379597,0,0,9.509193962473338,14,4,49,6.125,3,4,1,0.5545607102441362,True,OPTIMAL,140.03444889230659,0.05850659997668117,True,True,1.345416098194394
E2,corridor-0.85-2,1d6f2a3cd0d917e0567c4b6f45f6829a38a83fe89346a83d6b877176a07645ee,2573021898,corridor,Pasillo,0.65,0.6074432897759581,0.85,16,5,capacity_cbba,medium,False,,53.399400028865784,23,1249,287255,1249,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,682.0147776957073,0,0,11.999999999999993,16,6,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,299.1666180923814,0.0593904999550432,True,True,1.2797155045055997
E2,corridor-0.85-2,1d6f2a3cd0d917e0567c4b6f45f6829a38a83fe89346a83d6b877176a07645ee,2573021898,corridor,Pasillo,0.65,0.6074432897759581,0.85,16,5,weighted_grape,medium,False,,196.84879999840632,241,13639,572220,13639,0,CONVERGED,False,0,True,FEASIBLE,0.0,502.76157854251227,0,0,7.489916439196486,14,5,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,299.1666180923814,0.0593904999550432,True,True,0.6805403682681657
E2,corridor-0.85-2,1d6f2a3cd0d917e0567c4b6f45f6829a38a83fe89346a83d6b877176a07645ee,2573021898,corridor,Pasillo,0.65,0.6074432897759581,0.85,16,5,weighted_pair_grape,medium,False,,819.7020000079647,145,8350,350082,8350,0,CONVERGED,False,0,True,FEASIBLE,0.0,387.4033860030314,0,0,5.689087236545683,13,3,103,12.875,5,2,1,4.780569405272102,True,OPTIMAL,299.1666180923814,0.0593904999550432,True,True,0.2949418904866013
