scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,feasible_load_count_mean,completed_load_count_mean,task_completion_rate_mean,recovery_success_mean,recovery_time_s_mean,load_target_reached_rate_mean,mean_final_pose_error_m_mean,max_final_pose_error_m_mean,mean_final_orientation_error_deg_mean,max_final_orientation_error_deg_mean,lost_load_rate_mean,infeasible_load_count_mean,infeasible_load_detection_rate_mean,post_event_wrench_feasible_rate_mean,mean_wrench_residual_norm_mean,min_wrench_margin_mean,unsupported_time_s_mean,load_pause_time_s_mean,degraded_speed_time_s_mean,replacement_arrival_time_s_mean,final_assigned_loads_mean,final_idle_robots_mean,reassignment_count_mean,final_active_robot_rate_mean,failed_robot_count_mean,battery_margin_final_mean,min_battery_fraction_mean,communication_coverage_ratio_mean,communication_messages_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
infeasible_load_detection,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,60,1.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,32.642,0.8333333333333334,0.5907760821706317,1.1815521643412634,0.002467610780149155,0.00493522156029831,0.16666666666666666,1.6666666666666667,0.675,0.9993838028169013,0.35080895687610647,-0.009176818553876896,0.0,6.4796666666666685,2.3520000000000008,0.03999999999999915,0.9833333333333333,1.2,12.583333333333334,1.0,0.0,0.23722801399352772,0.3872280139935277,1.0,12870.0,0.0,0.0,31.483333333333334,0.11499999974396097,nan,0.27217887823239906,143.4034025073212,23.90056708455353,0.21339115577025813,1144.7770420841803,0.4129157315547684,0.734340491228906,0.0,242.8841183311306,217.85106957898557,243.5634051114779,-25.7123355324923,0.08521055873563263,0.08521055873563263
infeasible_load_detection,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,60,1.3333333333333333,1.0833333333333333,0.875,0.75,32.53266666666667,0.875,0.5457140453105208,1.0914280906210416,0.006699150608940897,0.013398301217881794,0.125,1.6666666666666667,0.6666666666666666,0.999911971830986,0.35709578813719267,-0.007006771287342914,0.0,6.661666666666666,2.2913333333333337,0.03999999999999915,0.95,1.45,13.0,1.0,0.0,0.2350432858960759,0.38504328589607595,1.0,12870.0,0.0,0.0,23.733333333333334,0.11499999973469976,nan,0.2722102930602045,144.15689755408022,24.026149592346705,0.21457668718569478,1151.4052256336452,0.41321781427205617,0.734340491228906,0.0,240.38311333473152,243.00794139167866,243.5634051114779,-0.5554637197992627,0.037200143787189034,0.037200143787189034
monte_carlo,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,60,2.183333333333333,1.5166666666666666,0.7138888888888889,0.5,51.43160291859558,0.7138888888888889,1.2076864311828923,2.2542830929461766,0.6117873820536478,1.467929430298405,0.28611111111111115,0.85,0.6083333333333333,0.9049484469744153,1.3211032862426075,-0.14964659653672094,1.1783333333333337,7.2426666666666675,8.74766666666667,3.064175546053329,1.2,4.216666666666667,7.583333333333333,0.9310185185185185,0.5833333333333334,0.2240923433643598,0.3740923433643598,0.704727921467676,18487.3,0.03333333333333333,1.346801346801347e-06,52.516666666666666,0.11499999967593184,0.15892382563355992,0.2730119552352107,141.48967429757639,17.16524519783762,0.3227436538098906,1105.0287049816848,0.31839860335954145,0.7268951119624698,0.0,425.33661334115703,135.13577464371767,136.41320282356568,-1.277428179848001,0.09920315947446398,0.09920315947446398
monte_carlo,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,60,2.2,1.4666666666666666,0.6861111111111111,0.45,51.530334822260514,0.6861111111111111,1.3299790682142403,2.505510753000695,0.6141598668896874,1.4725253206934048,0.31388888888888894,0.8333333333333334,0.6833333333333333,0.9422375643990014,1.6544714817670167,-0.12672190566398472,1.4630000000000003,7.959000000000001,7.133,2.1845088793866627,1.1833333333333333,4.583333333333333,7.416666666666667,0.9282407407407407,0.6,0.23848338477471118,0.3884833847747112,1.0,26048.066666666666,0.03333333333333333,1.346801346801347e-06,62.06666666666667,0.11499999968716032,0.1927614124142931,0.38599868804875626,135.47471870226587,16.46230991380428,0.34625800986086364,1059.0193792611192,0.299721853699752,0.7261116794557376,0.0,411.737576664503,119.43468902579647,136.41320282356568,-16.978513797769185,0.09919039116806114,0.09919039116806114
monte_carlo,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,60,2.183333333333333,1.5666666666666667,0.7388888888888888,0.55,49.85379194484177,0.7388888888888888,1.0946690614275574,2.0283081042419377,0.6119429541170935,1.4683081177017363,0.2611111111111111,0.85,0.6666666666666666,0.9132197673094019,1.3101004837752641,-0.13494458598884437,1.2063333333333335,6.647666666666667,9.415000000000001,3.194633899285336,1.0833333333333333,4.416666666666667,7.7,0.9196296296296296,0.6666666666666666,0.22203253293408176,0.3720325329340819,1.0,26048.066666666666,0.03333333333333333,1.346801346801347e-06,51.4,0.11499999964527644,0.14115598130541612,0.251994811433602,141.41052548782903,17.1745061449672,0.32818648267326483,1105.0613068696728,0.3243983916480634,0.7431907888882691,0.0,443.77282333637896,148.63347672124698,136.41320282356568,12.220273897681336,0.08539985633660288,0.08539985633660288
monte_carlo,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,60,2.183333333333333,1.5,0.6972222222222223,0.5,50.88286534333823,0.6972222222222223,1.163411789796612,2.133313117056201,0.6137021233278297,1.4715148941264689,0.3027777777777778,0.85,0.6083333333333333,0.8932317163845961,1.4314434245899823,-0.15789854606201542,1.3603333333333334,7.312666666666669,10.329666666666666,3.601784578198303,1.25,3.8333333333333335,7.133333333333334,0.920324074074074,0.6666666666666666,0.21972088358249306,0.36972088358249316,0.6940478262120922,18206.766666666666,0.016666666666666666,6.076072426783327e-07,47.733333333333334,0.11499999966612487,0.14445066909951837,0.273128844170151,140.60287831089107,17.049602081445332,0.32384792684324515,1096.7431199955302,0.31531239085448093,0.7101600871599015,0.0,418.22966166073456,132.1378799744825,136.41320282356568,-4.275322849083167,0.15515840001214112,0.15515840001214112
monte_carlo,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,60,2.183333333333333,1.55,0.7166666666666668,0.5166666666666667,49.37535033023788,0.7166666666666668,1.2159433821654644,2.2154437379949385,0.6146578910567918,1.4736392938864549,0.2833333333333334,0.85,0.75,0.9333822429180987,1.5634068171894842,-0.14923143326205546,1.3883333333333334,7.599666666666666,7.023333333333334,2.4785088793866623,1.0166666666666666,5.1,8.3,0.9299074074074074,0.5833333333333334,0.2386575394639347,0.3886575394639348,0.6983889661637716,18202.0,0.03333333333333333,1.346801346801347e-06,58.55,0.11499999972992268,0.1862555494518328,0.3054418122146341,137.98087971154456,16.789964408487908,0.34755695420570726,1075.033564910772,0.3057646697950806,0.7595408354429575,0.0,398.60341999640997,149.01810799342962,136.41320282356568,12.60490516986398,0.018866659114095966,0.018866659114095966
monte_carlo,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,60,2.183333333333333,1.5833333333333333,0.7416666666666667,0.55,49.69760110426647,0.7416666666666667,1.1183055450748036,2.071511323904721,0.36781147363440353,0.735393203714193,0.25833333333333336,0.85,0.725,0.938160449837688,1.208446844643144,-0.12139155354053054,0.8796666666666668,6.7666666666666675,7.0280000000000005,1.6688422127199956,1.0166666666666666,5.15,8.2,0.9282407407407407,0.6,0.23681020053322654,0.38681020053322646,0.6897173141043049,17976.0,0.0,0.0,59.5,0.11499999971070156,0.18748655762311134,0.3117697076604234,136.93212359966813,16.65944713391248,0.33936973514640095,1068.883440815079,0.3042738287675138,0.7431850589997158,0.0,401.7145716662829,160.33913291809827,136.41320282356568,23.925930094532628,0.059829544255796535,0.059829544255796535
monte_carlo,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,60,2.2,1.5166666666666666,0.7027777777777778,0.5,49.23992122262486,0.7027777777777778,1.2651723903159993,2.3344298065831737,0.6144427281493989,1.4731714330264858,0.2972222222222223,0.8333333333333334,0.7416666666666667,0.940131012456679,1.609471452302432,-0.13428885424291143,1.435,7.487666666666667,6.479666666666668,2.7188422127199954,1.0833333333333333,5.0,8.116666666666667,0.9299074074074074,0.5833333333333334,0.23970988362251647,0.3897098836225165,1.0,26048.066666666666,0.03333333333333333,1.346801346801347e-06,63.78333333333333,0.11499999917319943,0.1832007761938121,0.3340739818314523,137.9540297968245,16.775708270480216,0.34267279606700485,1076.1058987363342,0.30374413595872574,0.7591927961607147,0.0,401.0403166738494,136.41320282356568,136.41320282356568,0.0,0.0,0.0
monte_carlo,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,60,2.183333333333333,1.5333333333333334,0.7194444444444446,0.5166666666666667,50.51115031781707,0.7194444444444446,1.2190675313140085,2.252039993989399,0.6127927383206377,1.4698689065409427,0.2805555555555556,0.85,0.6666666666666666,0.9389148334894734,1.5808371729109802,-0.1388226045199635,1.4210000000000003,7.4876666666666685,6.605666666666666,2.6511755460533295,1.1,4.833333333333333,7.983333333333333,0.9299074074074074,0.5833333333333334,0.22753217699604847,0.37753217699604846,0.690679727878167,18062.266666666666,0.03333333333333333,1.346801346801347e-06,63.083333333333336,0.11499999969998029,0.1707339820040827,0.3118714455078779,138.0649242084922,16.804043300809727,0.3374544784094182,1080.3687516245532,0.30718670375809454,0.742703058571268,0.0,418.3929683427171,145.32683788557182,136.41320282356568,8.913635062006145,0.051480597233967716,0.051480597233967716
monte_carlo,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,60,2.183333333333333,1.5333333333333334,0.7194444444444444,0.5166666666666667,50.395023826647396,0.7194444444444444,1.2199086487074737,2.2191801733408387,0.3677029757243559,0.7351978754775276,0.2805555555555556,0.85,0.6666666666666666,0.9434488343982501,1.2087633949174368,-0.12068046464072554,0.8913333333333334,6.601000000000001,6.890333333333333,2.0538422127199953,1.1333333333333333,4.783333333333333,7.916666666666667,0.9299074074074074,0.5833333333333334,0.23494752753196085,0.3849475275319608,0.6915649825822302,18070.466666666667,0.0,0.0,68.2,0.11499999972114087,0.18298201476290502,0.31688550392092124,137.04722009155097,16.71669546796089,0.33232759391856265,1069.1510868864907,0.3054905890905891,0.742521507167598,0.0,413.5737066661629,145.8311158437874,136.41320282356568,9.417913020221729,0.07127767177741053,0.07127767177741053
monte_carlo,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,60,2.183333333333333,1.4833333333333334,0.6972222222222223,0.4666666666666667,51.00969337547838,0.6972222222222223,1.3008285007209248,2.416278098479073,0.6121925083830246,1.4685660061842032,0.3027777777777778,0.85,0.7083333333333334,0.929975059192836,1.5969288046027212,-0.15804469351442638,1.4210000000000003,7.676666666666668,7.224000000000001,2.3175088793866627,1.1166666666666667,4.9,8.033333333333333,0.9299074074074074,0.5833333333333334,0.2381514487524262,0.38815144875242624,0.6963607057513396,18173.266666666666,0.03333333333333333,1.346801346801347e-06,65.06666666666666,0.1149999995815098,0.18161421423883092,0.3731127411643049,136.08605234272758,16.569648475431865,0.34787375879160376,1064.0834548518358,0.30173286500785484,0.7430290781507192,0.0,409.55615167622454,131.99811731233663,136.41320282356568,-4.415085511229019,0.05832650824950218,0.05832650824950218
multi_load_priority_shift,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,60,3.0,1.0333333333333334,0.34444444444444433,0.0,58.0,0.34444444444444433,3.6231601252244925,6.718527193469116,0.13047476586654042,0.3914241282598534,0.6555555555555554,1.0,0.06666666666666667,0.9834949494949494,1.4417160655133403,-0.13909814686823685,1.7453333333333334,8.722,3.2036666666666673,1.8166666666666662,2.9,1.5,4.183333333333334,1.0,0.0,0.35835722175571305,0.5083572217557131,1.0,37350.0,0.03333333333333333,1.2327416173570019e-06,289.3666666666667,0.11499999949661201,0.18511923176183367,0.07534927692393098,140.62353225243396,14.062353225243395,0.35909760805564267,1100.9387942554742,0.2731491501831875,0.7316425246945376,0.0,1009.5254533342086,-88.04584322022482,-89.92174453824714,1.8759013180223256,0.01877050752243712,0.01877050752243712
multi_load_priority_shift,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,60,3.0,1.0333333333333334,0.34444444444444433,0.0,58.0,0.34444444444444433,3.561348684148165,6.59565133294261,0.10246318689092142,0.3073890366085923,0.6555555555555554,1.0,0.08333333333333333,0.9858585858585859,1.168769900208308,-0.12284879460215589,1.3860000000000001,7.662666666666667,3.112666666666667,1.6346666666666663,2.8833333333333333,1.5333333333333334,4.2,1.0,0.0,0.35850941328074076,0.5085094132807407,1.0,37350.0,0.2833333333333333,1.0478303747534517e-05,295.0,0.11499999930061158,0.22568371609589163,0.0642516332518135,142.65898575989905,14.2658985759899,0.36298876082546155,1119.9597746269696,0.26998285575280445,0.731384580071999,0.0,1010.2157050006402,-87.83860371368935,-89.92174453824714,2.083140824557766,0.016538005275167914,0.016538005275167914
multi_load_priority_shift,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,60,3.0166666666666666,0.95,0.31527777777777766,0.0,58.0,0.31527777777777766,3.6821663724246014,6.818651642611324,0.7337455234301516,2.201293828103519,0.6847222222222221,0.9833333333333333,0.03333333333333333,0.9789444444444444,1.8036176843002498,-0.12412836069652107,2.2633333333333336,10.206,3.6120000000000005,2.2713333333333328,2.9833333333333334,1.0833333333333333,3.85,1.0,0.0,0.34456384162978687,0.49456384162978695,1.0,37350.0,0.16666666666666666,6.16370808678501e-06,282.75,0.11499997967979757,0.13792077091289306,0.07761598559361543,138.40106211476078,13.840106211476074,0.3536226744684638,1084.543960098459,0.28028878445743194,0.7493175654042512,0.0,1006.0394500032999,-95.26001195345151,-89.92174453824714,-5.338267415204387,0.04545930668615628,0.04545930668615628
