t_s,method,robot,x_m,y_m,command_x_m,command_y_m,replay_error_m
34.44,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
34.44,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
34.44,distributed_pd_hocbf,1,2.2897668199999996,2.09550458,2.2897668169293057,2.095504582546553,3.989247052907482e-09
34.44,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
34.44,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
34.56,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
34.56,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
34.56,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
34.56,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
34.56,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
34.56,distributed_pd_hocbf,1,2.2562744599999993,2.12895166,2.256274456194528,2.1289516647338114,6.073762031907155e-09
34.56,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
34.56,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
34.68,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
34.68,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
34.68,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
34.68,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
34.68,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
34.68,distributed_pd_hocbf,1,2.2244584299999994,2.1553581,2.224458434011855,2.1553581012739493,4.209267572857491e-09
34.68,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
34.68,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
34.8,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
34.8,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
34.8,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
34.8,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
34.8,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
34.8,distributed_pd_hocbf,1,2.1915116400000008,2.17619774,2.1915116434938566,2.1761977393096976,3.5613966875009377e-09
34.8,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
34.8,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
34.92,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
34.92,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
34.92,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
34.92,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
34.92,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
34.92,distributed_pd_hocbf,1,2.1546463000000005,2.19201262,2.1546462958034835,2.1920126222248593,4.7498161622465046e-09
34.92,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
34.92,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.04,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.04,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.04,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.04,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.04,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.04,distributed_pd_hocbf,1,2.1117170300000003,2.20232227,2.1117170292320493,2.2023222686895747,1.5188689019046727e-09
35.04,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.04,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.16,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.16,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.16,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
35.16,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
35.16,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
35.16,distributed_pd_hocbf,1,2.0620339999999997,2.20611777,2.062034001993683,2.2061177729343604,3.547568757864615e-09
35.16,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
35.16,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
35.28,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
35.28,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
35.28,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
