experiment_id,scenario_generator,scenario_variant_id,communication_profile,seed,method,active_link_count,algebraic_connectivity,attempted_link_count,base_connected_ratio,coalition_connected,coalition_direct_clique,coalition_relay_connected,component_count,delay_violation_rate,delivered_link_count,largest_component_ratio,mean_delay_s,mobile_group_detection_rate,obstacle_detection_rate,packet_delivery_ratio,temporal_coalition_connected,time_s
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021065663809736224,0.8571428571428571,1.0,1.0,True,15.66
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.019587349743217894,1.0,1.0,1.0,True,16.2
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.017831276535764166,1.0,1.0,1.0,True,16.74
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.01827077885759641,1.0,1.0,1.0,True,17.28
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.020135057452595487,1.0,1.0,1.0,True,17.82
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.01995180225867472,1.0,0.9166666666666666,1.0,True,18.36
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.019288535962603725,1.0,0.9166666666666666,1.0,True,18.9
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.01871856171524712,0.9,1.0,1.0,True,19.439999999999998
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.020561260028316496,1.0,0.9166666666666666,1.0,True,19.98
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021761837972749467,1.0,1.0,1.0,True,20.52
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.02250656666498947,1.0,1.0,1.0,True,21.06
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.024462825342182838,1.0,1.0,1.0,True,21.599999999999998
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018991604410326057,1.0,1.0,1.0,True,22.14
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.020659481133176876,1.0,1.0,1.0,True,22.68
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.022170386383499198,1.0,0.9166666666666666,1.0,True,23.22
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021548204780310765,1.0,1.0,1.0,True,23.759999999999998
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.019764360014131222,1.0,1.0,1.0,True,24.3
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018895892838560698,1.0,1.0,1.0,True,24.84
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021713809962261816,1.0,1.0,1.0,True,25.38
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.01696956943526244,1.0,1.0,1.0,True,25.919999999999998
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.017558884343327832,1.0,1.0,1.0,True,26.459999999999997
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018007512291491667,1.0,1.0,1.0,True,27.0
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018118275766312333,1.0,1.0,1.0,True,27.54
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.017941788460751295,1.0,1.0,1.0,True,28.08
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021683221950406648,0.9166666666666666,1.0,1.0,True,28.619999999999997
