method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,closure_success,continuous_converged,continuous_timeout,final_success,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
SMI,SMI,ASYM,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,45ab1f1cdc0be691,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,45ab1f1cdc0be691,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,45ab1f1cdc0be691,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,417f414238481fa6,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,417f414238481fa6,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,417f414238481fa6,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,417f414238481fa6,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,417f414238481fa6,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,417f414238481fa6,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,7ec71ef03d19aaec,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,7ec71ef03d19aaec,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,7ec71ef03d19aaec,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7ec71ef03d19aaec,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,7ec71ef03d19aaec,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,7ec71ef03d19aaec,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,0a348d13791cb215,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,0a348d13791cb215,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,0a348d13791cb215,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,0a348d13791cb215,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,0a348d13791cb215,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,0a348d13791cb215,True,,,True,True,True,True,True,True
HUN,,,EXACT,True,01e45d7b631fa0e2,True,,,True,True,True,True,True,True
GRD,,,POLICY,True,01e45d7b631fa0e2,True,,,True,True,True,True,True,True
EPS-AUCTION,,,POLICY,True,01e45d7b631fa0e2,True,,,True,True,True,True,True,True
REP,REP,LIN,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
BNN,BNN,MC,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
IBR,IBR,LIN,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
GPC,GPC,LIN,QR1,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,01e45d7b631fa0e2,True,False,True,True,True,True,True,True,True
IPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,01e45d7b631fa0e2,True,,,True,True,True,True,True,True
MAPPO-GNN,,,DEBUG_UNTRAINED_POLICY_REPAIR,True,01e45d7b631fa0e2,True,,,True,True,True,True,True,True
