campaign_id,experiment,block,world_key,world_id,world_seed,scenario,N,K,robots_per_load,capacity_cv,realized_cv,pressure,graph_regime,graph_edges,graph_connected,br_status,br_phase,br_feasible,br_distance,br_deficit,br_rounds,br_bytes_per_agent,hstar_order,hstar_category,searched_through,phase,witness_robots,witness_old_actions,witness_new_actions,witness_delta_deficit,witness_delta_distance,search_runtime_ms,br_assignment,gap_br,gap_2br,gap_c3
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:uniform:p0.7:cv1.0:r28,uniform-p0.7-r28,2956999919,uniform,16,5,3.2,1.0,0.8087683218845916,0.7,medium,69,True,LOCAL_MINIMUM,G,True,485.47390973199134,0.0,29,468.75,2.0,2,3,G,1;12,3;0,0;3,0.0,-36.229377051813174,7.48209998710081,1;3;1;0;-1;0;1;3;1;-1;2;2;0;-1;4;4,0.8760393902232161,0.3327583151147638,0.0397002954093887
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:uniform:p0.85:cv0.0:r22,uniform-p0.85-r22,1896851065,uniform,16,5,3.2,0.0,0.0,0.85,medium,73,True,LOCAL_MINIMUM,G,True,973.3811966805434,0.0,32,579.75,2.0,2,3,G,1;9,3;0,0;3,0.0,-85.72781011962289,8.404100022744387,0;3;4;2;0;0;0;0;4;0;1;4;3;0;1;0,0.5475653919413002,-1.8074914142291692e-16,-1.8074914142291694e-16
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:uniform:p0.85:cv0.35:r14,uniform-p0.85-r14,935966116,uniform,16,5,3.2,0.35,0.27392130082072685,0.85,medium,65,True,LOCAL_MINIMUM,G,True,751.7539967110946,0.0,39,725.25,2.0,2,3,G,1;5,1;2,2;1,0.0,-65.98405275495229,7.567300024675205,4;1;2;4;0;2;3;1;1;3;1;2;2;2;0;-1,1.0430519628155368,0.2422821458210735,0.0981976184704754
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,frozen_main,E3:uniform:p0.85:cv0.65:r6,uniform-p0.85-r6,450823386,uniform,16,5,3.2,0.65,0.47777014800067513,0.85,medium,62,True,LOCAL_MINIMUM,G,True,734.90513873364,0.0,35,746.25,2.0,2,3,G,3;15,1;4,4;1,0.0,-35.97055748428822,6.149099994217977,1;0;-1;1;4;0;0;0;3;2;4;2;1;1;3;4,0.8059870616399794,0.0407327680654537,1.0337017726176848e-14
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N12:K4:corridor:p0.85:cv0.00:r0,E9R:N12:K4:corridor:p0.85:cv0.00:r0,3079280718,corridor,12,4,3.0,0.0,0.0,0.85,medium,33,True,LOCAL_MINIMUM,Q,False,233.26285064961652,0.36244782411827003,24,492.0,,>3,3,Q,,,,0.0,0.0,12.048599979607388,1;3;3;0;1;3;2;2;0;1;3;0,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N12:K4:corridor:p0.85:cv1.00:r0,E9R:N12:K4:corridor:p0.85:cv1.00:r0,761770293,corridor,12,4,3.0,1.0,0.7421849528950776,0.85,medium,28,True,LOCAL_MINIMUM,G,True,316.6002685297383,0.0,34,751.3333333333334,2.0,2,3,G,2;7,0;2,2;0,0.0,-29.215355065129657,2.7467999898362905,3;0;0;2;1;3;1;2;0;-1;-1;0,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N12:K4:uniform:p0.85:cv0.00:r0,E9R:N12:K4:uniform:p0.85:cv0.00:r0,4157002497,uniform,12,4,3.0,0.0,0.0,0.85,medium,57,True,LOCAL_MINIMUM,G,True,452.6954257479065,0.0,24,429.0,2.0,2,3,G,5;8,2;3,3;2,0.0,-56.24005045156326,5.954000022029504,0;3;3;2;1;2;1;0;3;2;1;0,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N12:K4:uniform:p0.85:cv1.00:r0,E9R:N12:K4:uniform:p0.85:cv1.00:r0,396828253,uniform,12,4,3.0,1.0,0.586921243140687,0.85,medium,40,True,LOCAL_MINIMUM,G,True,361.3821678341628,0.0,29,582.3333333333334,2.0,2,3,G,3;9,3;2,2;3,0.0,-62.84218026705098,4.144300008192658,-1;1;2;3;-1;2;1;0;0;2;2;3,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N8:K4:corridor:p0.85:cv0.00:r0,E9R:N8:K4:corridor:p0.85:cv0.00:r0,2437221172,corridor,8,4,2.0,0.0,0.0,0.85,medium,15,True,LOCAL_MINIMUM,G,True,303.64492480798594,0.0,16,329.0,2.0,2,3,G,1;6,3;2,2;3,0.0,-16.45822585198114,2.6049000152852386,3;3;0;0;1;3;2;2,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N8:K4:corridor:p0.85:cv1.00:r0,E9R:N8:K4:corridor:p0.85:cv1.00:r0,2978923280,corridor,8,4,2.0,1.0,0.7247297654387403,0.85,medium,16,True,LOCAL_MINIMUM,G,True,227.327977388226,0.0,23,694.5,2.0,2,3,G,4;6,-1;2,2;-1,0.0,-14.036651858801697,1.5471999940928072,1;0;0;3;-1;3;2;2,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N8:K4:uniform:p0.85:cv0.00:r0,E9R:N8:K4:uniform:p0.85:cv0.00:r0,793685750,uniform,8,4,2.0,0.0,0.0,0.85,medium,17,True,LOCAL_MINIMUM,Q,False,351.04331326062794,0.43381490187528016,16,318.5,,>3,3,Q,,,,0.0,0.0,6.336599995847791,3;2;0;3;0;1;2;1,,,
SP1_N4_HSTAR_v4_SMOKE,E9_HSTAR_BARRIERS,ratio_sensitivity,E9R:N8:K4:uniform:p0.85:cv1.00:r0,E9R:N8:K4:uniform:p0.85:cv1.00:r0,3844537479,uniform,8,4,2.0,1.0,0.7023534925318512,0.85,medium,26,True,LOCAL_MINIMUM,Q,False,474.65148663108783,0.6385903695342892,16,308.0,2.0,2,3,Q,2;5,0;1,1;0,-0.6385903695342892,68.00921139590466,2.818800014210865,2;3;0;1;3;1;0;3,,,
