campaign_id,experiment,world_key,world_seed,scenario,N,K,method,feasible,capacity_deficit,runtime_ms,rounds,messages,bytes,bytes_per_agent,max_parallel_commits,algorithm_status,arbitration_messages,transaction_messages
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r0,1811569661,corridor,16,4,geo_qpg_d,True,0.0,164.01350000523962,19,3340,144772,9048.25,3,LOCAL_MINIMUM,1202,141
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r1,1190399968,corridor,16,4,geo_qpg_u,True,0.0,5.954799999017268,42,383,12936,808.5,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r1,1190399968,corridor,16,4,geo_qpg_d,True,0.0,95.02300000167452,14,2020,80384,5024.0,3,LOCAL_MINIMUM,814,111
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r2,563372763,corridor,16,4,geo_qpg_u,True,0.0,7.16950002242811,44,358,12336,771.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r2,563372763,corridor,16,4,geo_qpg_d,True,0.0,115.20849997759797,19,2618,106520,6657.5,3,LOCAL_MINIMUM,1034,102
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r3,1480170220,corridor,16,4,geo_qpg_u,True,0.0,6.897600018419325,40,382,12816,801.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r3,1480170220,corridor,16,4,geo_qpg_d,True,0.0,124.26369998138398,14,1548,66904,4181.5,4,LOCAL_MINIMUM,342,72
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r4,3246754707,corridor,16,4,geo_qpg_u,True,0.0,7.153700018534437,41,354,11868,741.75,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N16:K4:corridor:cv0.65:p0.8:r4,3246754707,corridor,16,4,geo_qpg_d,True,0.0,186.03209999855608,14,2007,91556,5722.25,4,LOCAL_MINIMUM,386,84
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r0,2247476304,uniform,32,8,geo_qpg_u,True,0.0,26.121000002603978,83,1236,40752,1273.5,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r0,2247476304,uniform,32,8,geo_qpg_d,True,0.0,1449.3184000020847,24,10621,522448,16326.5,7,LOCAL_MINIMUM,4756,267
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r1,763415517,uniform,32,8,geo_qpg_u,True,0.0,23.173399997176602,88,1506,50280,1571.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r1,763415517,uniform,32,8,geo_qpg_d,True,0.0,1615.6644999864511,23,11477,586520,18328.75,8,LOCAL_MINIMUM,4878,321
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r2,2285423067,uniform,32,8,geo_qpg_u,True,0.0,25.488499988568947,87,1197,39424,1232.0,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r2,2285423067,uniform,32,8,geo_qpg_d,True,0.0,1679.709299991373,23,11547,581520,18172.5,8,LOCAL_MINIMUM,5606,192
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r3,2318664377,uniform,32,8,geo_qpg_u,True,0.0,26.903700025286525,89,1219,40348,1260.875,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r3,2318664377,uniform,32,8,geo_qpg_d,True,0.0,1461.4553000137676,23,7709,416192,13006.0,6,LOCAL_MINIMUM,2356,267
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r4,1047804455,uniform,32,8,geo_qpg_u,True,0.0,21.83170002535917,79,1205,39760,1242.5,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:uniform:cv0.65:p0.8:r4,1047804455,uniform,32,8,geo_qpg_d,True,0.0,1457.9838000063319,26,9139,471332,14729.125,7,LOCAL_MINIMUM,3458,243
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r0,3946902187,clustered,32,8,geo_qpg_u,True,0.0,20.494199998211116,75,1311,43592,1362.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r0,3946902187,clustered,32,8,geo_qpg_d,True,0.0,996.7516000033356,21,8552,409088,12784.0,8,LOCAL_MINIMUM,3388,363
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r1,1859419915,clustered,32,8,geo_qpg_u,True,0.0,23.762299999361858,83,1264,41928,1310.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r1,1859419915,clustered,32,8,geo_qpg_d,True,0.0,1628.2422000076622,25,10497,546984,17093.25,7,LOCAL_MINIMUM,3788,363
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r2,796945007,clustered,32,8,geo_qpg_u,True,0.0,24.95600000838749,91,1248,41256,1289.25,1,LOCAL_MINIMUM,0,0
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r2,796945007,clustered,32,8,geo_qpg_d,True,0.0,1190.8006000157911,21,9108,444912,13903.5,8,LOCAL_MINIMUM,3824,294
SP1_N4_DISTRIBUTED_FAMILY_v2,E6_SCALING,E6_SCALE:N32:K8:clustered:cv0.65:p0.8:r3,3504778206,clustered,32,8,geo_qpg_u,True,0.0,28.078400006052107,84,1396,46232,1444.75,1,LOCAL_MINIMUM,0,0
