K,N,abs_err,config_failed,config_id,experiment,lambda,n,r,regime,task_id,z_obs,z_star
3,23,2.379348718051233e-08,False,9,H1,0.05,4.0,1.0652361064811888,abundance,3,5.505426714316211,5.505426738109698
2,5,8.088485881074803e-08,False,10,H1,0.530813569488625,5.0,0.9367173892323624,scarcity,1,4.865852603116008,4.865852684000867
2,5,8.087836428360973e-08,False,10,H1,0.530813569488625,6.0,0.5308178345679394,scarcity,2,0.13414739688399174,0.13414731600562746
3,19,5.650421019964824e-08,False,11,H1,0.05,3.0,0.7813838920219965,abundance,1,4.3414576817748625,4.341457738279073
3,19,5.6785658841818076e-08,False,11,H1,0.05,4.0,0.7339394858653407,abundance,2,5.307923161876098,5.307923218661757
3,19,5.823078730315956e-08,False,11,H1,0.05,7.0,0.558302741689066,abundance,3,8.159527048194485,8.159527106425273
5,10,1.470116561819168e-08,False,12,H1,0.7180287568365915,4.0,1.3140203846660348,scarcity,1,3.9068584853738413,3.906858500075007
5,10,1.7485296766039937e-08,False,12,H1,0.7180287568365915,5.0,1.1643135403273877,scarcity,2,4.762223810866417,4.762223828351714
5,10,3.283811023102601e-08,False,12,H1,0.7180287568365915,2.0,0.9063868614400705,scarcity,3,1.3309176387351704,1.3309176715732807
5,10,6.50245714869015e-08,False,12,H1,0.7180287568365915,5.0,0.6669729199077039,scarcity,4,6.50245714869015e-08,0.0
5,10,3.151928889144668e-33,False,12,H1,0.7180287568365915,5.0,0.5227120731338605,scarcity,5,3.151928889144668e-33,0.0
5,38,2.7400930413534752e-08,False,13,H1,0.05,6.0,1.196320375077736,abundance,1,7.566144678689943,7.566144706090873
5,38,2.765358253498107e-08,False,13,H1,0.05,6.0,1.0010447751033635,abundance,2,7.472769041414684,7.472769069068266
5,38,2.7744587960398803e-08,False,13,H1,0.05,6.0,0.9461562755740307,abundance,3,7.4430458757761455,7.4430459035207335
5,38,2.7865507234992037e-08,False,13,H1,0.05,4.0,0.8810212260964825,abundance,4,5.405316138102897,5.405316165968404
5,38,2.8519016481709514e-08,False,13,H1,0.05,6.0,0.6523121027131684,abundance,5,7.244376345771304,7.24437637429032
2,5,2.905165441546842e-08,False,14,H1,0.7590820291399171,6.0,0.8618126105533904,scarcity,1,4.999999970948346,5.0
2,5,2.905165469482695e-08,False,14,H1,0.7590820291399171,5.0,0.587649919316101,scarcity,2,2.905165469482695e-08,0.0
3,30,1.2643901925457612e-08,False,15,H1,0.05,7.0,1.4691763773477238,abundance,1,8.672904493114167,8.672904480470265
3,30,1.53892614207507e-08,False,15,H1,0.05,4.0,1.1997071338107497,abundance,2,5.567619774011597,5.567619758622335
3,30,1.3399663600921485e-08,False,15,H1,0.05,7.0,0.7658699614595196,abundance,3,8.330737776881985,8.330737763482322
3,10,2.1677237782569136e-10,False,16,H1,0.7560489302747041,6.0,1.4026023965438417,scarcity,1,5.921774899400235,5.921774899617008
3,10,3.0829355956996096e-08,False,16,H1,0.7560489302747041,6.0,0.772241561845159,scarcity,2,4.078225069553642,4.078225100382998
3,10,3.10461239235249e-08,False,16,H1,0.7560489302747041,4.0,0.5963909621534993,scarcity,3,3.10461239235249e-08,0.0
4,26,3.462727082848005e-08,False,17,H1,0.05,3.0,1.3566142840923754,abundance,1,4.631585739962661,4.631585774589932
4,26,3.47577486792261e-08,False,17,H1,0.05,6.0,1.25851952983521,abundance,2,7.59256414273127,7.5925641774890185
4,26,3.4792081216039605e-08,False,17,H1,0.05,3.0,1.2194629559509367,abundance,3,4.576138417696744,4.576138452488825
4,26,3.614419785691325e-08,False,17,H1,0.05,6.0,0.6767727829392317,abundance,4,7.264280504790688,7.264280540934886
4,9,1.2839612928416955e-08,False,18,H1,0.5415600376922388,3.0,1.1498466015548199,scarcity,1,3.058096067082833,3.058096079922446
4,9,1.6869742935909926e-08,False,18,H1,0.5415600376922388,5.0,0.9158074021706096,scarcity,2,4.815231507083604,4.815231523953347
4,9,9.947914270114211e-08,False,18,H1,0.5415600376922388,2.0,0.5844443211398891,scarcity,3,0.7320256367120228,0.7320257361911655
4,9,1.2884211419983416e-07,False,18,H1,0.5415600376922388,5.0,0.5416141738618925,scarcity,4,0.3946467891215407,0.3946466602794265
2,11,2.0446810822249972e-07,False,19,H1,0.05,3.0,1.087644572177712,abundance,1,4.516342587354979,4.516342791823087
2,11,2.1295463259463077e-07,False,19,H1,0.05,5.0,0.6034029677225516,abundance,2,6.202031499354467,6.2020317123090996
