K,N,config_id,delta_fractional,delta_primary,experiment,lambda,n,non_worse_primary,r,strictly_better_primary,sum_n,waste_integer_fractional_avg,waste_integer_primary,waste_smooth,z_integer_final,z_smooth
3,10,11,0.719570898737562,0.7869774506684946,H2,0.6314703034389764,"[7.0, 2.0, 5.0]",True,"[1.4449481711449796, 1.345074320874553, 0.6316158158083057]",True,14.0,0.09265655193093254,0.02525,0.8122274506684946,"[7.671257137967374, 2.1857989990580764, 0.14294386297454983]","[7.126633902387743, 2.0611386479063496, 0.8122274506684946]"
5,10,12,1.0448604935492263,3.0800000000000054,H2,1.0477639454397871,"[5.0, 3.0, 2.0, 5.0, 3.0]",True,"[1.4279056847445244, 1.38405689419647, 1.1415717052224807, 1.0523264876672638, 0.6805524984489116]",True,18.0,8.955139506450779,6.92,10.000000000000005,"[4.8362239865953525, 2.994873999258829, 1.028282247919705, 1.1406197662261137, 4.746459084185e-312]","[4.4930652923676195, 2.4317845273974106, 0.7934169914379283, 2.2817331887970465, 0.0]"
2,7,13,1.3491856412668026,2.346000000005538,H2,0.5375771515577816,"[4.0, 7.0]",True,"[0.7394892126818449, 0.5380572866912391]",True,11.0,5.650814358738735,4.654,7.000000000005538,"[3.9983530937459566, 3.0016469062540434]","[3.510379987079827, 3.4896200129257107]"
3,7,14,1.9031967031072874,2.897500000000078,H2,0.7966033180837346,"[5.0, 4.0, 6.0]",True,"[1.2513249198549279, 0.8221633097802251, 0.5251968708017604]",True,15.0,5.096803296892791,4.1025,7.000000000000078,"[4.991321913684974, 2.008678086315026, 1.46879901352069e-121]","[4.719664265700203, 2.280335734299875, 0.0]"
4,11,15,1.5483473439694713,4.26150000000411,H2,1.0180956182176093,"[6.0, 2.0, 7.0, 2.0]",True,"[1.4671482353973677, 1.1577607300385144, 1.0237401079104802, 0.9282202463894813]",True,17.0,9.45165265603464,6.7385,11.00000000000411,"[5.93934265888435, 1.9132619043469319, 2.592165259659614, 0.5552301771091054]","[5.590725474068666, 1.0067791892115387, 4.402495336723907, 0.0]"
4,6,16,0.33366381015397817,2.249750000001946,H2,1.018600425865531,"[4.0, 2.0, 5.0, 3.0]",True,"[1.4091793139905502, 1.2652473832785227, 1.0190984864959902, 0.8554137770235121]",True,14.0,5.666336189847968,3.75025,6.000000000001946,"[3.9308875213280174, 1.6270471275338392, 0.38106633638927667, 0.060999014748867555]","[3.5207225672915996, 1.2908865797092433, 1.1883908530011036, 0.0]"
4,10,17,0.022000036821737012,1.4945000000000004,H2,0.9361586504214064,"[4.0, 7.0, 3.0, 2.0]",True,"[1.310526830317245, 1.252977503597754, 0.9189036509131852, 0.6367640515425815]",True,16.0,9.977999963178263,8.5055,10.0,"[3.98072163298175, 6.012468702343497, 0.006809664674752544, 2.1337628226885042e-244]","[3.541727395484662, 6.458272604515337, 0.0, 0.0]"
5,11,18,1.126510694111877,2.6250000000000018,H2,0.8408841223999675,"[2.0, 7.0, 5.0, 4.0, 6.0]",True,"[1.225849420551087, 1.0130035828222086, 0.8631269505503516, 0.7264234826971441, 0.6985211479926728]",True,24.0,9.873489305888125,8.375,11.000000000000002,"[2.087154556561578, 5.990162322280582, 2.4826852215292847, 0.27465307609619344, 0.16534482353236238]","[1.609349665283419, 6.206867454043235, 3.183782880673349, 0.0, 0.0]"
3,10,19,1.561400567901586,2.89525,H2,0.7650317575392407,"[4.0, 3.0, 7.0]",True,"[1.073332717611121, 0.8400680674208398, 0.7715246198087853]",True,14.0,8.438599432098414,7.10475,10.0,"[3.9131091528988247, 2.0585023365858834, 4.028388510515292]","[3.545579551441236, 1.8390273910244592, 4.615393057534305]"
2,4,20,8.881784197001252e-16,1.0000000000000009,H2,0.9699700656099544,"[4.0, 3.0]",True,"[1.021166129026224, 1.015522669106271]",True,7.0,4.0,3.0,4.000000000000001,"[2.999003703042224, 1.000996296957776]","[2.529198715931624, 1.470801284068377]"
5,16,21,3.990871243048783,6.2875000000001275,H2,0.9107295806380269,"[6.0, 6.0, 5.0, 5.0, 6.0]",True,"[1.4227595761684675, 1.3781878594182806, 0.929996861901163, 0.9116461499068884, 0.5687153521218615]",True,28.0,12.009128756951345,9.7125,16.000000000000128,"[5.788842372311496, 6.19804612534562, 2.2076670661930846, 1.8054444361497994, 9.779746973087104e-306]","[5.712068596543753, 5.666532043119587, 3.072081185357912, 1.549318174978874, 0.0]"
3,11,22,-1.5401013797600172e-12,1.3084999999984603,H2,1.1762161734675507,"[5.0, 7.0, 6.0]",True,"[1.306039147262109, 1.2170859042811228, 1.1764711999985935]",True,18.0,11.0,9.6915,10.99999999999846,"[4.024472796742666, 5.5773270890877615, 1.3982001141695737]","[3.8980569249309043, 5.320165889303382, 1.7817771857641738]"
3,8,23,0.28535198793936445,1.9122500000052014,H2,0.7028962151128935,"[7.0, 7.0, 3.0]",True,"[0.8982755596793706, 0.7029117522135162, 0.5507040552722705]",True,17.0,7.714648012065837,6.08775,8.000000000005201,"[6.877432326288384, 1.0300275349439443, 0.0925401387676727]","[6.3598668880325935, 1.6401331119726077, 0.0]"
3,9,24,0.346735383018439,2.069499999999998,H2,0.7563535072062524,"[3.0, 7.0, 6.0]",True,"[1.1037790253168653, 0.9791964948896248, 0.612405741492579]",True,16.0,8.65326461698156,6.9305,8.999999999999998,"[2.9663682031474394, 5.996598918884395, 0.03703287796816502]","[2.611020718323393, 6.388979281676606, 0.0]"
5,9,25,0.0450129238411936,2.0337500000000057,H2,0.9562965770389625,"[4.0, 5.0, 4.0, 3.0, 2.0]",True,"[1.135226183899713, 1.1281008548649067, 0.9658400350611249, 0.6838893965096912, 0.5618654181563741]",True,18.0,8.954987076158812,6.96625,9.000000000000005,"[3.9594906093357034, 4.7485115029351235, 0.29097867111591924, 0.0010192166132531176, 2.606074211530251e-258]","[3.161962189382161, 4.141643908652801, 1.696393901965044, 0.0, 0.0]"
5,19,26,6.350218858755991,8.13275,H2,0.7771471288552497,"[2.0, 6.0, 6.0, 6.0, 7.0]",True,"[1.4133548615310456, 1.3776913666495334, 1.3020365779972838, 1.0233041529751774, 0.613204952525223]",True,27.0,12.64978114124401,10.86725,19.0,"[2.2514785735608895, 6.001061868487767, 5.809945207253256, 4.937514350698087, 6.06971393023938e-234]","[1.8999477231229926, 5.871103309802637, 5.803778989943451, 5.42516997713092, 0.0]"
4,5,27,8.881784197001252e-16,1.229000000000001,H2,0.6374256704317264,"[3.0, 2.0, 3.0, 2.0]",True,"[0.7527686779524564, 0.7485697732089829, 0.6875033343559666, 0.5202155733561469]",True,10.0,5.0,3.771,5.000000000000001,"[1.9996613013765696, 1.0002010019263614, 2.0001376966970694, 2.2615985761582917e-85]","[2.1452363441379063, 1.1266949538670643, 1.7280687019950307, 0.0]"
2,2,28,3.6979308504214714e-12,1.001250000003698,H2,0.6638856262189106,"[2.0, 3.0]",True,"[1.1778737085673094, 0.666011153047217]",True,5.0,2.0,0.99875,2.000000000003698,"[1.9996626347555382, 0.0003373652444619955]","[1.872045097062157, 0.127954902941541]"
4,8,29,0.14517547637876582,2.9074999999999998,H2,1.0849061939270161,"[4.0, 3.0, 5.0, 7.0]",True,"[1.311587402746751, 1.1580260816117258, 1.1107507856135261, 1.0383963798772446]",True,19.0,7.854824523621234,5.0925,8.0,"[3.981915178740488, 1.9770669887227268, 1.8283670385239663, 0.2126507940128173]","[3.217147929487478, 1.651425793038648, 3.131426277473874, 0.0]"
5,8,30,0.13628414416245338,1.5019999999999971,H2,1.0259182521353671,"[5.0, 4.0, 2.0, 3.0, 6.0]",True,"[1.460070917026176, 1.3540090713418453, 0.8386600833802185, 0.8180031978622823, 0.5507096459660612]",True,20.0,7.863715855837544,6.498,7.999999999999997,"[4.839137177330408, 3.110892016965656, 0.02623457525740033, 0.023736230446536055, 2e-322]","[4.570026444196327, 3.42997355580367, 0.0, 0.0, 0.0]"
