n_robots,n_loads,replicate,regime,method,wall_ms,rounds,messages,bytes,bytes_per_robot,algorithm_status,raw_certificate,total_deficit,distance_cost
32,10,1,medium,weighted_pair_grape,11586.345100018661,769,40600,1710572,53455.375,CONVERGED,FEASIBLE,0.0,681.5593231567723
32,10,1,threshold,capacity_cbba,127.46630003675818,57,2799,390873,12214.78125,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,4.10905862371451,946.151763404471
32,10,1,threshold,weighted_grape,1040.0179999996908,865,29607,1246384,38949.5,CONVERGED,FEASIBLE,0.0,668.9510613069083
32,10,1,threshold,weighted_pair_grape,5903.4129999927245,673,22354,941758,29429.9375,CONVERGED,FEASIBLE,0.0,846.2899489778082
32,10,2,complete,capacity_cbba,409.9125000066124,37,4960,2098080,65565.0,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,2.3555263856955504,840.0498004800818
32,10,2,complete,weighted_grape,1773.3284999849275,897,123969,5223562,163236.3125,CONVERGED,FEASIBLE,0.0,1002.2391414220411
32,10,2,complete,weighted_pair_grape,35222.81649999786,801,111104,4683232,146351.0,CONVERGED,FEASIBLE,0.0,700.8378824454414
32,10,2,medium,capacity_cbba,237.6636999542825,42,2633,782831,24463.46875,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,2.3555263856955504,840.0498004800818
32,10,2,medium,weighted_grape,1524.3025999516249,897,51504,2169118,67784.9375,CONVERGED,FEASIBLE,0.0,1002.2391414220411
32,10,2,medium,weighted_pair_grape,11966.460600029677,737,42006,1770202,55318.8125,CONVERGED,FEASIBLE,0.0,706.045148428388
32,10,2,threshold,capacity_cbba,122.46540002524853,54,2936,475812,14869.125,QUIESCENT_OBSERVED,CAPACITY_DEFICIT,2.3555263856955504,840.0498004800818
32,10,2,threshold,weighted_grape,1017.0944000128657,897,39453,1660528,51891.5,CONVERGED,FEASIBLE,0.0,1002.2391414220411
32,10,2,threshold,weighted_pair_grape,7788.864000001922,769,31279,1317220,41163.125,CONVERGED,FEASIBLE,0.0,825.4098046432155
