n_robots,scenario,replicate,regime,critical_radius_m,multiplier,n_edges,mean_degree,min_degree,diameter,components,lambda_2,connected
24,clustered,1,partitioned,30.959989072918127,0.95,44,3.6666666666666665,1,-1,2,-5.862034629013501e-16,False
24,clustered,2,complete,30.0500527543666,,276,23.0,23,1,1,23.99999999999998,True
24,clustered,2,dense,30.0500527543666,2.0,163,13.583333333333334,6,3,1,4.858028004240891,True
24,clustered,2,medium,30.0500527543666,1.5,113,9.416666666666666,3,3,1,1.946236410714942,True
24,clustered,2,threshold,30.0500527543666,1.05,57,4.75,1,9,1,0.1429623266439569,True
24,clustered,2,partitioned,30.0500527543666,0.95,46,3.8333333333333335,1,-1,2,2.383063749503037e-15,False
24,separated,0,complete,22.49599856672101,,276,23.0,23,1,1,23.99999999999998,True
24,separated,0,dense,22.49599856672101,2.0,189,15.75,6,3,1,4.2144237371982864,True
24,separated,0,medium,22.49599856672101,1.5,143,11.916666666666666,3,4,1,1.811141614029325,True
24,separated,0,threshold,22.49599856672101,1.05,81,6.75,1,6,1,0.421834739793575,True
24,separated,0,partitioned,22.49599856672101,0.95,73,6.083333333333333,0,-1,2,1.997026238947418e-15,False
24,separated,1,complete,23.006263046467783,,276,23.0,23,1,1,23.99999999999998,True
24,separated,1,dense,23.006263046467783,2.0,214,17.833333333333332,9,3,1,7.122635068777492,True
24,separated,1,medium,23.006263046467783,1.5,163,13.583333333333334,4,3,1,2.7752717419876167,True
24,separated,1,threshold,23.006263046467783,1.05,82,6.833333333333333,1,6,1,0.3273639067881847,True
24,separated,1,partitioned,23.006263046467783,0.95,73,6.083333333333333,0,-1,3,0.0,False
24,separated,2,complete,13.778219492725459,,276,23.0,23,1,1,23.99999999999998,True
24,separated,2,dense,13.778219492725459,2.0,101,8.416666666666666,5,5,1,0.6111325388277034,True
24,separated,2,medium,13.778219492725459,1.5,75,6.25,3,6,1,0.1833875565785833,True
24,separated,2,threshold,13.778219492725459,1.05,42,3.5,1,12,1,0.04247643907092807,True
24,separated,2,partitioned,13.778219492725459,0.95,34,2.8333333333333335,0,-1,5,-2.0952190538649754e-15,False
24,ring,0,complete,27.374142467727427,,276,23.0,23,1,1,23.99999999999998,True
24,ring,0,dense,27.374142467727427,2.0,118,9.833333333333334,8,3,1,2.111520864014425,True
24,ring,0,medium,27.374142467727427,1.5,79,6.583333333333333,4,5,1,0.4253870112858256,True
24,ring,0,threshold,27.374142467727427,1.05,58,4.833333333333333,2,9,1,0.08005593344417225,True
24,ring,0,partitioned,27.374142467727427,0.95,51,4.25,1,-1,3,5.1926346813041316e-17,False
24,ring,1,complete,26.66558493232804,,276,23.0,23,1,1,23.99999999999998,True
24,ring,1,dense,26.66558493232804,2.0,113,9.416666666666666,6,3,1,1.684478107287939,True
24,ring,1,medium,26.66558493232804,1.5,76,6.333333333333333,4,5,1,0.30644477443202955,True
24,ring,1,threshold,26.66558493232804,1.05,56,4.666666666666667,2,12,1,0.06291785120821794,True
24,ring,1,partitioned,26.66558493232804,0.95,51,4.25,1,-1,2,9.751314339332637e-16,False
24,ring,2,complete,29.299404206027955,,276,23.0,23,1,1,23.99999999999998,True
24,ring,2,dense,29.299404206027955,2.0,126,10.5,8,3,1,2.9381515103303277,True
24,ring,2,medium,29.299404206027955,1.5,84,7.0,5,4,1,1.0379241616474675,True
24,ring,2,threshold,29.299404206027955,1.05,58,4.833333333333333,3,10,1,0.08377212000112172,True
24,ring,2,partitioned,29.299404206027955,0.95,51,4.25,2,-1,2,4.619431342933346e-15,False
24,corridor,0,complete,17.046104455959856,,276,23.0,23,1,1,23.99999999999998,True
24,corridor,0,dense,17.046104455959856,2.0,195,16.25,3,4,1,2.585888116438844,True
24,corridor,0,medium,17.046104455959856,1.5,161,13.416666666666666,3,4,1,1.4014646593708002,True
24,corridor,0,threshold,17.046104455959856,1.05,121,10.083333333333334,2,7,1,0.2029861755978255,True
24,corridor,0,partitioned,17.046104455959856,0.95,108,9.0,1,-1,2,1.9737785221141292e-15,False
24,corridor,1,complete,10.559861555750057,,276,23.0,23,1,1,23.99999999999998,True
24,corridor,1,dense,10.559861555750057,2.0,99,8.25,3,5,1,0.652186916681025,True
24,corridor,1,medium,10.559861555750057,1.5,78,6.5,2,7,1,0.2767053814233153,True
24,corridor,1,threshold,10.559861555750057,1.05,49,4.083333333333333,1,12,1,0.07174559638923494,True
24,corridor,1,partitioned,10.559861555750057,0.95,38,3.1666666666666665,1,-1,3,-1.3107115483372767e-15,False
24,corridor,2,complete,14.550015534449392,,276,23.0,23,1,1,23.99999999999998,True
24,corridor,2,dense,14.550015534449392,2.0,121,10.083333333333334,4,4,1,1.1321443121365637,True
24,corridor,2,medium,14.550015534449392,1.5,97,8.083333333333334,2,6,1,0.40083185722201314,True
24,corridor,2,threshold,14.550015534449392,1.05,71,5.916666666666667,2,8,1,0.12826651236908676,True
24,corridor,2,partitioned,14.550015534449392,0.95,63,5.25,2,-1,2,-8.704750325520376e-16,False
32,uniform,0,complete,22.813434045005096,,496,31.0,31,1,1,31.999999999999947,True
32,uniform,0,dense,22.813434045005096,2.0,175,10.9375,6,3,1,2.2495961106455957,True
32,uniform,0,medium,22.813434045005096,1.5,112,7.0,3,5,1,0.46174071653512316,True
32,uniform,0,threshold,22.813434045005096,1.05,63,3.9375,2,9,1,0.10979468763490642,True
32,uniform,0,partitioned,22.813434045005096,0.95,49,3.0625,1,-1,3,-8.230568342266059e-16,False
32,uniform,1,complete,24.767646730091357,,496,31.0,31,1,1,31.999999999999947,True
32,uniform,1,dense,24.767646730091357,2.0,227,14.1875,6,3,1,3.1570642081986784,True
32,uniform,1,medium,24.767646730091357,1.5,158,9.875,2,5,1,0.9524531959082986,True
32,uniform,1,threshold,24.767646730091357,1.05,85,5.3125,1,12,1,0.0729058833451161,True
