cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
,,,,,waypoint,smith,,,,0.0,174.3715452000033,4.196030472249212,10.038690093025645,0,180.05999999990874,-0.1394454378066722,-0.1570049970649751,954980,2,164.82799323822968,0,6,8,12832,True,180.07999999990872,2.8687787142354297,0.0
,,,,,waypoint,smith,,,,0.0,169.29780010000104,3.478808792292087,8.660706635317377,0,176.75999999991174,-0.3560922261704884,-0.1077775572298138,1058204,2,164.4865489404765,0,6,20,10950,True,176.77999999991172,2.425605394860623,0.0380101390927288
,,,,,game,smith,,,,0.0,267.0798782000202,3.704030004940321,12.001677715805236,0,239.41999999985475,-0.1281664807847302,-0.064299796096388,1398402,2,164.48216171767052,0,9,2,10555,True,239.43999999985476,1.78024860353681,0.0816149356851561
,,,,,game,smith,,,,0.0,177.07756880001398,3.4935158626846645,8.375840898523292,0,163.23999999992404,-0.152449814181919,0.0734811903745624,908584,2,155.53903812382,0,6,14,9819,True,163.25999999992402,1.5883524781678446,0.0089035227223508
,,,,,game,smith,,,,0.0,212.74117940000724,3.84873298538734,10.911127379279296,0,190.4799999998993,-0.0699599337469669,1.3875217982217496,1035285,2,164.22530809440505,0,6,26,11049,True,190.49999999989925,2.0976291067568207,0.1011098603645397
,,,,,waypoint,smith,,,,0.0,284.23381810000865,3.868332439810939,18.22711810551787,0,68.8200000000099,-0.1312471439845393,1.4440013619160093,1614725,1,162.6988266292967,0,18,9,43702,False,300.01999999979967,1.3275545277749956,0.1495473614035751
,,,,,waypoint,smith,,,,4.1000000000000005,180.89798589999555,4.678823244498045,13.50957040026914,0,184.6799999999045,-0.198988386176309,-0.1512270253147729,1274040,2,163.3560085253781,0,6,21,37004,True,184.6999999999045,3.467716415776681,0.0977266337379201
,,,,,game,smith,,,,0.0,325.7701824000105,4.040822414193218,15.96849638352311,0,120.5999999999628,-0.1920354257383266,0.5929159532741544,1474359,1,164.99191714740508,0,6,3,18662,False,300.01999999979967,2.4173260810209243,0.0108062302672902
,,,,,game,smith,,,,0.0,173.29990869999165,4.368940603707434,9.179756685246735,0,153.07999999993328,-0.110557876386841,-0.0381660164804507,954829,2,164.04594460792066,0,6,15,19992,True,153.09999999993326,2.209137750845,0.0413286243507151
,,,,,game,smith,,,,0.0,190.2823972000042,4.167658896555526,11.090092492386413,0,167.51999999992017,-0.0928886205988371,0.4031800675333148,906284,2,161.6785730938033,0,6,27,30442,True,167.53999999992013,2.7531554772030966,0.0
,,,,,waypoint,smith,,,,0.0,274.1497144999448,,22.8176228957034,0,300.01999999979967,-0.2003266375343553,11.051201636559195,809918,0,164.78577062159414,0,30,10,259757,False,300.01999999979967,,0.1822235408075576
,,,,,waypoint,smith,,,,0.0,77.133076899976,2.1326070231166927,4.979258773381805,0,78.2800000000013,-0.1418276344220346,-0.0393106867582533,411748,2,164.21251082494666,0,6,22,6122,True,78.30000000000128,1.3155097439022612,0.0456646480554512
,,,,,game,smith,,,,0.0,189.9970051999553,3.5286824415513705,8.480619989087442,0,142.29999999994308,-0.1410901587020249,0.3259248519099449,950931,2,164.39158327703177,0,6,4,15659,True,142.31999999994306,2.3291695277820565,0.0995541174730885
,,,,,game,smith,,,,0.0,376.78466170001775,2.4617768671665634,15.22185390097233,0,82.31999999999762,-0.2395623544636259,3.767744917278685,1304222,1,164.27208058168665,0,18,16,100157,False,300.01999999979967,1.2431891359063283,0.1481812939743131
,,,,,game,smith,,,,0.0,170.74776629998814,3.5931204098794733,8.932384977446269,0,149.03999999993695,-0.3047060394812919,0.8406914262493554,985586,2,162.57580510857449,0,6,28,13382,True,149.0599999999369,1.8820187363503704,0.1337344364519754
,,,,,waypoint,smith,,,,0.0,154.95055080001475,3.1596192236512275,10.72538257996983,0,174.89999999991343,-0.159857178840122,-0.1213328608986401,888044,2,162.62033852338874,0,6,11,19321,True,174.9199999999134,2.8147638344216706,0.0
,,,,,waypoint,smith,,,,0.0,245.5824936000281,,18.3541093896564,0,300.01999999979967,-0.1672081208908751,13.69915545194785,884274,0,164.09383038051985,0,30,23,110258,False,300.01999999979967,,0.340249251451197
,,,,,game,smith,,,,0.0,174.27360840002075,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.1551128955201068,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.0779466218028623
,,,,,game,smith,,,,0.0,226.56459020002512,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.1033010072258344,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.1999999998768,2.6472522164877894,0.0803321533235701
,,,,,game,smith,,,,0.0,188.7888868000009,3.877947551928238,10.254344842682563,0,166.37999999992118,-0.1820573362924117,0.5943244790028468,999609,2,162.6431845327441,0,6,29,25193,True,166.39999999992116,2.047933460904513,0.1201503399456673
,,,,,waypoint,smith,,,,0.0,280.0170816999744,3.031471800257725,15.116857835142923,0,144.27999999994128,-0.1031687201269395,3.2130322768175126,1050766,1,159.08794149024982,0,21,0,19057,False,300.01999999979967,1.3821362604522835,0.1871788625136377
,,,,,waypoint,smith,,,,0.0,98.38470860000234,3.0120107264942098,6.711522323891721,0,103.25999999997858,-0.3327295702439915,-0.1280959331240554,539980,2,162.84306823519117,0,6,12,12333,True,103.27999999997856,1.5562151693559854,0.130166566744318
,,,,,waypoint,smith,,,,0.0,111.2776021999889,3.1167422252527697,6.463169473174097,0,113.31999999996944,-0.0321789656242317,-0.1213380439468103,572060,2,164.5402290768433,0,6,24,11177,True,113.3399999999694,1.655402332977486,0.05232259061526
,,,,,game,smith,,,,0.0,222.19867199996952,3.7244972652622943,9.841079635487908,0,174.77999999991354,-0.223763779084728,-0.0575998283080716,1227476,2,164.73394516928846,0,6,6,16050,True,174.79999999991352,2.336435860159305,0.0952715538545181
,,,,,game,smith,,,,0.0,315.3776353999856,3.957926410025793,13.587844764693315,0,124.75999999995902,-0.1184156444603084,3.847861270308956,1065474,1,162.4082928264706,0,10,18,15445,False,300.01999999979967,2.1022864808976567,0.1424641285491874
,,,,,waypoint,smith,,,,0.0,111.73392369999785,3.114110100599925,7.428894462972869,0,119.57999999996372,-0.1192649820403245,-0.0838393446095331,691520,2,164.30284052668833,0,6,1,10572,True,119.59999999996371,1.6291744138664648,0.1137519549658483
