grid,cell,ref,endpoint,n,effect,ci_low,ci_high,disc_b,disc_c,p_raw,p_holm,family
protocolos,"('best_response',)","('smith',)",energy_Wh,30,0.08382713885839825,-1.1100040477829927,1.3398886377726376,,,,,
protocolos,"('best_response',)","('smith',)",msgs,30,82419.53333333334,-46686.78749999998,221688.78999999995,,,,,
protocolos,"('best_response',)","('smith',)",min_sep_amr,30,0.013809187206065802,-0.034179753085071575,0.06360422930298389,,,,,
protocolos,"('best_response',)","('smith',)",revisions,30,1.4666666666666666,-0.13333333333333333,3.3,,,,,
protocolos,"('best_response',)","('smith',)",wall_pen_max,30,0.004397454455094816,-0.020830604878393607,0.030145487438464187,,,,,
protocolos,"('bnn',)","('smith',)",success,30,0.0,-0.16666666666666666,0.16666666666666666,3.0,3.0,1.0,1.0,F1_protocolo
protocolos,"('bnn',)","('smith',)",makespan,30,3.98533333332971,-12.142166666655623,19.93169999998187,,,,,
protocolos,"('bnn',)","('smith',)",energy_Wh,30,-0.0023413597037198622,-1.2846283094409907,1.1775668943616024,,,,,
protocolos,"('bnn',)","('smith',)",msgs,30,44734.166666666664,-96943.52083333333,177181.13666666663,,,,,
protocolos,"('bnn',)","('smith',)",min_sep_amr,30,0.012631097498010824,-0.03696341576144271,0.061964092810094094,,,,,
protocolos,"('bnn',)","('smith',)",revisions,30,0.5666666666666667,-1.0,2.2333333333333334,,,,,
protocolos,"('bnn',)","('smith',)",wall_pen_max,30,-0.0004347390632202871,-0.025427689515812577,0.02265324139664932,,,,,
protocolos,"('logit',)","('smith',)",success,30,0.0,-0.16666666666666666,0.16666666666666666,3.0,3.0,1.0,1.0,F1_protocolo
protocolos,"('logit',)","('smith',)",makespan,30,1.849999999998315,-19.607733333315505,22.637816666646067,,,,,
protocolos,"('logit',)","('smith',)",energy_Wh,30,0.21946331926896648,-1.0251486924893627,1.4600755667938075,,,,,
protocolos,"('logit',)","('smith',)",msgs,30,51586.46666666667,-81205.36333333331,177928.31416666662,,,,,
protocolos,"('logit',)","('smith',)",min_sep_amr,30,0.004690875212197193,-0.041435575867571926,0.04989209154974553,,,,,
protocolos,"('logit',)","('smith',)",revisions,30,0.7666666666666667,-0.8333333333333334,2.3666666666666667,,,,,
protocolos,"('logit',)","('smith',)",wall_pen_max,30,0.0024196893522577955,-0.02133153818120288,0.024621454241680753,,,,,
protocolos,"('replicator',)","('smith',)",success,30,-0.8,-0.9333333333333333,-0.6333333333333333,0.0,24.0,1.1920928955078125e-07,4.76837158203125e-07,F1_protocolo
protocolos,"('replicator',)","('smith',)",makespan,30,123.21666666655463,108.69696666656785,137.80813333320802,,,,,
protocolos,"('replicator',)","('smith',)",energy_Wh,30,-1.8483527397345574,-2.8980286769969794,-0.8556278236775929,,,,,
protocolos,"('replicator',)","('smith',)",msgs,30,-223134.03333333333,-358788.6441666666,-88963.51250000007,,,,,
protocolos,"('replicator',)","('smith',)",min_sep_amr,30,1.3658120924131414,1.1206369705581878,1.6289706152477605,,,,,
protocolos,"('replicator',)","('smith',)",revisions,30,-7.433333333333334,-8.633333333333333,-6.5,,,,,
protocolos,"('replicator',)","('smith',)",wall_pen_max,30,-0.09234628178400145,-0.11803158616841608,-0.07078738151175708,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",success,20,0.2,-0.05,0.45,6.0,2.0,0.2890625,0.8671875,F3_mecanismo
reclutamiento,"('gne_pd',)","('atomic',)",makespan,20,20.38499999998146,-4.752024999995674,44.39527499995962,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",energy_Wh,20,-0.8452134444028587,-2.7187792322529365,0.9794649224452445,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",msgs,20,-16687.7,-227316.69249999998,199118.25374999997,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",min_sep_amr,20,0.011250889421073463,-0.04799209481487548,0.06545421013383498,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",revisions,20,-5.2,-7.2,-3.25,,,,,
reclutamiento,"('gne_pd',)","('atomic',)",wall_pen_max,20,-0.024538777342154722,-0.06402069689817746,0.01287306127596874,,,,,
seguridad,"('coalition',)","('nested',)",success,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F2_ablacion_seguridad
seguridad,"('coalition',)","('nested',)",makespan,20,0.0,0.0,0.0,,,,,
seguridad,"('coalition',)","('nested',)",energy_Wh,20,0.0,0.0,0.0,,,,,
seguridad,"('coalition',)","('nested',)",msgs,20,0.0,0.0,0.0,,,,,
seguridad,"('coalition',)","('nested',)",min_sep_amr,20,0.0,0.0,0.0,,,,,
seguridad,"('coalition',)","('nested',)",revisions,20,0.0,0.0,0.0,,,,,
seguridad,"('coalition',)","('nested',)",wall_pen_max,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",success,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F2_ablacion_seguridad
seguridad,"('none',)","('nested',)",makespan,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",energy_Wh,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",msgs,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",min_sep_amr,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",revisions,20,0.0,0.0,0.0,,,,,
seguridad,"('none',)","('nested',)",wall_pen_max,20,0.0,0.0,0.0,,,,,
hiperjuego,belief_err=0.35,belief_err=0.0,success,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F4_creencia
hiperjuego,recertify=True,recertify=False,success,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F4_creencia
hiperjuego2,belief_err=0.35,belief_err=0.0,success,20,0.0,-0.15,0.15,1.0,1.0,1.0,1.0,F4_creencia
hiperjuego2,recertify=True,recertify=False,success,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,F4_creencia
