scope,contrast_id,endpoint,independent_unit,estimand,test,interval,multiplicity,analysis_seed,n_independent,effect,ci95_low,ci95_high,p_holm,decision,artifact
A0--FULL,HC-TOR-A2-A3,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122398,100,0.63,0.54,0.72,4.119968255444917e-18,positive_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-TOR-A3-A4,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122399,100,0.01,0.0,0.03,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-TOR-A4-FULL,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122400,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-OBS-A0-A1,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122594,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-OBS-A1-A2,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122595,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-OBS-A2-A3,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122596,100,0.0,0.0,0.0,1.0,inconclusive_or_null,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-OBS-A3-A4,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122597,100,0.22,0.14,0.3,7.62939453125e-06,positive_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
A0--FULL,HC-OBS-A4-FULL,final_physical_success,paired_world,paired risk difference after-minus-before,exact two-sided McNemar,paired percentile bootstrap 95%,Holm across 20,122598,100,0.67,0.58,0.76,2.710505431213761e-19,positive_supported,results/physical_coalition/PHYSICAL_COALITION_CERTIFICATE_v1_1_FIXEDN/statistics/paired_contrasts_holm.csv
SP4,H4_1_replicator_safe_success_above_cbf,safe_docking_success,seed-by-fleet block,mean paired difference; sign consistency by block,exact one-sided sign test,instance-level interval descriptive only,Holm across 5,deterministic,18,0.0925925925925926,NA,NA,0.03515625,supported,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv
SP4,H4_2_replicator_collision_below_direct,any_collision,seed-by-fleet block,mean paired difference; sign consistency by block,exact one-sided sign test,instance-level interval descriptive only,Holm across 5,deterministic,18,-0.8333333333333335,NA,NA,1.9073486328125e-05,supported,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv
SP4,H4_3_exact_kkt_below_ring,final_kkt_residual,seed-by-fleet block,mean paired difference; sign consistency by block,exact one-sided sign test,instance-level interval descriptive only,Holm across 5,deterministic,18,-0.3351465497393384,NA,NA,0.0001449584960937,supported,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv
SP4,H4_4_replicator_safe_success_above_nash_pd,safe_docking_success,seed-by-fleet block,mean paired difference; sign consistency by block,exact one-sided sign test,instance-level interval descriptive only,Holm across 5,deterministic,18,0.2407407407407407,NA,NA,1.9073486328125e-05,supported,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv
SP4,H4_5_replicator_position_error_below_central,final_position_error_m,seed-by-fleet block,mean paired difference; sign consistency by block,exact one-sided sign test,instance-level interval descriptive only,Holm across 5,deterministic,18,-1.043554892574178,NA,NA,1.9073486328125e-05,supported,results/sp4/SP4_DOCKING_GAME_CONFIRMATORY_v3/statistics/block_sensitivity.csv
