_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
planificador,,,,,,game,smith,,,,0.0,353.2802576000104,3.7430335349227146,17.854256519280646,0,182.03999999990694,-0.0863949032146678,-0.019901143487409456,1690799,1,162.62033852338874,0,9,11,33807,False,300.01999999979967,3.634893591873095,0.15265958170409533
planificador,,,,,,game,smith,,,,0.0,248.53119070001412,3.7024463786621613,12.456806896186212,0,225.23999999986765,-0.16182883497858241,1.15117463213066,1064760,2,164.09383038051985,0,6,23,16009,True,225.25999999986763,2.495261547122632,0.07155695935395912
pasillo,,,,lease,,,smith,,,,0.0,174.6534123000456,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.07794662180286238
pasillo,,,,lease,,,smith,,,,0.0,223.10174999997253,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,2.6472522164877894,0.08033215332357013
pasillo,,,,price,,,smith,,,,0.0,199.42102149996208,3.6352159437088893,9.437406248909511,0,185.63999999990367,-0.061820037618951384,0.390211380980352,1060750,2,162.6988266292967,0,9,9,11730,True,185.65999999990365,1.8959125195213882,0.0
seguridad,,,,,,,smith,,,nested,0.0,274.10088659997564,3.8924473597805846,14.073305329073055,0,262.65999999983364,-0.07195064628054224,-0.05885759797171186,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.11366802741328136
seguridad,,,,,,,smith,,,nested,0.0,235.65885130001698,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.11151095245190301,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992222,0.09348166153947401
seguridad,,,,,,,smith,,,coalition,0.0,163.13920109998435,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.07794662180286238
seguridad,,,,,,,smith,,,coalition,0.0,205.29279859998496,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,2.6472522164877894,0.08033215332357013
seguridad,,,,,,,smith,,,none,0.36000000000000004,286.02776999998605,4.329697639053136,18.19094609499221,0,162.97999999992427,-0.07313036700272968,-0.10931391821557668,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,4.507725699823375,0.09832977731462822
reclutamiento,,,,,,,smith,,atomic,,0.0,244.85913240001537,3.8924473597805846,14.073305329073055,0,262.65999999983364,-0.07195064628054224,-0.05885759797171186,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.11366802741328136
reclutamiento,,,,,,,smith,,atomic,,0.0,212.3688691999996,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.11151095245190301,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992222,0.09348166153947401
reclutamiento,,,,,,,smith,,gne_pd,,0.0,273.70732299995143,4.639003998745581,15.295505617135335,0,128.45999999995567,-0.0852221845614067,0.41636458012500555,2048153,1,162.53916119675563,0,1,5,35338,False,300.01999999979967,1.8203646794820765,0.14961965150461415
reclutamiento,,,,,,,smith,,gne_pd,,0.0,165.01948590000393,3.3859351262998327,8.53478807194957,0,183.97999999990517,-0.15200655289208637,-0.0661541431102366,789963,2,164.95158979780044,0,6,17,8713,True,183.99999999990516,1.4013435209605358,0.013940820300199053
hiperjuego,,0.0,,,,,smith,True,,,0.36000000000000004,282.50095769995824,4.329697639053136,18.19094609499221,0,162.97999999992427,-0.07313036700272968,-0.10931391821557668,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,4.507725699823375,0.09832977731462822
