experiment_id,world_id,seed,replicate,n_robots,n_loads,total_demand,target_pressure,demand_pressure,regime,quota_mixture,geometry,min_quota,max_quota,method,stage,closed,completed_loads,completed_value,completed_value_ratio,deficit,normalized_deficit,excess,normalized_excess,partial_robots,partial_robot_fraction,idle_robots,social_cost,objective,objective_gap,iterations,evaluations,runtime_s,converged,residual
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,smith_raw,RAW,False,0,0.0,0.0,6,0.6,4,0.5,0,0.0,0,2.0052701954909544,-0.30079052932364314,6.091747724622298,250,72000,0.047844100001384504,False,1.252183931823351
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,smith_qr,CLOSED,True,4,5.653648605891412,0.9564875146128982,2,0.2,0,0.0,0,0.0,0,1.807705339202597,5.382492805011022,0.4084643902876328,4,63,0.00013920001219958067,True,
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,smith_linear_qr,CLOSED,True,4,5.653648605891412,0.9564875146128982,2,0.2,0,0.0,0,0.0,0,1.807705339202597,5.382492805011022,0.4084643902876328,4,63,0.00012799999967683107,True,
SP1_QUORUM_v1_SMOKE,01303b4f64192484404e,2026071604,0,8,5,10,1.25,1.25,scarcity,mixed,uniform,1,4,smith_raw_no_excess,RAW,False,0,0.0,0.0,6,0.6,4,0.5,0,0.0,0,2.0052701954909544,-0.30079052932364314,6.091747724622298,250,72000,0.04286209998826962,False,0.36102234797924865
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,milp_q,ORACLE,True,5,7.575131545169315,1.0,3,0.3,0,0.0,0,0.0,1,1.6874516126017112,7.3220138032790585,0.0,1,54,0.003452099990681745,True,
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,greedy_q,CLOSED,True,5,7.575131545169315,1.0,3,0.3,0,0.0,0,0.0,1,1.7691389749027022,7.30976069893391,0.012253104345148813,5,112,0.0003226999979233369,True,
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,smith_raw,RAW,False,0,0.0,0.0,7,0.7,5,0.625,0,0.0,0,3.4619603827414336,-0.519294057411215,7.841307860690273,250,98000,0.05871070000284817,False,1.3842829786523947
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,smith_qr,CLOSED,True,4,6.262546877734679,0.8267245050983075,2,0.2,0,0.0,0,0.0,0,2.515353072634547,5.885243916839497,1.4367698864395617,4,88,0.0001770000089891255,True,
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,smith_linear_qr,CLOSED,True,4,6.262546877734679,0.8267245050983075,2,0.2,0,0.0,0,0.0,0,2.4107431363614396,5.900935407280463,1.4210783959985953,4,88,0.00015740000526420772,True,
SP1_QUORUM_v1_SMOKE,79918889b1fa73a06b2b,2026071605,1,8,6,10,1.25,1.25,scarcity,mixed,uniform,1,3,smith_raw_no_excess,RAW,False,0,0.0,0.0,7,0.7,5,0.625,0,0.0,0,3.4619603827414336,-0.519294057411215,7.841307860690273,250,98000,0.05585180000343826,False,0.5195512284954691
