experiment,world_id,world_seed,replicate,N,K,M,slot_to_robot_ratio,matrix_elements,matrix_bytes,expected_matrix_bytes,matrix_ms,solver_ms,post_ms,total_ms,mission_feasible
scaling,d88175e2e1a8059d71c5,107096318,6,64,5,16,0.25,1024,8192,8192,0.0579,0.0147,0.038,1.1578,True
scaling,20288281b4b65c732b8c,1008165264,7,64,5,16,0.25,1024,8192,8192,0.0599,0.0154,0.0388,1.1059,True
scaling,908ff06981a7eb22f41f,266922805,8,64,5,16,0.25,1024,8192,8192,0.108,0.0263,0.0888,1.8465,True
scaling,e9a34338e4dd3be0b509,430806353,9,64,5,16,0.25,1024,8192,8192,0.0603,0.016,0.036,0.9639,True
scaling,c4da1901ee5987abf9ce,1798806238,10,64,5,16,0.25,1024,8192,8192,0.0546,0.0124,0.0365,0.9511,True
scaling,ce83bd35a11e51598e34,3235591858,11,64,5,16,0.25,1024,8192,8192,0.0562,0.0131,0.0361,0.9734,True
scaling,021e4774ead5d569df6e,4114652540,12,64,5,16,0.25,1024,8192,8192,0.0583,0.0162,0.0381,1.0068,True
scaling,5639b8dd218931fa69f4,2598334691,13,64,5,16,0.25,1024,8192,8192,0.0592,0.0136,0.0384,1.0252,True
scaling,1b9071f25c29e6aaa120,2269976491,14,64,5,16,0.25,1024,8192,8192,0.0624,0.0194,0.0406,1.0755,True
scaling,d908e31d8f326f95e4c2,3035800780,15,64,5,16,0.25,1024,8192,8192,0.0622,0.0148,0.0511,1.0755,True
scaling,acb50a70473fc5e9f86d,2689336537,16,64,5,16,0.25,1024,8192,8192,0.061,0.0139,0.0389,1.0586,True
scaling,0dbc78bb8999c36b414e,3713243617,17,64,5,16,0.25,1024,8192,8192,0.0645,0.0138,0.0415,1.0882,True
scaling,174929d05c60424333f5,1748965026,18,64,5,16,0.25,1024,8192,8192,0.059,0.0129,0.0382,1.0464,True
scaling,3d6a8d93cae9d9839954,3610816386,19,64,5,16,0.25,1024,8192,8192,0.0841,0.0215,0.0578,1.234,True
scaling,26fa3a02814feb815b7e,1676690335,20,64,5,16,0.25,1024,8192,8192,0.078,0.022,0.0511,1.4282,True
scaling,6e825995fb598d5c0232,1444280915,21,64,5,16,0.25,1024,8192,8192,0.0775,0.0172,0.0479,1.4044,True
scaling,75ddb973c65bd3f2365f,3898143841,22,64,5,16,0.25,1024,8192,8192,0.0909,0.0188,0.05,1.4686,True
scaling,fe0cc0405061fea5ce30,3632571522,23,64,5,16,0.25,1024,8192,8192,0.0871,0.0247,0.0588,1.5594,True
scaling,b53532be4cf6d8813da9,4156667893,24,64,5,16,0.25,1024,8192,8192,0.0562,0.0117,0.0451,1.0149,True
scaling,ebb8156799c4f8c47421,337906787,25,64,5,16,0.25,1024,8192,8192,0.0535,0.0132,0.0356,0.9847,True
scaling,db35920e2257a9e18c0b,1361045646,26,64,5,16,0.25,1024,8192,8192,0.0547,0.0155,0.037,1.0193,True
scaling,75d6b91b0cb8524a2eb4,1557049723,27,64,5,16,0.25,1024,8192,8192,0.0567,0.0131,0.0373,1.0804,True
scaling,80b72aee5b32a4f134cc,2439201457,28,64,5,16,0.25,1024,8192,8192,0.055,0.0125,0.0375,1.0118,True
scaling,b1c2e93a311173f9e53d,257848977,29,64,5,16,0.25,1024,8192,8192,0.1123,0.0137,0.0527,1.0983,True
scaling,b22cadb50ad17c804f37,2152182850,0,64,11,32,0.5,2048,16384,16384,0.0901,0.0296,0.0659,1.4805,True
scaling,2136dd3a5a79272ba185,3339286582,1,64,11,32,0.5,2048,16384,16384,0.0816,0.0258,0.0598,1.0727,True
scaling,5c5c6a6b9b0b5b0cddef,3277816969,2,64,11,32,0.5,2048,16384,16384,0.079,0.0317,0.068,1.0682,True
scaling,93888d23f446da65a42b,1039769262,3,64,11,32,0.5,2048,16384,16384,0.078,0.0344,0.0599,1.0721,True
scaling,f8dbf844c1637d46f0c9,3330772932,4,64,11,32,0.5,2048,16384,16384,0.0772,0.0297,0.0586,1.0694,True
scaling,2d0a5c559f9867e22ebb,3914522316,5,64,11,32,0.5,2048,16384,16384,0.0781,0.0418,0.0599,1.0977,True
scaling,64a8cfc7ca5e482cf5b8,1874032633,6,64,11,32,0.5,2048,16384,16384,0.0785,0.0293,0.0612,1.0859,True
scaling,e2aa581f3768cea934c3,2009827186,7,64,11,32,0.5,2048,16384,16384,0.079,0.0257,0.0601,1.0926,True
scaling,196f66c171bb14de109f,110415850,8,64,11,32,0.5,2048,16384,16384,0.0859,0.0315,0.0669,1.1612,True
scaling,a4fc54fff7f4cce51dac,2749459616,9,64,11,32,0.5,2048,16384,16384,0.085,0.0405,0.0651,1.1788,True
scaling,1ac1311ad209289a2083,3252163982,10,64,11,32,0.5,2048,16384,16384,0.0996,0.0333,0.062,1.2058,True
scaling,96c4438bf4484ce123ac,858720666,11,64,11,32,0.5,2048,16384,16384,0.094,0.0278,0.0602,1.0469,True
scaling,2e9903861054fdd3d315,664048500,12,64,11,32,0.5,2048,16384,16384,0.0864,0.0429,0.0608,1.1223,True
scaling,7df4fee07b619ed95b55,3528867601,13,64,11,32,0.5,2048,16384,16384,0.0731,0.0262,0.0586,0.9633,True
scaling,ba5e6098d0b2f678af78,3116296545,14,64,11,32,0.5,2048,16384,16384,0.0747,0.0276,0.0573,0.9895,True
scaling,950bdab201ffe3ac62fa,1322613635,15,64,11,32,0.5,2048,16384,16384,0.0814,0.0313,0.0622,1.0629,True
scaling,9c8d847bd686dd03bade,4115058243,16,64,11,32,0.5,2048,16384,16384,0.0819,0.0337,0.0618,1.1415,True
scaling,910998f1c08384757ab9,1410995051,17,64,11,32,0.5,2048,16384,16384,0.0866,0.0266,0.0653,1.2052,True
scaling,9dbefce58000c7677d7e,1570057464,18,64,11,32,0.5,2048,16384,16384,0.0814,0.0323,0.0611,1.6533,True
scaling,dd72897c676d77a3e0d8,1689168805,19,64,11,32,0.5,2048,16384,16384,0.0748,0.0252,0.0641,0.9964,True
scaling,370843fa2046587aa3e7,2985069061,20,64,11,32,0.5,2048,16384,16384,0.0713,0.0259,0.0539,0.9979,True
scaling,aa6fea546f23a36645c3,2799008071,21,64,11,32,0.5,2048,16384,16384,0.1674,0.0476,0.1177,2.2184,True
scaling,329c1c087df28c65d44b,448546912,22,64,11,32,0.5,2048,16384,16384,0.0732,0.029,0.0545,0.9691,True
scaling,3b18d4b00d0402295a9e,1325360004,23,64,11,32,0.5,2048,16384,16384,0.0744,0.0231,0.0571,0.9823,True
scaling,b40b54af4de72464b1b1,1102010607,24,64,11,32,0.5,2048,16384,16384,0.0739,0.022,0.0589,1.027,True
scaling,90948e1c662358930102,2506053855,25,64,11,32,0.5,2048,16384,16384,0.0756,0.0265,0.0601,1.0797,True
scaling,c4507e9fe843c1f32cb4,2784535442,26,64,11,32,0.5,2048,16384,16384,0.0804,0.037,0.0616,1.12,True
scaling,ea6ed898d0b9f225e9cc,1155800217,27,64,11,32,0.5,2048,16384,16384,0.0855,0.03,0.0663,1.2028,True
scaling,d7458d7153c80ecf6eea,2990843535,28,64,11,32,0.5,2048,16384,16384,0.0835,0.0284,0.064,1.1571,True
scaling,4439e1ef550952166e10,1015830208,29,64,11,32,0.5,2048,16384,16384,0.0907,0.0286,0.0631,1.1427,True
scaling,785613a81a6d2bd8dec9,839299043,0,64,21,64,1.0,4096,32768,32768,0.162,0.1025,0.1109,1.3975,True
scaling,473bae1ee2e1e7046ed3,807962025,1,64,21,64,1.0,4096,32768,32768,0.1156,0.0479,0.0999,1.3221,True
scaling,89974b0e4dbfac1b23b6,2287925051,2,64,21,64,1.0,4096,32768,32768,0.1231,0.1294,0.1044,1.5302,True
scaling,8f73f95b15206780f083,3984503052,3,64,21,64,1.0,4096,32768,32768,0.11,0.0754,0.0982,1.171,True
scaling,db9f5f16a118ba822af4,639805294,4,64,21,64,1.0,4096,32768,32768,0.1169,0.0565,0.1013,1.2131,True
scaling,729320bac0f0c9852816,1470904918,5,64,21,64,1.0,4096,32768,32768,0.1213,0.0936,0.1055,1.3255,True
scaling,87b32b1c7163682cbd60,289824870,6,64,21,64,1.0,4096,32768,32768,0.1289,0.0909,0.1103,1.3782,True
scaling,dc8b6f19786c3b3c1e8d,2092756065,7,64,21,64,1.0,4096,32768,32768,0.1273,0.0784,0.1117,1.3821,True
scaling,33634f0936df4cb27240,1580919228,8,64,21,64,1.0,4096,32768,32768,0.1288,0.1188,0.1236,1.4054,True
scaling,6d68b19e9b6f45749849,105005043,9,64,21,64,1.0,4096,32768,32768,0.13,0.0688,0.11,1.3593,True
scaling,507ce184ad7e8b9c251a,435297694,10,64,21,64,1.0,4096,32768,32768,0.1582,0.1584,0.1775,1.7187,True
scaling,4c3c9dc473b51f94a6cd,1899792544,11,64,21,64,1.0,4096,32768,32768,0.188,0.1415,0.1602,1.9669,True
scaling,03f6becd013c2bb6fefa,1595999249,12,64,21,64,1.0,4096,32768,32768,0.1801,0.1641,0.1676,2.0123,True
scaling,8d302e3473cbfa89b706,1810989301,13,64,21,64,1.0,4096,32768,32768,0.2015,0.1232,0.2373,2.0422,True
scaling,bbc54c9bdf4cdc371b6b,2483541501,14,64,21,64,1.0,4096,32768,32768,0.1899,0.1198,0.1617,2.0121,True
scaling,1138954334837c73af4c,1442564498,15,64,21,64,1.0,4096,32768,32768,0.184,0.1943,0.1851,2.0346,True
scaling,76d2f14754ff36565c3d,3907050773,16,64,21,64,1.0,4096,32768,32768,0.3057,0.193,0.2252,2.3331,True
scaling,3b2db6421c0030f7f8fb,1379356910,17,64,21,64,1.0,4096,32768,32768,0.1101,0.073,0.0922,1.4093,True
scaling,c5ead70f52965e5d3c07,448991408,18,64,21,64,1.0,4096,32768,32768,0.1037,0.0878,0.0927,1.1179,True
scaling,5cf0e3f365c1e6482f96,1287756117,19,64,21,64,1.0,4096,32768,32768,0.1198,0.1303,0.1051,1.2486,True
scaling,c56ed9e692d5de77c54a,3327931610,20,64,21,64,1.0,4096,32768,32768,0.1176,0.1457,0.1079,1.335,True
scaling,fdba6a8e512c47096c36,1446301510,21,64,21,64,1.0,4096,32768,32768,0.1064,0.1223,0.0967,1.1379,True
scaling,e8acd11b7460ad893a9c,577936573,22,64,21,64,1.0,4096,32768,32768,0.1128,0.0808,0.0967,1.1997,True
scaling,02927b15550c94cb1166,254464948,23,64,21,64,1.0,4096,32768,32768,0.116,0.1188,0.1031,1.2667,True
scaling,28ee0c257920e2430cb7,4148553600,24,64,21,64,1.0,4096,32768,32768,0.12,0.107,0.1039,1.3014,True
scaling,80970778a2b59d860395,3502697985,25,64,21,64,1.0,4096,32768,32768,0.132,0.1025,0.1131,1.4023,True
scaling,24723a9e43917f141917,2177129374,26,64,21,64,1.0,4096,32768,32768,0.1323,0.1051,0.1081,2.1185,True
scaling,49ecc519aae311047705,1796862339,27,64,21,64,1.0,4096,32768,32768,0.1398,0.086,0.1241,1.3227,True
scaling,e1526efa0324468cbe14,160581703,28,64,21,64,1.0,4096,32768,32768,0.2087,0.2,0.2068,1.9991,True
scaling,7ab67414cbe066303de9,2402281660,29,64,21,64,1.0,4096,32768,32768,0.2554,0.1827,0.2185,2.7985,True
scaling,988663be2ae289b8ccb4,965908379,0,128,11,32,0.25,4096,32768,32768,0.2474,0.0914,0.1239,4.0005,True
scaling,fd0f3cc999fd978bda45,3464191957,1,128,11,32,0.25,4096,32768,32768,0.2682,0.0859,0.1524,3.713,True
scaling,bba38433c2ff4369958f,2321587776,2,128,11,32,0.25,4096,32768,32768,0.1082,0.0342,0.0524,1.5655,True
scaling,c88f61d27957029dcdeb,3708725172,3,128,11,32,0.25,4096,32768,32768,0.1028,0.028,0.0504,1.6899,True
scaling,a58764f89b6fbb445b95,1232109462,4,128,11,32,0.25,4096,32768,32768,0.1007,0.0369,0.0516,1.5478,True
scaling,1c457661b6ebe08866e2,2150839259,5,128,11,32,0.25,4096,32768,32768,0.1076,0.0303,0.0562,1.6178,True
scaling,421baedc7d654d67aec8,2176796110,6,128,11,32,0.25,4096,32768,32768,0.1107,0.0414,0.056,1.6813,True
scaling,ecf8fb97422aa8a39f50,903603803,7,128,11,32,0.25,4096,32768,32768,0.1096,0.0276,0.0564,1.7077,True
scaling,ccccfa55d09db8e9cb5a,1237057264,8,128,11,32,0.25,4096,32768,32768,0.1266,0.0354,0.0626,1.984,True
scaling,c67aec1f80319aaf5ac7,3835796226,9,128,11,32,0.25,4096,32768,32768,0.1109,0.0357,0.0553,1.6996,True
scaling,f88e246353e41c69eeba,2909587275,10,128,11,32,0.25,4096,32768,32768,0.1227,0.034,0.059,1.8554,True
scaling,3bda0ef283d02f660dbe,4266847918,11,128,11,32,0.25,4096,32768,32768,0.1202,0.0332,0.0604,1.8548,True
scaling,9375d2abdfcd17996907,793200477,12,128,11,32,0.25,4096,32768,32768,0.1173,0.0356,0.0593,1.8265,True
scaling,046621e164764183a0f9,1323584931,13,128,11,32,0.25,4096,32768,32768,0.1194,0.0289,0.0598,1.8397,True
scaling,78f123cc03988009376f,638013198,14,128,11,32,0.25,4096,32768,32768,0.1171,0.0298,0.0599,1.8111,True
scaling,3ce6f08cc28a6c313cc1,3790095388,15,128,11,32,0.25,4096,32768,32768,0.1295,0.0333,0.0627,1.9461,True
scaling,a1466117c075c63be4cc,3898407529,16,128,11,32,0.25,4096,32768,32768,0.1155,0.0481,0.057,1.917,True
scaling,4b49e3ead064292fdf6e,2704099,17,128,11,32,0.25,4096,32768,32768,0.1155,0.0338,0.0563,1.7814,True
scaling,80e3e34dbc12b097a837,1959598105,18,128,11,32,0.25,4096,32768,32768,0.1183,0.0396,0.0584,1.6966,True
scaling,ac47a088a0a8a018c587,2759353128,19,128,11,32,0.25,4096,32768,32768,0.1275,0.0403,0.0632,1.8779,True
scaling,6ccd6e5f334f0e918cfd,3730044847,20,128,11,32,0.25,4096,32768,32768,0.1273,0.0344,0.0639,1.9095,True
scaling,33c4baefde8ed9becdec,4095800314,21,128,11,32,0.25,4096,32768,32768,0.252,0.0594,0.1128,2.2986,True
scaling,a8fc283c687676f86519,3846901049,22,128,11,32,0.25,4096,32768,32768,0.1408,0.0435,0.0626,1.9648,True
scaling,34d56c42bdc230bf4737,1240669139,23,128,11,32,0.25,4096,32768,32768,0.1183,0.0335,0.0582,1.7504,True
scaling,a75a3d88e063be28b742,279457617,24,128,11,32,0.25,4096,32768,32768,0.1512,0.0498,0.0779,2.1534,True
scaling,94f895b8f4e6ab12cde7,151613125,25,128,11,32,0.25,4096,32768,32768,0.1611,0.0468,0.0792,2.436,True
scaling,88fe9f1cbdcda4277aae,1737896053,26,128,11,32,0.25,4096,32768,32768,0.155,0.0415,0.0757,2.4137,True
scaling,f9e4babf89311ed27d23,2645640751,27,128,11,32,0.25,4096,32768,32768,0.1528,0.0403,0.0783,2.5776,True
scaling,47bd447f372bc62a15ba,278503090,28,128,11,32,0.25,4096,32768,32768,0.1288,0.0306,0.0609,1.8988,True
scaling,5877596cb79e816cf137,1465522828,29,128,11,32,0.25,4096,32768,32768,0.1135,0.0307,0.055,1.6256,True
scaling,28dbe70d108cf0c4bc5b,818549542,0,128,21,64,0.5,8192,65536,65536,0.1688,0.0754,0.0845,1.7663,True
