experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,0f855f015b3b66cfb98e,4145625416,6,uniform,Aleatorio,moderate,Moderada,0.35,0.4310924369932261,18,4,12,0.2,True,False,True,7.457149630617579,-7.457149630617579,1.858804856757176,True,True,0.0,True,37.9251,
heterogeneity,0f855f015b3b66cfb98e,4145625416,6,uniform,Aleatorio,high,Alta,0.65,0.5895738121376757,18,4,12,0.2,True,True,False,0.0,1.2672466677759076,4.871343591468369,True,True,0.0,False,2.3967,
heterogeneity,0f855f015b3b66cfb98e,4145625416,6,uniform,Aleatorio,extreme,Extrema,1.0,1.4359591850372728,18,4,12,0.2,True,True,False,0.0,0.35368174672241104,5.648183010477215,True,True,0.0,False,3.8489,
heterogeneity,2e1f918487f8832d0638,1352379831,7,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,1.786119360303009,2.651629857534234,True,True,0.0,False,1.5481,
heterogeneity,2e1f918487f8832d0638,1352379831,7,uniform,Aleatorio,low,Baja,0.15,0.13962998017568215,18,4,12,0.2,True,True,False,0.0,0.8011980994594268,2.6145704057464876,True,True,0.0,False,6.0659,
heterogeneity,2e1f918487f8832d0638,1352379831,7,uniform,Aleatorio,moderate,Moderada,0.35,0.37160464328533493,18,4,12,0.2,True,False,True,1.360286209410095,-1.360286209410095,1.7627596939641,True,True,0.0,True,13.3374,
heterogeneity,2e1f918487f8832d0638,1352379831,7,uniform,Aleatorio,high,Alta,0.65,0.6629860863463011,18,4,12,0.2,True,False,True,0.8236777487842994,-0.8236777487842994,3.1446618655422363,True,True,0.0,True,4.6509,
heterogeneity,2e1f918487f8832d0638,1352379831,7,uniform,Aleatorio,extreme,Extrema,1.0,0.954657748470154,18,4,12,0.2,True,False,True,5.30595805828277,-2.4464039177271033,-0.5487546863653909,True,True,0.0,True,8.147,
heterogeneity,0366e68020446b361e35,2309597083,8,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.2732251969060755,1.7931986486190046,True,True,0.0,False,1.7695,
heterogeneity,0366e68020446b361e35,2309597083,8,uniform,Aleatorio,low,Baja,0.15,0.18935939264561077,18,4,12,0.2,True,False,True,0.8593469962160398,-0.8593469962160398,2.3088846863589927,True,True,0.0,True,1.791,
