seed,policy,mean_wrench_residual,max_wrench_residual,max_torque_saturation,max_delta_hamiltonian,mean_formation_error,cbf_active_steps,min_battery,throughput,delivery_time
6134,wrench_capacity,0.04045149128475057,0.070711914865667,0.902749568236841,0.18507623483159064,2.54867162933166e-16,134,0.858478642234977,1.0,42.7
6135,cardinality_only,0.7874558423471143,1.0615083607804336,1.1893181231773256e-11,0.0,2.847356907205686e-17,0,0.963920000000014,0.0,nan
6135,wrench_capacity,0.2570027267332793,0.8508455972458993,0.15110799579448606,0.22472150762808507,2.1556214971842473e-16,121,0.876776858686221,1.0,44.2
6136,cardinality_only,0.7874558422391037,1.0615083607772875,2.572391815000041e-11,0.0,3.971529518984299e-17,0,0.963920000000014,0.0,nan
6136,wrench_capacity,0.24016436286929488,0.8281459083850059,0.15502495571133618,0.21084527102791673,1.8618596030114411e-16,123,0.7609700001115758,1.0,42.900000000000006
6137,cardinality_only,0.7874558422440608,1.061508360777248,2.1713162393400306e-11,0.0,4.1274366695229397e-17,0,0.963920000000014,0.0,nan
6137,wrench_capacity,0.21163046178032965,0.8046412931628535,0.18694589758059107,0.23810631932823723,2.1096699159728584e-16,131,0.8730399082199803,1.0,42.7
6138,cardinality_only,0.7874558423992835,1.0615083607772724,2.6574455202743256e-11,0.0,2.7673519220608574e-17,0,0.963920000000014,0.0,nan
6138,wrench_capacity,0.11016762144391759,0.5526996602481261,0.27434143677694356,0.2059817874336315,2.0251518291019117e-16,127,0.821367178605743,1.0,43.2
6139,cardinality_only,0.7874558422435375,1.0615083607772482,1.5779061857905358e-11,0.0,2.7694033319363658e-17,0,0.963920000000014,0.0,nan
6139,wrench_capacity,0.18450452825882643,0.749855454785828,0.2082309991853638,0.02098315070059742,1.9890470152929633e-16,117,0.7703612911594403,1.0,42.5
6140,cardinality_only,0.787455842345783,1.061508360777248,1.7398185278812433e-11,0.0,4.966463308605883e-17,0,0.963920000000014,0.0,nan
6140,wrench_capacity,0.045189830548736945,0.30846943037418323,0.5601468202875332,0.22949649148537454,2.0579743871100464e-16,131,0.8251695039333468,1.0,42.900000000000006
6141,cardinality_only,0.7874558423364102,1.0615083607785762,8.741446905716368e-12,0.0,3.51611652662143e-17,0,0.963920000000014,0.0,nan
6141,wrench_capacity,0.10166206617282424,0.5246332302450462,0.30653249985491166,0.2515395481115992,2.0276135209525218e-16,135,0.8499052569856907,1.0,41.900000000000006
6142,cardinality_only,0.7874558422415674,1.0615083607772493,1.644549314983603e-11,0.0,3.323283998323639e-17,0,0.963920000000014,0.0,nan
6142,wrench_capacity,0.2477186804171212,0.7914673499076628,0.12308931621262384,0.006239138265742752,2.497796664419051e-16,108,0.7718716861453397,1.0,41.900000000000006
6143,cardinality_only,0.7874558422391231,1.0615083607804172,1.8930754480833083e-11,0.0,4.279241000310562e-17,0,0.963920000000014,0.0,nan
6143,wrench_capacity,0.13630105857416938,0.6222836837678478,0.22724595929763344,0.13488955758755938,1.9611478409860488e-16,122,0.8297187247213802,1.0,42.400000000000006
6144,cardinality_only,0.7874558422439363,1.061508360777248,1.5779061857911426e-11,0.0,2.0267929570023183e-17,0,0.963920000000014,0.0,nan
6144,wrench_capacity,0.12677346205646306,0.5601111831956179,0.26030040965455664,0.2281740855736908,2.217984357399703e-16,139,0.7924789128775408,1.0,42.0
6145,cardinality_only,0.7874558424100973,1.0615083608571496,1.4581373812761324e-11,0.0,4.521307365620556e-17,0,0.963920000000014,0.0,nan
6145,wrench_capacity,0.14828208240125842,0.6635570562964224,0.2117647059013957,0.18566978762494668,2.316452031424107e-16,143,0.8174363522979491,1.0,40.300000000000004
6146,cardinality_only,0.7874558422430686,1.061508360777248,1.5779061858369154e-11,0.0,3.1960965860421176e-17,0,0.963920000000014,0.0,nan
6146,wrench_capacity,0.1655887271648158,0.7127039181420531,0.21176470588235255,0.1591089405603564,2.6249840767005737e-16,119,0.7996303955270226,1.0,43.1
6147,cardinality_only,0.7874558422444145,1.061508360777248,1.5779061857839823e-11,0.0,5.4629044984789195e-17,0,0.963920000000014,0.0,nan
6147,wrench_capacity,0.18105451897040747,0.6092434194559196,0.3066291845417227,0.1752653375089569,2.090796945118181e-16,142,0.8417077726917764,1.0,41.1
6148,cardinality_only,0.7874558423467732,1.061508360777248,1.1839013777453902e-11,0.0,4.742859632175466e-17,0,0.963920000000014,0.0,nan
6148,wrench_capacity,0.20499242148084232,0.7981409790863073,0.19548618298574258,0.2024671216943924,2.3131697756232936e-16,133,0.8725118629691907,1.0,42.7
6149,cardinality_only,0.7874558423457094,1.0615083607782043,1.6089526715003636e-11,0.0,3.3396952773277063e-17,0,0.963920000000014,0.0,nan
6149,wrench_capacity,0.0771181276570481,0.17171129050238143,0.7167596172519836,0.25792417208209173,1.952942201484015e-16,132,0.8515136550932009,1.0,43.1
6150,cardinality_only,0.7874558422424927,1.0615083607785936,1.6189707010824143e-11,0.0,2.5888792628916252e-17,0,0.963920000000014,0.0,nan
6150,wrench_capacity,0.1645815758253846,0.5443240258752435,0.30923086868315675,0.1997629526333119,2.0514098755084197e-16,133,0.8411430027674835,1.0,42.0
6151,cardinality_only,0.787455842239213,1.0615083607772886,1.413553295024524e-11,0.0,3.29661566994203e-17,0,0.963920000000014,0.0,nan
6151,wrench_capacity,0.14585497360985913,0.6549872938307626,0.21176470920611712,0.2051621726928412,2.1966496946944159e-16,119,0.8241322129260582,1.0,43.0
6152,cardinality_only,0.7874558422409168,1.0615083607772513,1.5779061857488155e-11,0.0,2.451434801232561e-17,0,0.963920000000014,0.0,nan
6152,wrench_capacity,0.0036580072704484635,0.058716130196464704,0.8485704037596239,0.24955147610820982,2.513387379472915e-16,136,0.8426465780588509,1.0,42.400000000000006
6153,cardinality_only,0.7874558423461724,1.061508360777779,1.3207259461352752e-11,0.0,1.825754789202493e-17,0,0.963920000000014,0.0,nan
6153,wrench_capacity,0.07382456636834077,0.42688020287142703,0.4182875860426785,0.2510707877596432,2.030895776753335e-16,131,0.822322490746276,1.0,42.900000000000006
6154,cardinality_only,0.7874558422438542,1.061508360777842,1.4464233882396298e-11,0.0,2.917104842972972e-17,0,0.963920000000014,0.0,nan
6154,wrench_capacity,0.14063700034512916,0.6488053128873491,0.21176470589193638,0.24188991791883407,2.1129521717736718e-16,142,0.8154346776547289,1.0,41.6
6155,cardinality_only,0.78745584234942,1.0615083607774787,1.5779061857660163e-11,0.0,2.9745443194872076e-17,0,0.963920000000014,0.0,nan
6155,wrench_capacity,0.2581893289170453,0.8519844113800058,0.15009730319633663,0.21656257045375815,2.2508069154078377e-16,120,0.8769143599034841,1.0,44.2
