check_id,check_family,method_family,method_variant,fitness_id,rounding_id,world_seed,method_seed,N,K,expected_value,observed_value,absolute_error,relative_error,tolerance,passed,runtime_wall_s,config_hash,git_hash,timestamp_utc
U5_REP_support_invariant,mass_conservation,population,REP,LIN,RAW,8005,,2,2,0.0,0.0,0.0,0.0,1e-12,True,0.00020309991668909788,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U5_LOG_reactivates_zero_support,mass_conservation,audit,LOG,,,8005,,2,2,True,True,0.0,0.0,0.0,True,2.500019036233425e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U5_SMI_protocol_recorded,mass_conservation,audit,SMI,,,8005,,2,2,True,True,0.0,0.0,0.0,True,1.100008375942707e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U5_BNN_protocol_recorded,mass_conservation,audit,BNN,,,8005,,2,2,True,True,0.0,0.0,0.0,True,1.200009137392044e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U7_ARG_conflict_possible,matching_validity,audit,ARG,,,8007,,3,3,True,True,0.0,0.0,0.0,True,2.600019797682762e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U7_REPAIR_resolves_conflict,matching_validity,audit,REPAIR,,,8007,,3,3,True,True,0.0,0.0,0.0,True,1.500011421740055e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U7_QR_resolves_conflict,matching_validity,audit,QR1,,,8007,,3,3,True,True,0.0,0.0,0.0,True,1.200009137392044e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U8_lexicographic_coverage_dominates,metric_correctness,audit,objective,,,8008,,2,2,True,True,0.0,0.0,0.0,True,2.200016751885414e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U6_lambda2_zero,cache_consistency,audit,graph,,,8106,,8,8,0.0,0.0,0.0,0.0,1e-09,True,3.3999094739556313e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U6_components_gt_one,cache_consistency,audit,graph,,,8106,,8,8,True,True,0.0,0.0,0.0,True,1.700012944638729e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U9_timeout_preserved,timeout_preservation,audit,SMI,,,8109,,8,8,True,"{""closure_success"": true, ""continuous_converged"": false, ""continuous_timeout"": true, ""final_success"": true}",,,0.0,True,1.0499963536858559e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_REP_simplex,simplex,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.0003918999573215842,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_REP_nonnegative,non_negativity,population,REP,LIN,QR1,8200,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.00029449991416186094,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_REP_mass,mass_conservation,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.0002840000670403242,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_REP_potential_contract,potential_monotonicity,audit,REP,,,8200,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,9.899958968162537e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_SMI_simplex,simplex,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00036509998608380556,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_SMI_nonnegative,non_negativity,population,SMI,LIN,QR1,8201,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.0002674000570550561,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_SMI_mass,mass_conservation,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00026569992769509554,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_SMI_potential_contract,potential_monotonicity,audit,SMI,,,8201,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,1.1100084520876408e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_BNN_simplex,simplex,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.00036099995486438274,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_BNN_nonnegative,non_negativity,population,BNN,LIN,QR1,8202,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.0002669999375939369,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_BNN_mass,mass_conservation,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.00024510000366717577,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_BNN_potential_contract,potential_monotonicity,audit,BNN,,,8202,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,1.009996049106121e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_LOG_simplex,simplex,population,LOG,LIN,QR1,8203,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00047480000648647547,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_LOG_nonnegative,non_negativity,population,LOG,LIN,QR1,8203,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.0002842000685632229,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_LOG_mass,mass_conservation,population,LOG,LIN,QR1,8203,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.0003367000026628375,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_LOG_potential_contract,potential_monotonicity,audit,LOG,,,8203,,6,6,True,"{""applicable"": false, ""violations"": 0}",,,0.0,True,9.900075383484364e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_PROJ_simplex,simplex,population,PROJ,LIN,QR1,8204,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00041799992322921753,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_PROJ_nonnegative,non_negativity,population,PROJ,LIN,QR1,8204,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.00037130003329366446,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_PROJ_mass,mass_conservation,population,PROJ,LIN,QR1,8204,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00027520000003278255,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_PROJ_potential_contract,potential_monotonicity,audit,PROJ,,,8204,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,7.200054824352264e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_IBR_simplex,simplex,population,IBR,LIN,QR1,8205,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.0003272999310865998,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_IBR_nonnegative,non_negativity,population,IBR,LIN,QR1,8205,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.0002762000076472759,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_IBR_mass,mass_conservation,population,IBR,LIN,QR1,8205,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00023750006221234798,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_IBR_potential_contract,potential_monotonicity,audit,IBR,,,8205,,6,6,True,"{""applicable"": false, ""violations"": 15}",,,0.0,True,8.599949069321156e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_GPC_simplex,simplex,population,GPC,LIN,QR1,8206,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.0003008999628946185,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_GPC_nonnegative,non_negativity,population,GPC,LIN,QR1,8206,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.00021820003166794777,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_GPC_mass,mass_conservation,population,GPC,LIN,QR1,8206,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00032049999572336674,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_GPC_potential_contract,potential_monotonicity,audit,GPC,,,8206,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,9.199953638017178e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_HYB_simplex,simplex,population,HYB,LIN,QR1,8207,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00038300000596791506,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_HYB_nonnegative,non_negativity,population,HYB,LIN,QR1,8207,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.00029280001763254404,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_HYB_mass,mass_conservation,population,HYB,LIN,QR1,8207,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.00027760001830756664,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G3_HYB_potential_contract,potential_monotonicity,audit,HYB,,,8207,,6,6,True,"{""applicable"": false, ""violations"": 0}",,,0.0,True,8.999952115118504e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_GRD_no_oracle_access,oracle_leakage,audit,GRD,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,8.00006091594696e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_DA_no_oracle_access,oracle_leakage,audit,DA,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,4.799920134246349e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_REP_no_oracle_access,oracle_leakage,audit,REP,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,8.900067768990993e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_SMI_no_oracle_access,oracle_leakage,audit,SMI,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,6.199930794537067e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_BNN_no_oracle_access,oracle_leakage,audit,BNN,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,5.800044164061546e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_LOG_no_oracle_access,oracle_leakage,audit,LOG,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,5.600042641162872e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_PROJ_no_oracle_access,oracle_leakage,audit,PROJ,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,5.700043402612209e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_IBR_no_oracle_access,oracle_leakage,audit,IBR,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,6.600050255656242e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_GPC_no_oracle_access,oracle_leakage,audit,GPC,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,4.500034265220165e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_HYB_no_oracle_access,oracle_leakage,audit,HYB,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,5.300040356814861e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_IPPO-GNN_no_oracle_access,oracle_leakage,audit,IPPO-GNN,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,7.800059393048286e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G4_MAPPO-GNN_no_oracle_access,oracle_leakage,audit,MAPPO-GNN,,,8300,,6,6,True,"{""error"": """", ""fields"": [], ""hungarian_calls"": 0, ""same_output"": true}",,,0.0,True,7.400056347250938e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_0_j,oracle_correctness,audit,HUN,,,8400,,2,3,0.3422528831623825,0.3422528831623825,0.0,0.0,1e-09,True,3.8000289350748062e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_0_coverage,oracle_correctness,audit,HUN,,,8400,,2,3,2,2,0.0,0.0,0.0,True,8.00006091594696e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_0_nr,oracle_correctness,audit,HUN,,,8400,,2,3,0.0,0.0,0.0,0.0,1e-09,True,1.8998980522155762e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_1_j,oracle_correctness,audit,HUN,,,8401,,3,3,0.4657902324341179,0.4657902324341179,0.0,0.0,1e-09,True,3.5999109968543053e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_1_coverage,oracle_correctness,audit,HUN,,,8401,,3,3,3,3,0.0,0.0,0.0,True,2.00001522898674e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_1_nr,oracle_correctness,audit,HUN,,,8401,,3,3,0.0,0.0,0.0,0.0,1e-09,True,1.4998950064182281e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_2_j,oracle_correctness,audit,HUN,,,8402,,4,2,0.39164141153671417,0.39164141153671417,0.0,0.0,1e-09,True,3.600027412176132e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_2_coverage,oracle_correctness,audit,HUN,,,8402,,4,2,2,2,0.0,0.0,0.0,True,1.8998980522155762e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_2_nr,oracle_correctness,audit,HUN,,,8402,,4,2,0.0,0.0,0.0,0.0,1e-09,True,1.600012183189392e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_3_j,oracle_correctness,audit,HUN,,,8403,,5,5,1.2169094217079153,1.2169094217079153,0.0,0.0,1e-09,True,4.500034265220165e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_3_coverage,oracle_correctness,audit,HUN,,,8403,,5,5,5,5,0.0,0.0,0.0,True,2.00001522898674e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_3_nr,oracle_correctness,audit,HUN,,,8403,,5,5,0.0,0.0,0.0,0.0,1e-09,True,6.200047209858894e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_4_j,oracle_correctness,audit,HUN,,,8404,,6,4,0.28620106304578113,0.28620106304578113,0.0,0.0,1e-09,True,4.600035026669502e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_4_coverage,oracle_correctness,audit,HUN,,,8404,,6,4,4,4,0.0,0.0,0.0,True,2.399901859462261e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G6_case_4_nr,oracle_correctness,audit,HUN,,,8404,,6,4,0.0,0.0,0.0,0.0,1e-09,True,1.600012183189392e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G5_HUN_runtime_not_lookup_N8,runtime_correctness,audit,HUN,,,8508,,8,8,True,"{""lookup_s"": 2.2500171326100826e-07, ""solve_s"": 8.187489584088326e-06}",,,0.0,True,8.599949069321156e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G5_HUN_runtime_not_lookup_N16,runtime_correctness,audit,HUN,,,8516,,16,16,True,"{""lookup_s"": 2.875021891668439e-07, ""solve_s"": 1.1575015378184617e-05}",,,0.0,True,7.5999414548277855e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
G5_HUN_runtime_not_lookup_N32,runtime_correctness,audit,HUN,,,8532,,32,32,True,"{""lookup_s"": 2.00001522898674e-07, ""solve_s"": 1.776251883711666e-05}",,,0.0,True,5.799927748739719e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_000,b0_budget_execution,audit,REP,,,7000,,4,3,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,9.09995287656784e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_001,b0_budget_execution,audit,SMI,,,7001,,8,6,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.899928510189056e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_002,b0_budget_execution,audit,BNN,,,7002,,12,9,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,9.300070814788342e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_003,b0_budget_execution,audit,LOG,,,7003,,4,4,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.00004568696022e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_004,b0_budget_execution,audit,PROJ,,,7004,,8,8,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,7.00005330145359e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_005,b0_budget_execution,audit,IBR,,,7005,,12,12,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,7.6000578701496124e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_006,b0_budget_execution,audit,GPC,,,7006,,4,6,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.600042641162872e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_007,b0_budget_execution,audit,HYB,,,7007,,8,12,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,7.0999376475811005e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_008,b0_budget_execution,audit,REP,,,7008,,12,18,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.09993003308773e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_009,b0_budget_execution,audit,SMI,,,7009,,4,3,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.00004568696022e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_010,b0_budget_execution,audit,BNN,,,7010,,8,6,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.100046448409557e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_011,b0_budget_execution,audit,LOG,,,7011,,12,9,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,8.300063200294971e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_012,b0_budget_execution,audit,PROJ,,,7012,,4,4,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.600050255656242e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_013,b0_budget_execution,audit,IBR,,,7013,,8,8,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.799927748739719e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_014,b0_budget_execution,audit,GPC,,,7014,,12,12,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.300040356814861e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_015,b0_budget_execution,audit,HYB,,,7015,,4,6,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.500049494206905e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_016,b0_budget_execution,audit,REP,,,7016,,8,12,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.999929271638393e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_017,b0_budget_execution,audit,SMI,,,7017,,12,18,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.900044925510883e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_018,b0_budget_execution,audit,BNN,,,7018,,4,3,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,7.800059393048286e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_019,b0_budget_execution,audit,LOG,,,7019,,8,6,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.399924702942371e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_020,b0_budget_execution,audit,PROJ,,,7020,,12,9,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,5.09992241859436e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
B0_budget_021,b0_budget_execution,audit,IBR,,,7021,,4,4,True,"{""finite_ok"": true, ""matching_ok"": true, ""nonnegative_ok"": true, ""oracle_ok"": true, ""simplex_ok"": true}",,,0.0,True,6.7999353632330894e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
