M,quota_mode,spatial_mode,replicates,milp_feasibility_rate,hungarian_feasibility_rate,feasibility_disagreements,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,milp_minus_hungarian_assigned_robots_median,milp_minus_hungarian_assigned_robots_p05,milp_minus_hungarian_assigned_robots_p95
20,moderate,clustered,2,1.0,1.0,0,529.542819276859,474.0208767981164,585.0647617556015,529.542819276859,474.0208767981164,585.0647617556015,5241800.0,5067560.0,5416040.0,32650.0,31345.0,33955.0,1.0,1.0,1.0,161.12629709000674,149.34957985562824,172.90301432438528,0.0,0.0,0.0
20,moderate,corridor,2,1.0,1.0,0,137.81035007339798,126.15634814619115,149.4643520006048,137.81035007339798,126.15634814619115,149.4643520006048,3741450.0,2920155.0,4562745.0,15600.0,14520.0,16680.0,1.0,1.0,1.0,236.73759920634922,200.48000992063493,272.9951884920635,0.0,0.0,0.0
20,moderate,ring,2,1.0,1.0,0,604.2029077256351,590.387325025573,618.0184904256972,604.2029077256351,590.387325025573,618.0184904256972,3977500.0,3957340.0,3997660.0,20550.0,16725.0,24375.0,1.0,1.0,1.0,202.4362383732436,163.77547867603403,241.0969980704532,0.0,0.0,0.0
20,moderate,separated,2,1.0,1.0,0,1223.677104770862,1222.0071410828439,1225.34706845888,1223.677104770862,1222.0071410828439,1225.34706845888,2602400.0,2569010.0,2635790.0,20800.0,20080.0,21520.0,1.0,1.0,1.0,125.23203703703703,122.50237037037037,127.96170370370369,0.0,0.0,0.0
20,moderate,uniform,2,1.0,1.0,0,330.309066765425,318.6356157118977,341.9825178189522,330.309066765425,318.6356157118977,341.9825178189522,4748000.0,4673570.0,4822430.0,22900.0,20920.0,24880.0,1.0,1.0,1.0,208.9174894624401,194.10409954385358,223.73087938102663,0.0,0.0,0.0
20,symmetric,clustered,2,1.0,1.0,0,441.6258402125358,433.098100190637,450.1535802344346,441.6258402125358,433.098100190637,450.1535802344346,3334850.0,2724155.0,3945545.0,24550.0,19735.0,29365.0,1.0,1.0,1.0,148.93535744147158,94.84905413879599,203.02166074414714,0.0,0.0,0.0
20,symmetric,corridor,2,1.0,1.0,0,195.24135754364207,179.46664148081845,211.01607360646568,195.24135754364207,179.46664148081845,211.01607360646568,3848850.0,3748455.0,3949245.0,18050.0,17555.0,18545.0,1.0,1.0,1.0,213.61933947772658,202.1990307219662,225.03964823348696,0.0,0.0,0.0
20,symmetric,ring,2,1.0,1.0,0,551.5064560532771,541.3028879575845,561.7100241489696,551.5064560532771,541.3028879575845,561.7100241489696,3769200.0,3679110.0,3859290.0,22400.0,19880.0,24920.0,1.0,1.0,1.0,170.37131519274377,155.22641723356008,185.51621315192745,0.0,0.0,0.0
20,symmetric,separated,2,1.0,1.0,0,1232.66194550902,1154.7795322956254,1310.5443587224145,1232.66194550902,1154.7795322956254,1310.5443587224145,3845900.0,3776330.0,3915470.0,27050.0,20345.0,33755.0,1.0,1.0,1.0,152.99572611653358,117.64392043774032,188.34753179532683,0.0,0.0,0.0
20,symmetric,uniform,2,1.0,1.0,0,289.08569065064523,279.4397795485327,298.7316017527577,289.08569065064523,279.4397795485327,298.7316017527577,4091100.0,4050060.0,4132140.0,19700.0,16910.0,22490.0,1.0,1.0,1.0,212.56951490171213,184.5477409638554,240.59128883956882,0.0,0.0,0.0
