seed,network,architecture,rmse_position_m,rmse_yaw_rad,measurement_std_xy_m,measurement_std_yaw_rad,mean_age_s,attempted_messages,queued_messages,delivered_messages,bytes,generated_bytes,queued_bytes,delivered_bytes,dropped_bytes,delivery_ratio,mean_latency_s
63302,limited,virtual_structure,0.15203163786748447,0.034040284660215386,0.02,0.01,3.056493506493507,640,584,584,192884,192884,175986,175986,16898,0.9125,10.883059504622416
63303,ideal,leader_follower,0.05177864663382703,0.011547728224565488,0.02,0.01,0.1,240,240,240,50493,50493,50493,50493,0,1.0,0.01051937500000003
63303,ideal,virtual_structure,0.023129160290958357,0.007503147757140271,0.02,0.01,0.1,640,640,640,192914,192914,192914,192914,0,1.0,0.02260734375000007
63303,delayed,leader_follower,0.330256467941304,0.04329232391470472,0.02,0.01,1.6541095890410962,240,240,240,50493,50493,50493,50493,0,1.0,2.611586777373671
63303,delayed,virtual_structure,0.16154498426976135,0.03636043345000091,0.02,0.01,2.976878612716763,640,640,640,192914,192914,192914,192914,0,1.0,10.608804283367288
63303,degraded,leader_follower,0.05352204645625785,0.01183846612190568,0.02,0.01,0.10526315789473684,240,230,230,50493,50493,48399,48399,2094,0.9583333333333334,0.08230555835743054
63303,degraded,virtual_structure,0.18247774768277902,0.02808038227497136,0.02,0.01,2.0224358974358974,640,608,608,192914,192914,183242,183242,9672,0.95,3.7709908918016386
63303,limited,leader_follower,0.31315394958059223,0.09485810897624677,0.02,0.01,1.4329787234042555,240,141,141,50493,50493,29644,29644,20849,0.5875,1.990597981578495
63303,limited,virtual_structure,0.1534583961544975,0.03425455218800231,0.02,0.01,3.01025641025641,640,584,584,192914,192914,175989,175989,16925,0.9125,10.814454780888541
63304,ideal,leader_follower,0.04589127756680303,0.01055292422315015,0.02,0.01,0.1,240,240,240,50487,50487,50487,50487,0,1.0,0.010518125000000041
63304,ideal,virtual_structure,0.019815741004760627,0.006543333111430781,0.02,0.01,0.1,640,640,640,192864,192864,192864,192864,0,1.0,0.022599687500000083
63304,delayed,leader_follower,0.31886790042792335,0.04496968444895874,0.02,0.01,1.6374149659863946,240,240,240,50487,50487,50487,50487,0,1.0,2.5320203504238434
63304,delayed,virtual_structure,0.16097938968866185,0.035879825522704856,0.02,0.01,2.9765714285714293,640,640,640,192864,192864,192864,192864,0,1.0,10.557075434320542
63304,degraded,leader_follower,0.05063340635301805,0.010581476648381256,0.02,0.01,0.10315315315315318,240,225,225,50487,50487,47332,47332,3155,0.9375,0.08107788610414891
63304,degraded,virtual_structure,0.1848731855930565,0.02721811849698451,0.02,0.01,1.9624605678233442,640,605,605,192864,192864,182288,182288,10576,0.9453125,3.5953612465633147
63304,limited,leader_follower,0.31456392479830536,0.09619091115305968,0.02,0.01,1.5147368421052636,240,148,148,50487,50487,31147,31147,19340,0.6166666666666667,2.211798178674882
63304,limited,virtual_structure,0.15584055414888792,0.03508495300042623,0.02,0.01,3.0708860759493675,640,579,579,192864,192864,174444,174444,18420,0.9046875,10.645649159267629
63305,ideal,leader_follower,0.04789908701009161,0.011608948660190327,0.02,0.01,0.1,240,240,240,50475,50475,50475,50475,0,1.0,0.010515625000000048
63305,ideal,virtual_structure,0.023987437231563647,0.006780407579372415,0.02,0.01,0.1,640,640,640,192898,192898,192898,192898,0,1.0,0.022605937500000072
63305,delayed,leader_follower,0.325389748428789,0.04313469380518189,0.02,0.01,1.6643835616438356,240,240,240,50475,50475,50475,50475,0,1.0,2.5890519922670436
63305,delayed,virtual_structure,0.16092642859486161,0.036072708453600895,0.02,0.01,2.992528735632184,640,640,640,192898,192898,192898,192898,0,1.0,10.619706998129157
63305,degraded,leader_follower,0.05284638902864007,0.011717724718866233,0.02,0.01,0.10672645739910314,240,226,226,50475,50475,47541,47541,2934,0.9416666666666667,0.08145204091013317
63305,degraded,virtual_structure,0.1848276321887591,0.027680445508515998,0.02,0.01,2.00126582278481,640,604,604,192898,192898,181951,181951,10947,0.94375,3.656752238142182
63305,limited,leader_follower,0.30302389770590016,0.09456381563106843,0.02,0.01,1.4107526881720431,240,137,137,50475,50475,28794,28794,21681,0.5708333333333333,1.915099193707013
63305,limited,virtual_structure,0.1528045213786387,0.03296311240000811,0.02,0.01,3.003225806451613,640,564,564,192898,192898,169957,169957,22941,0.88125,10.368444490737108
63306,ideal,leader_follower,0.045288517797742116,0.010106331242535667,0.02,0.01,0.1,240,240,240,50496,50496,50496,50496,0,1.0,0.010520000000000048
63306,ideal,virtual_structure,0.020833499121157225,0.006925412787617272,0.02,0.01,0.1,640,640,640,192884,192884,192884,192884,0,1.0,0.022602812500000076
63306,delayed,leader_follower,0.3218782916255407,0.04307990477278582,0.02,0.01,1.6469387755102043,240,240,240,50496,50496,50496,50496,0,1.0,2.5809613936412585
63306,delayed,virtual_structure,0.15987213034170816,0.036357189135190385,0.02,0.01,2.9839080459770115,640,640,640,192884,192884,192884,192884,0,1.0,10.522184482069024
63306,degraded,leader_follower,0.04627398149010459,0.010859951006670893,0.02,0.01,0.10444444444444446,240,228,228,50496,50496,47933,47933,2563,0.95,0.08112501650221277
63306,degraded,virtual_structure,0.18566775322166804,0.028307335817137867,0.02,0.01,1.984493670886076,640,600,600,192884,192884,180831,180831,12053,0.9375,3.596732138213455
63306,limited,leader_follower,0.29364486246266747,0.09378405225054161,0.02,0.01,1.2826530612244897,240,143,143,50496,50496,30143,30143,20353,0.5958333333333333,1.8206880828694887
63306,limited,virtual_structure,0.15141440891427718,0.03379810769745739,0.02,0.01,2.95379746835443,640,572,572,192884,192884,172417,172417,20467,0.89375,10.403992517111517
63307,ideal,leader_follower,0.048044775817532435,0.010257145734940267,0.02,0.01,0.1,240,240,240,50490,50490,50490,50490,0,1.0,0.010518750000000044
63307,ideal,virtual_structure,0.021374275713637668,0.00659407853813126,0.02,0.01,0.1,640,640,640,192854,192854,192854,192854,0,1.0,0.022599218750000056
63307,delayed,leader_follower,0.325171162203567,0.045283336327203806,0.02,0.01,1.6827586206896552,240,240,240,50490,50490,50490,50490,0,1.0,2.5910297937603834
63307,delayed,virtual_structure,0.16466130534037599,0.03477590534035901,0.02,0.01,3.0342857142857143,640,640,640,192854,192854,192854,192854,0,1.0,10.545396490037174
63307,degraded,leader_follower,0.05242886868286394,0.010876564952284045,0.02,0.01,0.10442477876106196,240,229,229,50490,50490,48209,48209,2281,0.9541666666666667,0.08212112019497957
63307,degraded,virtual_structure,0.18177374157491885,0.026323341426327963,0.02,0.01,2.0025559105431308,640,601,601,192854,192854,181066,181066,11788,0.9390625,3.6439471053478525
63307,limited,leader_follower,0.31346169332828566,0.09616764876521583,0.02,0.01,1.5354166666666667,240,145,145,50490,50490,30476,30476,20014,0.6041666666666666,2.1134404680008725
63307,limited,virtual_structure,0.155682173979859,0.034049237008967205,0.02,0.01,3.0275641025641025,640,566,566,192854,192854,170531,170531,22323,0.884375,10.402702070594804
63308,ideal,leader_follower,0.0497813391127673,0.011255220478669933,0.02,0.01,0.1,240,240,240,50436,50436,50436,50436,0,1.0,0.010507500000000048
63308,ideal,virtual_structure,0.021505698092341742,0.007218297833701074,0.02,0.01,0.1,640,640,640,192870,192870,192870,192870,0,1.0,0.022601875000000084
63308,delayed,leader_follower,0.3311659645844153,0.044973376378970586,0.02,0.01,1.6972027972027972,240,240,240,50436,50436,50436,50436,0,1.0,2.6834975294095362
63308,delayed,virtual_structure,0.16081759662960038,0.03568541988260601,0.02,0.01,3.021511627906977,640,640,640,192870,192870,192870,192870,0,1.0,10.571528174227211
63308,degraded,leader_follower,0.05048065336090733,0.01150729567225658,0.02,0.01,0.10625000000000002,240,226,226,50436,50436,47509,47509,2927,0.9416666666666667,0.08217764064858171
63308,degraded,virtual_structure,0.18404379082142192,0.026949519344056483,0.02,0.01,2.0107936507936506,640,590,590,192870,192870,177809,177809,15061,0.921875,3.509633053612798
63308,limited,leader_follower,0.3112509409346413,0.09626281911190164,0.02,0.01,1.5197916666666667,240,149,149,50436,50436,31331,31331,19105,0.6208333333333333,2.193947726680209
63308,limited,virtual_structure,0.15556236863475342,0.03401912654349678,0.02,0.01,3.0573248407643314,640,572,572,192870,192870,172361,172361,20509,0.89375,10.507764426443572
63309,ideal,leader_follower,0.04767065031506118,0.011181908784111117,0.02,0.01,0.1,240,240,240,50493,50493,50493,50493,0,1.0,0.010519375000000027
63309,ideal,virtual_structure,0.022000243627599017,0.00664306429714635,0.02,0.01,0.1,640,640,640,192870,192870,192870,192870,0,1.0,0.022602187500000055
63309,delayed,leader_follower,0.32873935544585203,0.04321915838615671,0.02,0.01,1.6979020979020976,240,240,240,50493,50493,50493,50493,0,1.0,2.6607217218258197
63309,delayed,virtual_structure,0.16034783208829795,0.0344670171705825,0.02,0.01,3.012790697674419,640,640,640,192870,192870,192870,192870,0,1.0,10.641364912232897
63309,degraded,leader_follower,0.04891276592178247,0.011572383703026563,0.02,0.01,0.1082191780821918,240,222,222,50493,50493,46710,46710,3783,0.925,0.08272967440967204
63309,degraded,virtual_structure,0.18261236169349374,0.025453687128576902,0.02,0.01,1.9942307692307695,640,599,599,192870,192870,180524,180524,12346,0.9359375,3.671036901627817
63309,limited,leader_follower,0.3063032430387278,0.09417611547751074,0.02,0.01,1.4344086021505373,240,139,139,50493,50493,29261,29261,21232,0.5791666666666667,1.9743998819160993
63309,limited,virtual_structure,0.15191452344679937,0.0324539265380159,0.02,0.01,3.010967741935484,640,566,566,192870,192870,170629,170629,22241,0.884375,10.50110804214156
63310,ideal,leader_follower,0.04643081678244101,0.01162650647420974,0.02,0.01,0.1,240,240,240,50466,50466,50466,50466,0,1.0,0.01051375000000005
63310,ideal,virtual_structure,0.023410679857206608,0.0064454549294022,0.02,0.01,0.1,640,640,640,192812,192812,192812,192812,0,1.0,0.022597187500000067
63310,delayed,leader_follower,0.3308193244529017,0.04541179803723791,0.02,0.01,1.7216783216783216,240,240,240,50466,50466,50466,50466,0,1.0,2.7027566996865553
63310,delayed,virtual_structure,0.16115802624642814,0.036023155030174815,0.02,0.01,3.0424418604651167,640,640,640,192812,192812,192812,192812,0,1.0,10.627563840117357
63310,degraded,leader_follower,0.047087597195395105,0.011841542810105873,0.02,0.01,0.10272727272727275,240,223,223,50466,50466,46841,46841,3625,0.9291666666666667,0.0824853488851428
63310,degraded,virtual_structure,0.18662372261091176,0.026886014532752578,0.02,0.01,1.9935897435897436,640,604,604,192812,192812,181982,181982,10830,0.94375,3.668093363608076
63310,limited,leader_follower,0.31367438295823097,0.09497509660653936,0.02,0.01,1.5129032258064519,240,144,144,50466,50466,30310,30310,20156,0.6,2.189408039417186
63310,limited,virtual_structure,0.15149081607377005,0.03466795508237938,0.02,0.01,3.0512987012987014,640,582,582,192812,192812,175349,175349,17463,0.909375,10.756441458966
63311,ideal,leader_follower,0.04514765150685766,0.009499330599366772,0.02,0.01,0.1,240,240,240,50520,50520,50520,50520,0,1.0,0.010525000000000014
63311,ideal,virtual_structure,0.021371776999531664,0.006821590710769127,0.02,0.01,0.1,640,640,640,192890,192890,192890,192890,0,1.0,0.022603125000000064
63311,delayed,leader_follower,0.3191274221640164,0.04235257424604743,0.02,0.01,1.629251700680272,240,240,240,50520,50520,50520,50520,0,1.0,2.5606262402537623
63311,delayed,virtual_structure,0.15985080548150232,0.03540172141262067,0.02,0.01,2.9672413793103454,640,640,640,192890,192890,192890,192890,0,1.0,10.529252278920445
63311,degraded,leader_follower,0.0501071878182219,0.009411158504183469,0.02,0.01,0.10222222222222223,240,228,228,50520,50520,48022,48022,2498,0.95,0.08215946710612394
63311,degraded,virtual_structure,0.18140285824939822,0.02713198764923963,0.02,0.01,1.992332268370607,640,605,605,192890,192890,182352,182352,10538,0.9453125,3.6964455282720974
63311,limited,leader_follower,0.30559707398009883,0.09448820018656892,0.02,0.01,1.3870967741935485,240,143,143,50520,50520,30095,30095,20425,0.5958333333333333,2.00875667916582
63311,limited,virtual_structure,0.15267002435839866,0.03487953652592398,0.02,0.01,2.9941935483870967,640,572,572,192890,192890,172318,172318,20572,0.89375,10.594958217554687
63312,ideal,leader_follower,0.04854457227651731,0.01101308146946139,0.02,0.01,0.1,240,240,240,50460,50460,50460,50460,0,1.0,0.010512500000000029
63312,ideal,virtual_structure,0.021535394646752522,0.006698132869708594,0.02,0.01,0.1,640,640,640,192936,192936,192936,192936,0,1.0,0.022609843750000073
63312,delayed,leader_follower,0.3276956604264057,0.04543868389594787,0.02,0.01,1.6734265734265734,240,240,240,50460,50460,50460,50460,0,1.0,2.689479746451469
63312,delayed,virtual_structure,0.15866273575241152,0.035413838133705,0.02,0.01,2.9823529411764707,640,640,640,192936,192936,192936,192936,0,1.0,10.613262563349721
63312,degraded,leader_follower,0.04904284066005787,0.011276578610798258,0.02,0.01,0.10401785714285715,240,227,227,50460,50460,47692,47692,2768,0.9458333333333333,0.08307789777113911
63312,degraded,virtual_structure,0.187894424030025,0.025898284911445177,0.02,0.01,2.0323717948717954,640,598,598,192936,192936,180278,180278,12658,0.934375,3.668961052912726
63312,limited,leader_follower,0.31195215055875747,0.09546014172135471,0.02,0.01,1.4673684210526317,240,149,149,50460,50460,31346,31346,19114,0.6208333333333333,2.220056277953593
63312,limited,virtual_structure,0.1561048736102135,0.03475486573706469,0.02,0.01,3.0480769230769234,640,577,577,192936,192936,173908,173908,19028,0.9015625,10.66169342588364
63313,ideal,leader_follower,0.04826563018683002,0.009393256905032291,0.02,0.01,0.1,240,240,240,50475,50475,50475,50475,0,1.0,0.010515625000000039
63313,ideal,virtual_structure,0.020912938974744107,0.006350200947378069,0.02,0.01,0.1,640,640,640,192892,192892,192892,192892,0,1.0,0.022603750000000058
63313,delayed,leader_follower,0.33174757873378025,0.04318514143344776,0.02,0.01,1.6756944444444446,240,240,240,50475,50475,50475,50475,0,1.0,2.6284880711178986
63313,delayed,virtual_structure,0.1577847869035566,0.03477715925463772,0.02,0.01,2.980701754385965,640,640,640,192892,192892,192892,192892,0,1.0,10.47297207345503
63313,degraded,leader_follower,0.05001917894851778,0.009680477670487775,0.02,0.01,0.10616740088105729,240,230,230,50475,50475,48400,48400,2075,0.9583333333333334,0.0819071561796116
63313,degraded,virtual_structure,0.18111263896408827,0.026711574705821892,0.02,0.01,2.0217252396166137,640,600,600,192892,192892,180922,180922,11970,0.9375,3.6281431078105273
63313,limited,leader_follower,0.29777467587614875,0.09457749843276848,0.02,0.01,1.349484536082474,240,145,145,50475,50475,30500,30500,19975,0.6041666666666666,1.9533301407056483
63313,limited,virtual_structure,0.1535866410380891,0.03345730964619303,0.02,0.01,2.9833333333333334,640,574,574,192892,192892,172962,172962,19930,0.896875,10.404583064396393
63314,ideal,leader_follower,0.04767262949254927,0.011699212218797758,0.02,0.01,0.1,240,240,240,50469,50469,50469,50469,0,1.0,0.010514375000000038
63314,ideal,virtual_structure,0.021077577672803053,0.006941753864391217,0.02,0.01,0.1,640,640,640,192914,192914,192914,192914,0,1.0,0.022605781250000057
63314,delayed,leader_follower,0.32853116601762017,0.0474216955854904,0.02,0.01,1.6958333333333333,240,240,240,50469,50469,50469,50469,0,1.0,2.6419161668439455
63314,delayed,virtual_structure,0.16181330430532606,0.035899378372924874,0.02,0.01,3.0196531791907515,640,640,640,192914,192914,192914,192914,0,1.0,10.593779307669132
63314,degraded,leader_follower,0.05210770851608945,0.011681414668386965,0.02,0.01,0.10409090909090912,240,223,223,50469,50469,46895,46895,3574,0.9291666666666667,0.08140891668686435
63314,degraded,virtual_structure,0.17982538819518104,0.025385304433033783,0.02,0.01,1.947634069400631,640,595,595,192914,192914,179366,179366,13548,0.9296875,3.527931169603333
63314,limited,leader_follower,0.30936640346183586,0.0960479471358793,0.02,0.01,1.471276595744681,240,144,144,50469,50469,30296,30296,20173,0.6,2.0672425436260187
63314,limited,virtual_structure,0.15529395956359174,0.034191103003424365,0.02,0.01,3.020382165605096,640,579,579,192914,192914,174483,174483,18431,0.9046875,10.613919737742139
63315,ideal,leader_follower,0.04618297191377338,0.009111295524032099,0.02,0.01,0.1,240,240,240,50469,50469,50469,50469,0,1.0,0.010514375000000064
63315,ideal,virtual_structure,0.022446314397655258,0.005742815428214983,0.02,0.01,0.1,640,640,640,192852,192852,192852,192852,0,1.0,0.022599531250000065
63315,delayed,leader_follower,0.3291196458888165,0.04145489204377277,0.02,0.01,1.6756944444444446,240,240,240,50469,50469,50469,50469,0,1.0,2.62142001891301
63315,delayed,virtual_structure,0.1610591363110748,0.035593540394750184,0.02,0.01,3.0247126436781615,640,640,640,192852,192852,192852,192852,0,1.0,10.486319596499275
63315,degraded,leader_follower,0.04664487904874568,0.009360962699275338,0.02,0.01,0.10448430493273544,240,226,226,50469,50469,47578,47578,2891,0.9416666666666667,0.08111355305368753
63315,degraded,virtual_structure,0.18516046166643152,0.025925230838429472,0.02,0.01,1.9693037974683543,640,605,605,192852,192852,182312,182312,10540,0.9453125,3.590787631941768
63315,limited,leader_follower,0.3128864021364086,0.09481976585313903,0.02,0.01,1.4673684210526317,240,144,144,50469,50469,30258,30258,20211,0.6,2.0927672352328415
63315,limited,virtual_structure,0.15521113806868686,0.033658649070823075,0.02,0.01,3.0436708860759496,640,583,583,192852,192852,175696,175696,17156,0.9109375,10.644264258287873
63316,ideal,leader_follower,0.046038128390945676,0.011997216163882897,0.02,0.01,0.1,240,240,240,50484,50484,50484,50484,0,1.0,0.010517500000000053
63316,ideal,virtual_structure,0.02120355900364395,0.007461300404769769,0.02,0.01,0.1,640,640,640,192848,192848,192848,192848,0,1.0,0.022599843750000074
63316,delayed,leader_follower,0.3171719692797703,0.043488060263758246,0.02,0.01,1.6595890410958904,240,240,240,50484,50484,50484,50484,0,1.0,2.5541551376728733
63316,delayed,virtual_structure,0.16076161308713718,0.03691136082664849,0.02,0.01,3.0022857142857142,640,640,640,192848,192848,192848,192848,0,1.0,10.495222918628288
63316,degraded,leader_follower,0.05070382740602496,0.01194301702210612,0.02,0.01,0.10414746543778802,240,220,220,50484,50484,46330,46330,4154,0.9166666666666666,0.08057146051725636
63316,degraded,virtual_structure,0.176904219290486,0.026245083422730655,0.02,0.01,1.8883647798742138,640,596,596,192848,192848,179608,179608,13240,0.93125,3.4609972418174864
63316,limited,leader_follower,0.29780549947488844,0.0947790187220325,0.02,0.01,1.4020833333333336,240,142,142,50484,50484,29869,29869,20615,0.5916666666666667,1.9507908623708687
63316,limited,virtual_structure,0.15336009413879995,0.03482982046397392,0.02,0.01,2.975949367088608,640,574,574,192848,192848,172902,172902,19946,0.896875,10.38923496919741
63317,ideal,leader_follower,0.04706374991791656,0.00953157906023873,0.02,0.01,0.1,240,240,240,50421,50421,50421,50421,0,1.0,0.010504375000000047
63317,ideal,virtual_structure,0.023355212603178663,0.006855245423462111,0.02,0.01,0.1,640,640,640,192880,192880,192880,192880,0,1.0,0.022600781250000073
63317,delayed,leader_follower,0.31251511451748215,0.03927921431424826,0.02,0.01,1.560810810810811,240,240,240,50421,50421,50421,50421,0,1.0,2.4473973921625376
63317,delayed,virtual_structure,0.16390438311743108,0.035997914166115565,0.02,0.01,2.970224719101124,640,640,640,192880,192880,192880,192880,0,1.0,10.404006895490527
63317,degraded,leader_follower,0.048526658338066325,0.00995105304722223,0.02,0.01,0.10571428571428569,240,213,213,50421,50421,44822,44822,5599,0.8875,0.08237403324352893
63317,degraded,virtual_structure,0.18063990144459122,0.024788687138188253,0.02,0.01,1.854920634920635,640,589,589,192880,192880,177436,177436,15444,0.9203125,3.4099327195383484
63317,limited,leader_follower,0.30012326102365455,0.09437289305738257,0.02,0.01,1.377319587628866,240,139,139,50421,50421,29152,29152,21269,0.5791666666666667,1.8547996798529274
63317,limited,virtual_structure,0.1530738236911255,0.03390416370859304,0.02,0.01,2.9649681528662426,640,576,576,192880,192880,173554,173554,19326,0.9,10.493908632335843
63318,ideal,leader_follower,0.04687074204872104,0.010790276845940845,0.02,0.01,0.1,240,240,240,50487,50487,50487,50487,0,1.0,0.010518125000000045
63318,ideal,virtual_structure,0.021676568767487938,0.0075102434430994935,0.02,0.01,0.1,640,640,640,192918,192918,192918,192918,0,1.0,0.022607656250000063
63318,delayed,leader_follower,0.32356647017410295,0.0419041524836371,0.02,0.01,1.661111111111111,240,240,240,50487,50487,50487,50487,0,1.0,2.6179573696553557
63318,delayed,virtual_structure,0.15729405764766824,0.034976103877468676,0.02,0.01,3.0028901734104045,640,640,640,192918,192918,192918,192918,0,1.0,10.555846879072401
63318,degraded,leader_follower,0.05145324679295988,0.011013580922311266,0.02,0.01,0.10491071428571429,240,227,227,50487,50487,47761,47761,2726,0.9458333333333333,0.08104605003199523
63318,degraded,virtual_structure,0.18096289551074193,0.026581723101866343,0.02,0.01,1.9514195583596214,640,605,605,192918,192918,182385,182385,10533,0.9453125,3.5631077118008823
63318,limited,leader_follower,0.29182652180002794,0.09366786048719632,0.02,0.01,1.2680412371134022,240,143,143,50487,50487,30089,30089,20398,0.5958333333333333,1.8226327379496143
63318,limited,virtual_structure,0.14800293994998118,0.03255027356886222,0.02,0.01,2.917197452229299,640,567,567,192918,192918,170951,170951,21967,0.8859375,10.179791504941845
63319,ideal,leader_follower,0.04803885160482265,0.010027418244676527,0.02,0.01,0.1,240,240,240,50454,50454,50454,50454,0,1.0,0.010511250000000036
63319,ideal,virtual_structure,0.021482834972335208,0.006991939618305009,0.02,0.01,0.1,640,640,640,192880,192880,192880,192880,0,1.0,0.022604531250000077
63319,delayed,leader_follower,0.327126331622099,0.04478414003065485,0.02,0.01,1.70625,240,240,240,50454,50454,50454,50454,0,1.0,2.6547876458696726
63319,delayed,virtual_structure,0.1641917932644436,0.03645400910170185,0.02,0.01,3.0505747126436784,640,640,640,192880,192880,192880,192880,0,1.0,10.5752279466497
63319,degraded,leader_follower,0.05293825364507267,0.010662320575141847,0.02,0.01,0.10814479638009049,240,224,224,50454,50454,47073,47073,3381,0.9333333333333333,0.08231905494971446
63319,degraded,virtual_structure,0.18148555246500592,0.0271048475977318,0.02,0.01,1.9757188498402556,640,598,598,192880,192880,180150,180150,12730,0.934375,3.611210126923877
63319,limited,leader_follower,0.30653325598160996,0.09463264465435012,0.02,0.01,1.4182795698924735,240,140,140,50454,50454,29482,29482,20972,0.5833333333333334,1.988409995278139
63319,limited,virtual_structure,0.1519202728590199,0.03369629733706838,0.02,0.01,3.0000000000000004,640,571,571,192880,192880,172055,172055,20825,0.8921875,10.464182202874534
63320,ideal,leader_follower,0.04702781808911991,0.010073773082018173,0.02,0.01,0.1,240,240,240,50466,50466,50466,50466,0,1.0,0.010513750000000046
63320,ideal,virtual_structure,0.021952262164317247,0.006187535588314278,0.02,0.01,0.1,640,640,640,192832,192832,192832,192832,0,1.0,0.022597343750000064
63320,delayed,leader_follower,0.32931797228912746,0.044567377544931217,0.02,0.01,1.7268965517241381,240,240,240,50466,50466,50466,50466,0,1.0,2.6748916442084054
63320,delayed,virtual_structure,0.1638943377189924,0.03532094645948189,0.02,0.01,3.032947976878613,640,640,640,192832,192832,192832,192832,0,1.0,10.685180270417744
63320,degraded,leader_follower,0.05191674305104316,0.01020789695792242,0.02,0.01,0.10611353711790394,240,232,232,50466,50466,48773,48773,1693,0.9666666666666667,0.08194500369342027
63320,degraded,virtual_structure,0.18893522022807935,0.02731442099692082,0.02,0.01,2.025079365079365,640,613,613,192832,192832,184638,184638,8194,0.9578125,3.76483809728613
63320,limited,leader_follower,0.3050799647175004,0.09511713182626905,0.02,0.01,1.4750000000000003,240,144,144,50466,50466,30348,30348,20118,0.6,2.016018562331288
63320,limited,virtual_structure,0.15255598485069205,0.034282073119012824,0.02,0.01,2.9949044585987266,640,596,596,192832,192832,179613,179613,13219,0.93125,11.02944790014061
63321,ideal,leader_follower,0.047518852631459184,0.00945890427916061,0.02,0.01,0.1,240,240,240,50472,50472,50472,50472,0,1.0,0.010515000000000056
