seed,radius_m,speed_mps,omega_rad_s,feasible,naive_feasible,false_feasible,margin,utilization,limiting_robot,limiting_wheel
63100,0.2,0.2,0.775,0,1,1,-0.08469039727788763,1.0846903972778876,r3,left
63100,0.2,0.2,0.8,0,1,1,-0.2682376779657676,1.2682376779657676,r3,left
63100,0.2,0.2,0.8250000000000001,0,1,1,-0.5101349783438145,1.5101349783438145,r3,left
63100,0.2,0.2,0.8500000000000001,0,1,1,-0.8395573082571106,1.8395573082571106,r3,left
63100,0.2,0.2,0.875,0,1,1,-1.3090196854268048,2.309019685426805,r3,left
63100,0.2,0.2,0.9,0,1,1,-2.0235521452952003,3.0235521452952003,r3,left
63100,0.2,0.2,0.925,0,1,1,-3.2282247705609945,4.2282247705609945,r3,left
63100,0.2,0.2,0.9500000000000001,0,1,1,-5.658247809320288,6.658247809320288,r3,left
63100,0.2,0.2,0.9750000000000001,0,1,1,-12.98967250205361,13.98967250205361,r3,left
63100,0.2,0.2,1.0,1,1,0,0.12929011594447382,0.8707098840555262,r4,right
63100,0.2,0.2,1.0250000000000001,0,1,1,-14.460092998245642,15.460092998245642,r3,right
63100,0.2,0.2,1.05,0,1,1,-7.128668305512461,8.128668305512461,r3,right
63100,0.2,0.2,1.075,0,1,1,-4.698645266753189,5.698645266753189,r3,right
63100,0.2,0.2,1.1,0,1,1,-3.493972641487389,4.493972641487389,r3,right
63100,0.2,0.2,1.125,0,1,1,-2.779440181618998,3.779440181618998,r3,right
63100,0.2,0.2,1.1500000000000001,0,1,1,-2.3099778044493005,3.3099778044493005,r3,right
63100,0.2,0.2,1.175,0,1,1,-1.9805554745360068,2.9805554745360068,r3,right
63100,0.2,0.2,1.2000000000000002,0,1,1,-1.7386581741579588,2.7386581741579588,r3,right
63100,0.2,0.2,1.225,0,1,1,-1.5551108934700806,2.5551108934700806,r3,right
63100,0.2,0.2,1.25,0,1,1,-1.412408626565318,2.412408626565318,r3,right
63100,0.2,0.2,1.2750000000000001,0,1,1,-1.2994118242300918,2.299411824230092,r3,right
63100,0.2,0.2,1.3,0,1,1,-1.2086941203220243,2.2086941203220243,r3,right
63100,0.2,0.2,1.3250000000000002,0,1,1,-1.1351141844348414,2.1351141844348414,r3,right
63100,0.2,0.2,1.35,0,1,1,-1.0749996377069304,2.0749996377069304,r3,right
63100,0.2,0.2,1.375,0,1,1,-1.0256574023064333,2.0256574023064333,r3,right
63100,0.2,0.2,1.4000000000000001,0,1,1,-0.9850676698594609,1.985067669859461,r3,right
63100,0.2,0.2,1.425,0,1,1,-0.9516858810212743,1.9516858810212743,r3,right
63100,0.2,0.2,1.4500000000000002,0,1,1,-0.9243107118570755,1.9243107118570755,r3,right
63100,0.2,0.2,1.475,0,1,1,-0.901993748734129,1.901993748734129,r3,right
63100,0.2,0.2,1.5,0,1,1,-0.8839762607462476,1.8839762607462476,r3,right
63100,0.2,0.3,0.0,1,1,0,0.28009311959123406,0.7199068804087659,r4,left
63100,0.2,0.3,0.025,1,1,0,0.2799904738857526,0.7200095261142474,r4,right
63100,0.2,0.3,0.05,1,1,0,0.2796719754595025,0.7203280245404975,r4,right
63100,0.2,0.3,0.07500000000000001,1,1,0,0.27912198655589526,0.7208780134441047,r4,right
63100,0.2,0.3,0.1,1,1,0,0.27832521060304405,0.721674789396956,r4,right
63100,0.2,0.3,0.125,1,1,0,0.2772667759670573,0.7227332240329427,r4,right
63100,0.2,0.3,0.15000000000000002,1,1,0,0.2759323160386641,0.7240676839613359,r4,right
63100,0.2,0.3,0.17500000000000002,1,1,0,0.2743080447670162,0.7256919552329838,r4,right
63100,0.2,0.3,0.2,1,1,0,0.2723808268360133,0.7276191731639867,r4,right
63100,0.2,0.3,0.225,1,1,0,0.2701382417741217,0.7298617582258783,r4,right
63100,0.2,0.3,0.25,1,1,0,0.2675686413957795,0.7324313586042205,r4,right
63100,0.2,0.3,0.275,1,1,0,0.2646612000881422,0.7353387999118578,r4,right
63100,0.2,0.3,0.30000000000000004,1,1,0,0.26140595757806806,0.7385940424219319,r4,right
