scenario,scenario_label,method,method_label,centralized,mode,seed,world_hash,success,physically_admissible_success,command_infeasible,command_infeasible_fraction,physical_violation,realized_violation_fraction,realized_violation_duration_s,realized_violation_max_duration_s,kinematic_violation,wrench_violation,support_failure,collision,timeout,numerical_failure,termination,failure_mode,time_to_target_s,final_position_error_m,final_yaw_error_rad,final_linear_speed_mps,final_angular_speed_rad_s,minimum_kinematic_margin,minimum_mechanical_margin,minimum_realized_kinematic_margin,minimum_realized_mechanical_margin,governor_intervention_rate,governor_hold_rate,governor_brake_rate,governor_uncontrolled_rate,mean_governor_scale,governor_total_variation,governor_switch_rate,mean_internal_force_ratio,state_estimate_rmse_position_m,state_estimate_rmse_yaw_rad,mean_information_age_s,information_stale_rate,cbf_intervention_mean,requested_linear_effort_m2_s3,requested_yaw_effort_rad2_s3,executed_linear_effort_m2_s3,executed_yaw_effort_rad2_s3,attempted_messages,queued_messages,delivered_messages,bytes,generated_bytes,queued_bytes,delivered_bytes,dropped_bytes,delivery_ratio,recovery_time_s
S3,Canal degradado,lqr,LQR,0,governed,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,1,0,0,0.0,1,0.022727272727272728,0.2,0.2,1,0,0,0,0,0,target_reached,none,8.6,0.014608622842666613,0.014475455139526527,0.04780053906264888,0.019027763137737953,0.0015576730393122018,0.5463661385218228,-0.0002128776757603923,0.5461571642739942,0.5681818181818182,0.0,0.38636363636363635,0.0,0.5227272727272727,12.4,0.4418604651162791,0.11586414620151869,0.19069037954122733,0.03476769837198917,0.55,0.2727272727272727,0.0,29.742295260480237,0.9399348585983158,6.905867997916048,0.22286406934335679,44,39,39,11311,11311,10045,10045,1266,0.8863636363636364,
S3,Canal degradado,lqi,LQI,0,raw,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,0,0,1,1.0,1,0.9836065573770492,12.0,12.0,1,0,0,0,1,0,timeout,stale_information_braking,,0.8225501712505746,0.6082791833469026,1.9959634139509053,0.29097234020442886,-9.180023775222695,-0.6163174292639397,-2.515019556404084,0.36788651909070147,1.0,0.0,0.0,0.0,0.3625930705551922,4.900333659968737,1.0,0.13356419535718964,0.7449824155953807,0.25739891416848815,0.6262295081967214,0.4262295081967213,0.0,384.2205019392635,43.10559880528017,34.08087198380567,4.445690376535356,61,54,54,15603,15603,13820,13820,1783,0.8852459016393442,
S3,Canal degradado,lqi,LQI,0,governed,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,1,0,0,0.0,1,0.04878048780487805,0.4,0.2,1,0,0,0,0,0,target_reached,none,8.0,0.07752349374506641,0.005365820458282045,0.0235145298826025,0.02240254182149368,0.0009533249674468225,0.5608943060686091,-2.5989687431641073,0.5606853318207807,0.6829268292682927,0.0,0.43902439024390244,0.0,0.40975609756097553,10.0,0.525,0.10854146540826702,0.1504342985027621,0.022778406114828658,0.551219512195122,0.2926829268292683,0.0,51.141247202364866,1.219542052407125,4.488312828437012,0.10641833445389473,41,36,36,10582,10582,9305,9305,1277,0.8780487804878049,
S3,Canal degradado,port_hamiltonian,Amortiguamiento energético,0,raw,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,0,0,1,0.9016393442622951,1,0.7540983606557377,9.200000000000001,3.8000000000000003,1,0,0,0,1,0,timeout,stale_information_braking,,0.5874374710906674,1.4714588907396458,0.10767627529259209,0.22388561899808346,-41.3661174092418,0.2278269958710154,-7.572310709456932,0.4842315405533345,0.9016393442622951,0.0,0.0,0.0,0.531920284150729,13.52226182312647,0.9833333333333333,0.18131329111114936,0.42378443396718973,0.4409485825999255,0.6229508196721312,0.4098360655737705,0.0,62.13692390205879,35.00646751632027,22.618735445344253,13.8133846935742,61,54,54,15613,15613,13822,13822,1791,0.8852459016393442,
S3,Canal degradado,port_hamiltonian,Amortiguamiento energético,0,governed,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,7.2,0.05612427901571945,0.01143786616457465,0.05405164843536833,0.017974453688084563,0.00419289997525496,0.5936891776064418,0.004743499285264963,0.5934854248912312,0.5945945945945946,0.0,0.43243243243243246,0.0,0.5027027027027027,11.799999999999999,0.4444444444444444,0.12226942679968802,0.1656693955571817,0.029482817031758535,0.5675675675675675,0.32432432432432434,0.0,8.911621202809707,0.4047868573222775,3.621332588305985,0.15892973818128528,37,32,32,9513,9513,8239,8239,1274,0.8648648648648649,
S3,Canal degradado,mpc_central,MPC central,1,raw,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,1,0,1,0.42105263157894735,1,0.42105263157894735,1.6,1.6,1,0,0,0,0,0,target_reached,none,3.6,0.020397076444512822,0.000245193147322631,0.034744127298230974,0.0007385536971146383,-0.7859766726208468,0.7219154972259665,-0.617259880507816,0.7217062329739687,0.42105263157894735,0.0,0.0,0.0,0.8815985651036996,0.8801645448901172,0.5,0.0917466027360335,0.0,0.0,0.0,0.0,0.0,2.4898876147080933,0.1962584600204654,1.7387518902911745,0.16732545010625666,19,17,17,4865,4865,4369,4369,496,0.8947368421052632,
S3,Canal degradado,mpc_central,MPC central,1,governed,63410,f520c298531445a89b1dfdcfc09435ba038da645c2724ace52b0c6244c6ad82e,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.6000000000000005,0.02014537267967295,0.00013581840858112315,0.03837510946466807,0.00010764760949326271,0.003488403805114948,0.7219154972259665,0.0037123092434409033,0.7217062329739687,0.4166666666666667,0.0,0.125,0.0,0.7083333333333334,4.8,0.43478260869565216,0.08998614322796755,0.0,0.0,0.0,0.0,0.0,3.5297056405365863,0.16222278760064937,2.023840841875576,0.17679588357531245,24,22,22,6168,6168,5672,5672,496,0.9166666666666666,
S3,Canal degradado,pd,PD,0,raw,63411,57ff5097eba05d930f90cad280be1a12488877b0f914197878910fd47a5aba49,0,0,1,0.8032786885245902,1,0.7704918032786885,9.4,6.6000000000000005,1,0,0,0,1,0,timeout,stale_information_braking,,4.096767974664409,1.4420191022526918,0.7169628380848337,1.202195545128572,-7.8630375134765504,-0.4519768254734944,-3.4876461867587096,0.5441099613838304,0.8032786885245902,0.0,0.0,0.0,0.5297021489681322,7.627313042430695,0.8833333333333333,0.1337981974379356,1.5069129032549142,0.6061504649096373,0.9999999999999999,0.7213114754098361,0.0,136.7809134279041,20.568932664983066,19.460247979384302,2.0742857369197796,61,57,57,15628,15628,14613,14613,1015,0.9344262295081968,
S3,Canal degradado,pd,PD,0,governed,63411,57ff5097eba05d930f90cad280be1a12488877b0f914197878910fd47a5aba49,1,0,0,0.0,1,0.045454545454545456,0.2,0.2,1,0,0,0,0,0,target_reached,none,4.2,0.060106268939712354,0.00998567438670328,0.022880306091551814,0.008301796118353997,0.018387003760089615,0.572309893830589,-0.03081667003209665,0.5719329030124891,0.5454545454545454,0.0,0.36363636363636365,0.0,0.5090909090909091,10.6,0.7142857142857143,0.1102324875559474,0.22681953631204585,0.035284699728296454,0.5181818181818181,0.22727272727272727,0.0,6.213415411050695,0.2460188190075808,2.9271309076955725,0.11154283261912348,22,21,21,5646,5646,5395,5395,251,0.9545454545454546,
S3,Canal degradado,pid,PID,0,governed,63411,57ff5097eba05d930f90cad280be1a12488877b0f914197878910fd47a5aba49,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.2,0.06406730516419845,0.008156865979211503,0.016023649487945824,0.004906237584337597,0.0032325342488038755,0.6059904896914304,0.0012791327688467247,0.6056134988733306,0.6363636363636364,0.0,0.36363636363636365,0.0,0.5000000000000001,11.000000000000002,0.7619047619047619,0.11424803116195247,0.21860747737087483,0.03522771522853664,0.5181818181818181,0.22727272727272727,0.0,4.859993319850537,0.19599384907391917,2.594856697770456,0.09721254419472475,22,21,21,5629,5629,5380,5380,249,0.9545454545454546,
