seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63201,0.6,0.2,1,1,1,0,0,0.13844316200159565,6.629760916754405e-18,0.3128845010853292,r1
63201,0.6,0.4,1,1,1,0,0,0.2768863240031913,1.325952183350881e-17,0.3128845010853292,r1
63201,0.6,0.6,1,1,1,0,0,0.41532948600478853,1.0092936587501423e-16,0.312884501085327,r1
63201,0.6,0.8,1,1,1,0,0,0.5537726480063826,2.651904366701762e-17,0.3128845010853292,r1
63201,0.6,1.0,1,1,1,0,0,0.6922158100079764,4.0371746350005693e-17,0.31288450108533095,r1
63201,0.6,1.2,1,1,1,0,0,0.8306589720095771,2.0185873175002846e-16,0.312884501085327,r1
63201,0.8,0.2,1,1,1,0,0,0.132651904904914,5.159554592046357e-18,0.26885556357517865,r3
63201,0.8,0.4,1,1,1,0,0,0.265303809809828,1.0319109184092714e-17,0.26885556357517865,r3
63201,0.8,0.6,1,1,1,0,0,0.3979557147147806,2.62416351275037e-16,0.26885556357522244,r4
63201,0.8,0.8,1,1,1,0,0,0.530607619619656,2.0638218368185428e-17,0.26885556357517865,r3
63201,0.8,1.0,1,1,1,0,0,0.6632595245246177,3.6334571715005125e-16,0.2688555635752137,r4
63201,0.8,1.2,1,1,1,0,0,0.7959114294295612,5.24832702550074e-16,0.26885556357522244,r4
63202,0.2,0.2,1,1,1,0,0,0.20802768497578938,4.5418214643756407e-17,0.41011280946301887,r2
63202,0.2,0.4,1,1,1,0,0,0.41605536995157877,9.083642928751281e-17,0.41011280946301887,r2
63202,0.2,0.6,1,1,1,0,0,0.6240830549273679,1.2717100100251794e-15,0.4101128094630197,r4
63202,0.2,0.8,1,1,1,0,0,0.8321107399031575,1.8167285857502563e-16,0.41011280946301887,r2
63202,0.2,1.0,1,1,0,1,1,1.0401384248789467,1.2111523905001707e-15,0.41011280946301787,r2
63202,0.2,1.2,1,1,0,1,1,1.2481661098547359,2.5434200200503587e-15,0.4101128094630197,r4
63202,0.4,0.2,1,1,1,0,0,0.15151461543276118,5.932123479303961e-15,0.3133106129621739,r3
63202,0.4,0.4,1,1,1,0,0,0.30302923086552236,1.1864246958607922e-14,0.3133106129621739,r3
63202,0.4,0.6,1,1,1,0,0,0.4545438462982726,2.6544423225128744e-15,0.31331061296215873,r3
63202,0.4,0.8,1,1,1,0,0,0.6060584617310447,2.3728493917215845e-14,0.3133106129621739,r3
63202,0.4,1.0,1,1,1,0,0,0.7575730771638185,3.1893679616504495e-14,0.31331061296216883,r3
63202,0.4,1.2,1,1,1,0,0,0.9090876925965452,5.308884645025749e-15,0.31331061296215873,r3
63202,0.6,0.2,1,1,1,0,0,0.13700222515871707,7.569702440626067e-17,0.293223678419256,r2
63202,0.6,0.4,1,1,1,0,0,0.27400445031743415,1.5139404881252134e-16,0.293223678419256,r2
63202,0.6,0.6,1,1,1,0,0,0.4110066754761513,1.2111523905001707e-16,0.2932236784192567,r2
63202,0.6,0.8,1,1,1,0,0,0.5480089006348683,3.0278809762504267e-16,0.293223678419256,r2
