v3_registry_id,identity_key,candidate_ids,title,authors,year,venue,doi,abstract,document_type,discovery_origins,provenance_sources,provenance_queries,legacy_screening_decisions,legacy_fulltext_status,legacy_evidence_status,metadata_status,v3_screening_status,v3_screening_reason,v3_allowed_use,duplicate_alias_count
C32E23B86AE0C,doi:10.1137/1.9780898718515.ch9,C32E23B86AE0C,9. VRP with Pickup and Delivery,Guy Desaulniers; Jacques Desrosiers; Andreas Erdmann; Marius M. Solomon; François Soumis,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch9,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C6186FE9BDB0B,doi:10.1007/s42405-019-00205-1,C6186FE9BDB0B,A Bid-Based Grouping Method for Communication-Efficient Decentralized Multi-UAV Task Allocation,Keum-Seong Kim; Hoyeon Kim; Han‐Lim Choi,2019,International Journal of Aeronautical and Space Sciences,10.1007/s42405-019-00205-1,,article,historical_seed,openalex;openalex_snowball,SB_B_CA9EA6431B5EC,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CFAAB1570281C,doi:10.1007/978-3-642-23424-8_14,CFAAB1570281C,A Bio-inspired Approach to Self-organization of Mobile Nodes in Real-Time Mobile Ad Hoc Network Applications,Cem Şahin; Elkin Urrea; M. Ümit Uyar; Stephen Gundry,2011,,10.1007/978-3-642-23424-8_14,,book-chapter,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_F_C3B94FFBD89AD,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CA599C495677A,doi:10.5220/0001634100140023,CA599C495677A,A Bio-inspired Multi-Robot Coordination Approach,,2007,Proceedings of the 3rd International Workshop on Multi-Agent Robotic Systems,10.5220/0001634100140023,,proceedings-article,historical_seed,crossref;stage1c_query_repair,Q12_multiagent_robotics,include_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C959B826CC1F5,doi:10.1109/ines.2013.6632825,C959B826CC1F5,A biologically inspired swarm robot coordination algorithm for exploration and surveillance,Marek Masár,2013,,10.1109/ines.2013.6632825,,conference-paper,historical_seed,openalex;openalex_snowball,SB_B_C8620A2DF94BF,maybe_fulltext,unavailable_legally,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C247B317F9D31,doi:10.1016/j.atech.2025.101654,C247B317F9D31,A blockchain- and self-sovereign identity-based collaborative framework for secure and verifiable cross-organizational data sharing in smart irrigation,Okacha Amraouy; Mohammed Benbrahim; Mohammed Nabil Kabbaj,2025,Smart Agricultural Technology,10.1016/j.atech.2025.101654,,article,historical_seed,openalex;openalex_snowball,SB_F_CF6F8F5117640,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CEB2FEC520961,doi:10.2139/ssrn.5518707,CEB2FEC520961,A Blockchain- and Self-Sovereign Identity-Based Collaborative Framework for Secure and Verifiable Cross-Organizational Data Sharing in Smart Irrigation,Okacha Amraouy; Mohammed Benbrahim; Mohammed Nabil Kabbaj,2025,SSRN Electronic Journal,10.2139/ssrn.5518707,,preprint,historical_seed,openalex;openalex_snowball,SB_F_CF6F8F5117640,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C1CC107D95685,doi:10.1007/bf01580430,C1CC107D95685,A branch and bound algorithm for the generalized assignment problem,G. Terry Ross; Richard M. Soland,1975,Mathematical Programming,10.1007/bf01580430,,article,historical_seed,openalex;openalex_snowball,SB_B_CA9EA6431B5EC,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7DA1F7433928,doi:10.1287/opre.1060.0283,C7DA1F7433928,A Branch-and-Cut Algorithm for the Dial-a-Ride Problem,Jean‐François Cordeau,2006,Operations Research,10.1287/opre.1060.0283,,article,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CD9B206378C15,doi:10.1287/trsc.36.2.250.565,CD9B206378C15,A Branch-and-Cut Procedure for the Vehicle Routing Problem with Time Windows,Jonathan F. Bard; George Kontoravdis; Gang Yu,2002,Transportation Science,10.1287/trsc.36.2.250.565,,article,historical_seed,openalex;openalex_snowball,SB_B_C9A98F3EFEE56,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C825D37CF93C4,doi:10.1016/j.trc.2010.07.008,C825D37CF93C4,A branch-and-cut-and-price algorithm for the multi-depot heterogeneous vehicle routing problem with time windows,Andrea Bettinelli; Alberto Ceselli; Giovanni Righini,2010,Transportation Research Part C Emerging Technologies,10.1016/j.trc.2010.07.008,,article,historical_seed,openalex;openalex_snowball,SB_B_C9A98F3EFEE56,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
