author,paper_count
Joaquín Carrasco,1
Barry Lennox,1
Farshad Arvin,1
S Raja,1
Golnaz Habibi,1
Mengge Zhang,1
Xinning Wu,1
Jie Li,1
Xiangke Wang,1
Lincheng Shen,1
Jorge Gutiérrez-Cejudo,1
Francisco Enguix,1
Marin Lujak,1
Carlos Carrascosa,1
Alberto Fernández,1
Luís Hernández,1
Randall T. Fawcett,1
Vinay R. Kamidi,1
Kaveh Akbari Hamed,1
Ioannis A. Raptis,1
Benjamin Sullivan,1
Ernesto Nunes,1
Maria Gini,1
Gyeongtaek Oh,1
Jaemyung Ahn,1
Francisco Javier Muros,1
J. M. Maestre,1
Abdullah Osman,1
Tarık Küçükdeniz,1
Hoyeon Kim,1
Seung-Keol Ryu,1
Xueqian Zhai,1
Qihao Feng,1
Haochen Zheng,1
Yi Luo,1
Huikun Hao,1
An Yan,1
Hongmin Wu,1
Le Na Nguyen,1
Thanh Long Nguyen,1
Thanh Thao Ton Nu,1
Quan Le,1
Manh Duong Phung,1
Navid Naderializadeh,1
Jaroslaw J. Sydir,1
Meryem Simsek,1
Hosein Nikopour,1
Jingya Dong,1
Han Zhao,1
Suyi Zhao,1
Mengfan Guo,1
Chunhe Song,1
Mingliang Xu,1
N.J. Rao,1
Suresh Sundaram,1
Dong Hu,1
Gregory Dudek,1
Michael Jenkin,1
Evangelos Milios,1
D. Wilkes,1
Maria Valera Espina,1
Raphael Grech,1
Deon de Jager,1
Paolo Remagnino,1
Luca Marchetti,1
Dorothy Monekosso,1
Mircea Nicolescu,1
Christopher King,1
Surendra Reddy Vinta,1
Rakesh Phanindra Akula,1
Surya Samantha Beri,1
Anuradha Anumolu,1
G. Sudhakar,1
N. Vinaya Kumari,1
John Bellingham,1
Michael Tillerson,1
Arthur Richards,1
Johan Thunberg,1
David A. Anisi,1
Petter Ögren,1
Sangwoo Moon,1
Eunmi Oh,1
David Hyunchul Shim,1
Zhenping Li,1
Xueting Li,1
Chun-Hui Lin,1
Shyh-Hau Wang,1
Cheng‐Jian Lin,1
"Pacheco Bacheti, Vinicius",1
"Villa, Daniel K. D.",1
"Lozano, Rogelio",1
"Sarcinelli-Filho, Mario",1
"Castillo, Pedro",1
Weifei Gan,1
H. Eric Xu,1
Yunwei Bai,1
Xin Zhou,1
Wangyu Wu,1
Xiaofei Du,1
Javier de Lope,1
Darío Maravall,1
Yadira Quiñonez,1
Maira Saboia,1
Vivek Thangavelu,1
Nils Napp,1
Man Zhao,1
Dongcheng Li,1
Matko Orsag,1
"Martínez-de-Dios, J. Ramiro",1
Yichao Wang,1
Chunjiang Wang,1
Shuangyin Ren,1
Zerui Wei,1
Xiaoyu Zhang,1
Yang Song,1
Rong Guo,1
Dimitri P. Bertsekas,1
M. Anthony Lewis,1
Kar-Han Tan,1
Michael J. B. Krieger,1
Jean-Bernard Billeter,1
Laurent Keller,1
Ranjit Nair,1
Takayuki Itō,1
Milind Tambe,1
Stacy Marsella,1
Michail G. Lagoudakis,1
Evangelos Markakis,1
David Kempe,1
Anton J. Kleywegt,1
Adam Meyerson,1
Sonal Jain,1
James McLurkin,1
Daniel Yamins,1
Nidhi Kalra,1
Alcherio Martinoli,1
Hyun‐Jin Choi,1
Hyoun-Jin Kim,1
Lingzhi Luo,1
Hong Liu,1
Peng Zhang,1
Bin Hu,1
Philip Moore,1
Michele Furci,1
Joanna Turner,1
Qinggang Meng,1
Gerald Schaefer,1
Amanda Whitbrook,1
Andrea Soltoggio,1
Tatiana Tatarenko,1
Eduardo Montijano,1
Tobias Nägeli,1
Otmar Hilliges,1
Mac Schwager,1
Heitor J. Savino,1
Luciano C. A. Pimenta,1
Julie Shah,1
Bruno Vilhena Adorno,1
Xiaojun Duan,1
Huiying Liu,1
Hong Tang,1
Qing Cai,1
Fan Zhang,1
Xiaotian Han,1
Huichu Zhang,1
Siyuan Feng,1
Chang Liu,1
Yaoyao Ding,1
Yichen Zhu,1
Zihan Zhou,1
Weinan Zhang,1
Yong Yu,1
Haiming Jin,1
Zhenhui Li,1
Jing Zhou,1
Xiaozhe Zhao,1
Xiaopan Zhang,1
Dongdong Zhao,1
Huanhuan Li,1
Efstathios Bakolas,1
Yoon Jae Lee,1
Tabarak Al-Gafari,1
Alexandra Hegedűs,1
János Simon,1
József Sárosi,1
Fang Wang,1
Liang Zhao,1
Jeom Kee Paik,1
Liang Tang,1
Ronggeng Ma,1
Bowen Chen,1
Yisen Niu,1
Byeong-Min Jeong,1
Dae-Sung Jang,1
Han-Lim Choi,1
Alan R. Wagner,1
Ronald C. Arkin,1
Yunzhong Song,1
Ziyi Fu,1
Fuzhong Wang,1
Charalampos P. Bechlioulis,1
Kostas J. Kyriakopoulos,1
Jingjing Cui,1
Yuanwei Liu,1
Arumugam Nallanathan,1
Sai Qian Zhang,1
Jieyu Lin,1
Yasar Sinan Nasir,1
Dongning Guo,1
Dmitry Ivanov,1
Mirco Peron,1
Junyi Dong,1
Sushrut Surve,1
C Liu,1
Kyung Rak Jang,1
Suming Qiu,1
Pingping Zhu,1
Alexandra Abad,1
Harleen Brar,1
Anna Scaglione,1
Silvio Ferrari,1
Rajeev Alur,1
J.M. Esposito,1
M. Kim,1
Insup Lee,1
Monica Anderson,1
Nikolaos Papanikolopoulos,1
"Leitner, Juergen",1
João Santos,1
Pedro Lima,1
Frank L. Lewis,1
Hongwei Zhang,1
Kristian Hengster‐Movric,1
Abhijit Das,1
Duc Thien Nguyen,1
William Yeoh,1
Hoong Chuin Lau,1
Shlomo Zilberstein,1
Chongjie Zhang,1
Adel Abbaspour,1
Khalil Alipour,1
Hadi Zare Jafari,1
S. Ali A. Moosavian,1
Athanasios Ch. Kapoutsis,1
Savvas A. Chatzichristofis,1
Lefteris Doitsidis,1
João Borges de Sousa,1
José Pinto,1
José Braga,1
Elias B. Kosmatopoulos,1
Riccardo Cipolleschi,1
Michele Giusto,1
Borja Fernandez‐Gauna,1
Ismael Etxeberria‐Agiriano,1
Manuel Graña,1
Philipp Robbel,1
Frans A. Oliehoek,1
Wiebe van der Hoek,1
Rik Bahnemann,1
Dominik Schindler,1
Mina Kamel,1
Roland Siegwart,1
Juan Nieto,1
Nare Karapetyan,1
Kelly Benson,1
Chris McKinney,1
Perouz Taslakian,1
Ioannis Rekleitis,1
Yuanye Chen,1
Yang Shi,1
Alejandro Torreño,1
Eva Onaindia,1
Antonín Komenda,1
Michal Štolba,1
Arun Sukumaran Nair,1
Tareq Hossen,1
Mitch Campion,1
Daisy Flora Selvaraj,1
Neena Goveas,1
Naima Kaabouch,1
Prakash Ranganathan,1
M. Bernardine Dias,1
