case_index,arm,replicate,seed,N,K,M,binary_variable_count,constraint_count,time_limit_seconds,capacity_mode,capacity_cv,total_capacity_kg,total_demand_kg,structural_capacity_feasible,solver_returned_incumbent,mission_feasible_observed,optimal_certified,censored,outcome,solver_status,solver_message,mip_gap,mip_node_count,solver_wall_seconds,matrix_wall_seconds,model_wall_seconds,post_wall_seconds,internal_total_wall_seconds,call_wall_seconds,observed_time_seconds,observed_over_timeout,explicit_model_bytes,estimated_explicit_model_bytes,assigned_robot_count,total_distance
10,fixed_demand,1,3941083803,300,40,120,12000,380,5.0,moderate,0.3405384999190387,1500.0,492.8722070088357,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,3.7480454,0.0006687,0.0160192,0.0013478,3.766511,3.768857,3.7480454,0.74960908,530004,530004,99,592.9656649660038
11,fixed_demand,2,2438067515,300,40,120,12000,380,5.0,moderate,0.3697014542378279,1500.0,493.98399086766585,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,11,3.5320448,0.0004016,0.0116072,0.0005643,3.544827,3.5456167,3.5320448,0.70640896,530004,530004,98,510.176337037517
12,fixed_demand,0,747100762,400,40,120,16000,480,5.0,moderate,0.3343170465347179,2000.0,505.67693106980727,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0015269334669741103,0,5.0774806,0.0007575,0.0174821,0.0007317,5.0969703,5.0983631,5.0774806,1.0154961200000001,706404,706404,99,441.00719189186157
13,fixed_demand,1,2668501050,400,40,120,16000,480,5.0,moderate,0.3267224000846757,2000.0,509.9125840725189,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,6,4.6619404,0.0007518,0.0172875,0.0013779,4.6818811,4.6840372,4.6619404,0.93238808,706404,706404,97,486.4041587712425
14,fixed_demand,2,2484871981,400,40,120,16000,480,5.0,moderate,0.35249755721464215,2000.0,495.05659065038105,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.006364623546427303,0,5.1341966,0.0005618,0.0186765,0.0015199,5.1552587,5.1574822,5.1341966,1.02683932,706404,706404,100,471.99804040321385
15,fixed_demand,0,2885137592,550,40,120,22000,630,5.0,moderate,0.3634783457131017,2750.0,501.08609713582075,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0030388740280245675,0,5.1542223,0.001079,0.027316,0.0020216,5.1853558,5.1882215,5.1542223,1.03084446,971004,971004,95,348.5658761067723
16,fixed_demand,1,3869611679,550,40,120,22000,630,5.0,moderate,0.3510189858552361,2750.0,496.069003275352,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0019007647879743233,0,5.1047313,0.0007121,0.0286598,0.0009137,5.1353971,5.1368493,5.1047313,1.02094626,971004,971004,91,351.95809931119453
17,fixed_demand,2,3848257459,550,40,120,22000,630,5.0,moderate,0.3639711140383144,2750.0,499.20865046330215,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.274201183163521,0,5.1503423,0.0011075,0.0228613,0.0017851,5.1774319,5.1799081,5.1503423,1.03006846,971004,971004,100,517.4523557861215
18,fixed_demand,0,2395883027,750,40,120,30000,830,5.0,moderate,0.36225257929442434,3750.0,504.5535405516796,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0014086208050313154,0,5.1659526,0.0014052,0.0393834,0.0012037,5.2089586,5.2106757,5.1659526,1.03319052,1323804,1323804,99,313.1274168210698
19,fixed_demand,1,2164692154,750,40,120,30000,830,5.0,moderate,0.3522995569191143,3749.9999999999995,501.17483542932064,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.5577282882365439,0,5.1783752,0.001321,0.036491,0.0021586,5.2192653,5.221791,5.1783752,1.0356750399999999,1323804,1323804,109,705.1740077231711
20,fixed_demand,2,2620030745,750,40,120,30000,830,5.0,moderate,0.34765556156743543,3750.0,496.9163554412324,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6416971148489142,0,5.3299102,0.0006997,0.028543,0.0025126,5.3621495,5.3650897,5.3299102,1.06598204,1323804,1323804,108,906.2921926547147
21,fixed_demand,0,1407728344,1000,40,120,40000,1080,5.0,moderate,0.36380503552713106,5000.0,492.18743857674235,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.7212649663594514,0,5.3135938,0.001453,0.0437376,0.0015422,5.3611107,5.3627,5.3135938,1.0627187599999999,1764804,1764804,105,1007.0999432909438
22,fixed_demand,1,2424201208,1000,40,120,40000,1080,5.0,moderate,0.35881881625295975,5000.0,489.2090187879357,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6958646852822048,0,5.3058985,0.0017487,0.0443369,0.0027374,5.3559297,5.3598538,5.3058985,1.0611796999999998,1764804,1764804,113,841.1940172103216
23,fixed_demand,2,2270535159,1000,40,120,40000,1080,5.0,moderate,0.37622187285552267,5000.0,498.4643056974012,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.5872607807056052,0,5.4650974,0.0014909,0.0495722,0.0016293,5.5189328,5.5208245,5.4650974,1.0930194800000002,1764804,1764804,104,603.8138093210506
24,fixed_demand,0,98220628,1400,40,120,56000,1480,5.0,moderate,0.37857207901519707,7000.0,496.2995526195039,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.814145902233248,0,5.3872658,0.0021795,0.0621447,0.0042059,5.4575384,5.4620883,5.3872658,1.07745316,2470404,2470404,99,1250.4379344998315
25,fixed_demand,1,450248639,1400,40,120,56000,1480,5.0,moderate,0.3540482492428271,7000.0,503.4052626606559,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.7640284682406895,0,5.3667086,0.0021824,0.064045,0.003046,5.4378163,5.4401676,5.3667086,1.07334172,2470404,2470404,103,991.8163361240642
26,fixed_demand,2,1837875548,1400,40,120,56000,1480,5.0,moderate,0.36149552045024946,6999.999999999999,491.6447885184043,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6970374150536652,0,5.2876665,0.0027404,0.0686873,0.0021419,5.3631802,5.3660778,5.2876665,1.0575333,2470404,2470404,98,708.7232035439122
27,fixed_demand,0,76247547,1900,40,120,76000,1980,5.0,moderate,0.35906848868481367,9500.0,503.5174149481117,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.7545254659465472,0,5.5687263,0.0029216,0.0911414,0.002974,5.6682581,5.6718378,5.5687263,1.11374526,3352404,3352404,103,774.7932903457222
28,fixed_demand,1,1104688812,1900,40,120,76000,1980,5.0,moderate,0.35945732601137714,9500.0,498.1934749474721,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.8226329530730198,0,5.423116,0.003115,0.0762933,0.0029032,5.5076225,5.5112566,5.423116,1.0846232,3352404,3352404,103,976.1114144548413
29,fixed_demand,2,3877727251,1900,40,120,76000,1980,5.0,moderate,0.3530342463085203,9500.0,514.6075961521456,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.811306294397012,0,6.1926043,0.0028142,0.0856274,0.0029427,6.2855984,6.288591,6.1926043,1.23852086,3352404,3352404,102,927.9455291065134
30,fixed_demand,0,2111962630,2600,40,120,104000,2680,5.0,moderate,0.35880117181018684,13000.0,504.11803977579035,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.8140888850302853,0,5.6385663,0.0032208,0.1179376,0.0038302,5.7654638,5.7691928,5.6385663,1.12771326,4587204,4587204,104,866.9136273124634
31,fixed_demand,1,770257276,2600,40,120,104000,2680,5.0,moderate,0.3528071461647582,13000.0,494.5016497483113,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,5.8155933,5.8155933,1.1631186599999999,4587204,4587204,0,nan
32,fixed_demand,2,3003733432,2600,40,120,104000,2680,5.0,moderate,0.3553137667853086,13000.0,498.876151087432,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.858911501477819,0,6.051632,0.0044141,0.1066084,0.004018,6.1697751,6.1749934,6.051632,1.2103264,4587204,4587204,109,1154.843242845164
33,fixed_demand,0,252066635,3500,40,120,140000,3580,5.0,moderate,0.36395742206004733,17500.0,494.62810590369884,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,11.6815373,11.6815373,2.33630746,6174804,6174804,0,nan
34,fixed_demand,1,1521766915,3500,40,120,140000,3580,5.0,moderate,0.36090327371389225,17499.999999999996,509.974356560536,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,7.6033155,7.6033155,1.5206631,6174804,6174804,0,nan
35,fixed_demand,2,3302177829,3500,40,120,140000,3580,5.0,moderate,0.36717385277299336,17500.0,498.04025235954595,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,5.9736022,5.9736022,1.19472044,6174804,6174804,0,nan
36,fixed_demand,0,562030,4800,40,120,192000,4880,5.0,moderate,0.36019261961393045,23999.999999999996,492.5511347865711,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,25.5480982,25.5480982,5.10961964,8468004,8468004,0,nan
37,fixed_demand,1,768405197,4800,40,120,192000,4880,5.0,moderate,0.35901496096339647,24000.000000000004,512.3662874938228,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,10.2456526,10.2456526,2.04913052,8468004,8468004,0,nan
38,fixed_demand,2,1760268752,4800,40,120,192000,4880,5.0,moderate,0.3661833048966821,24000.0,510.30729473491465,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,16.5988887,16.5988887,3.31977774,8468004,8468004,0,nan
39,joint_growth,0,3025954593,60,13,40,780,86,5.0,moderate,0.27637670381138696,299.99999999999994,165.64919071375283,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,5,0.7748864,5.73e-05,0.0009148,0.0003105,0.776237,0.7767155,0.7748864,0.15497728,34824,34824,34,625.33464461421
40,joint_growth,1,1312588486,60,13,40,780,86,5.0,moderate,0.3060140227904221,300.0,167.24048508723618,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,41,1.1587975,7.82e-05,0.001255,0.0003138,1.1605556,1.1610022,1.1587975,0.23175949999999998,34824,34824,34,457.33619656858497
41,joint_growth,2,596191044,60,13,40,780,86,5.0,moderate,0.3608362325266054,300.0,176.39328097037009,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,0.4329473,8.11e-05,0.0014281,0.0001781,0.4347636,0.4350211,0.4329473,0.08658946,34824,34824,34,419.49533270484136
42,joint_growth,0,2513899073,90,20,60,1800,130,5.0,moderate,0.3802465574451979,450.00000000000006,257.2842730824455,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,0.6149355,0.0001116,0.0022247,0.0004315,0.6178464,0.6184847,0.6149355,0.12298709999999999,79964,79964,52,497.2320777514176
43,joint_growth,1,73234185,90,20,60,1800,130,5.0,moderate,0.41061879964447695,450.0,255.9833654952548,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,13,2.4895641,0.0001378,0.0023331,0.0002293,2.4924241,2.4927794,2.4895641,0.49791282,79964,79964,51,610.2300635500571
44,joint_growth,2,690197136,90,20,60,1800,130,5.0,moderate,0.3475991489029163,450.0,249.9016916250643,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,20,3.3753267,0.0001807,0.0024135,0.0004563,3.3790044,3.3796996,3.3753267,0.67506534,79964,79964,51,548.202020747549
45,joint_growth,0,1088611942,135,30,90,4050,195,5.0,moderate,0.3909778802199563,675.0,390.5410989070788,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,1.8490785,0.0002774,0.0056229,0.0007016,1.8558947,1.8570378,1.8490785,0.3698157,179344,179344,75,631.4690170376872
46,joint_growth,1,358374478,135,30,90,4050,195,5.0,moderate,0.37544032430258395,675.0,380.0634874002929,True,True,True,True,False,optimal_certified,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,9,3.379374,0.0002087,0.0057368,0.0008028,3.386253,3.3874598,3.379374,0.6758748,179344,179344,77,678.0881182703712
47,joint_growth,2,483327851,135,30,90,4050,195,5.0,moderate,0.42215185591560495,675.0000000000001,369.2915900747763,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0058917758440004365,166,5.0300073,0.0002544,0.0062057,0.0006073,5.0372942,5.0388797,5.0300073,1.00600146,179344,179344,74,620.2676440181541
48,joint_growth,0,3651900363,195,43,130,8385,281,5.0,moderate,0.34001166914317127,974.9999999999998,544.3267812299977,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.01993361299526718,0,5.0685903,0.0008518,0.0111319,0.0005021,5.0815864,5.0825664,5.0685903,1.01371806,370584,370584,111,827.0280190525016
49,joint_growth,1,3716350659,195,43,130,8385,281,5.0,moderate,0.3117155749668236,974.9999999999999,533.4017396121449,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.005838070521192972,0,5.0542646,0.0002908,0.0083924,0.0009677,5.0640752,5.0653563,5.0542646,1.01085292,370584,370584,107,836.560685518269
50,joint_growth,2,1044634169,195,43,130,8385,281,5.0,moderate,0.35999369132119424,975.0,538.8494302225836,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.010872705538341725,0,5.069567,0.000472,0.0116469,0.0004882,5.0824925,5.0837654,5.069567,1.0139134,370584,370584,106,805.0762589387804
51,joint_growth,0,2791572954,285,63,190,17955,411,5.0,moderate,0.3493669400034053,1424.9999999999998,791.2760850968057,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.0352946557251706,0,5.1872142,0.0005897,0.0186897,0.0011333,5.2078737,5.2104259,5.1872142,1.03744284,792424,792424,164,1001.6146010944808
52,joint_growth,1,456846065,285,63,190,17955,411,5.0,moderate,0.3686190263423203,1425.0,787.4785509396344,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.023310775403161284,0,5.114799,0.0007365,0.0242328,0.0006901,5.1408151,5.142876,5.114799,1.0229598,792424,792424,159,1012.5307503519849
53,joint_growth,2,921199312,285,63,190,17955,411,5.0,moderate,0.3389947848522,1425.0000000000005,798.4649733844968,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.031580715278103993,0,5.1299313,0.000836,0.0176102,0.0018008,5.1505799,5.1544847,5.1299313,1.02598626,792424,792424,162,1203.7138531865462
54,joint_growth,0,794055103,420,93,280,39060,606,5.0,moderate,0.3387955485618366,2100.0,1167.1307931775543,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6237023965511296,0,5.2640824,0.0014127,0.0449768,0.0019504,5.3130575,5.3170268,5.2640824,1.0528164800000002,1722184,1722184,265,2935.298123094753
55,joint_growth,1,2660435847,420,93,280,39060,606,5.0,moderate,0.3539201297285411,2100.0,1169.0039657046107,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.651351900993275,0,5.3351737,0.0008465,0.0374284,0.001533,5.3753261,5.3783574,5.3351737,1.06703474,1722184,1722184,272,3590.9005384203715
56,joint_growth,2,2618548445,420,93,280,39060,606,5.0,moderate,0.35637591002972135,2100.0,1161.467134036886,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6383679138555353,0,5.3590905,0.0014174,0.0443386,0.0021458,5.4073724,5.4128075,5.3590905,1.0718181,1722184,1722184,262,3203.04807559702
57,joint_growth,0,932764138,630,140,420,88200,910,5.0,moderate,0.3645565369158966,3150.0,1727.4971265692911,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.725132928992193,0,5.5171544,0.0025864,0.1031242,0.0025182,5.6259393,5.6301536,5.5171544,1.10343088,3886124,3886124,383,4652.283826520997
58,joint_growth,1,2483552624,630,140,420,88200,910,5.0,moderate,0.36870356920421765,3150.0,1744.9286806852188,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.7335838398794596,0,7.5152049,0.00204,0.0949966,0.003554,7.6162842,7.6242004,7.5152049,1.50304098,3886124,3886124,389,4882.412880516498
59,joint_growth,2,1056673166,630,140,420,88200,910,5.0,moderate,0.365532802653721,3150.0,1754.6311386961452,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6734913741690819,0,5.4984532,0.0029522,0.0965107,0.001479,5.6003249,5.6042633,5.4984532,1.09969064,3886124,3886124,390,4352.8143857354025
60,joint_growth,0,2438405969,930,207,620,192510,1344,5.0,moderate,0.35069670999336944,4650.0,2558.716016722573,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,8.4365905,8.4365905,1.6873181,8478304,8478304,0,nan
61,joint_growth,1,3973049809,930,207,620,192510,1344,5.0,moderate,0.3646390365784759,4650.000000000001,2572.281385459274,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,7.1707499,7.1707499,1.43414998,8478304,8478304,0,nan
62,joint_growth,2,495288955,930,207,620,192510,1344,5.0,moderate,0.34342183114013286,4650.0,2567.4935069225194,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,7.9609183,7.9609183,1.5921836600000001,8478304,8478304,0,nan
63,joint_growth,0,1190129812,1350,300,900,405000,1950,5.0,moderate,0.3629391634634347,6750.000000000001,3720.895357959531,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,29.4146606,29.4146606,5.88293212,17831404,17831404,0,nan
64,joint_growth,1,3123120638,1350,300,900,405000,1950,5.0,moderate,0.3669599511210088,6750.0,3764.1437501745245,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,29.3011769,29.3011769,5.860235380000001,17831404,17831404,0,nan
65,joint_growth,2,3317203273,1350,300,900,405000,1950,5.0,moderate,0.3675180646992061,6750.0,3717.6536202068123,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,31.0794959,31.0794959,6.21589918,17831404,17831404,0,nan
66,joint_growth,0,3943733725,1800,400,1200,720000,2600,5.0,moderate,0.3662682967334284,9000.0,5008.064644527461,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,76.6348393,76.6348393,15.32696786,31695204,31695204,0,nan
67,joint_growth,1,416891136,1800,400,1200,720000,2600,5.0,moderate,0.3605220713225625,9000.0,4993.255820172816,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,75.2965612,75.2965612,15.05931224,31695204,31695204,0,nan
68,joint_growth,2,2605582524,1800,400,1200,720000,2600,5.0,moderate,0.3696503867808214,9000.0,4986.555239271111,True,False,False,False,True,timeout_without_incumbent,1,El MILP no encontró una coalición factible. status=1; message=Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None),nan,0,nan,nan,nan,nan,nan,76.983973,76.983973,15.396794600000002,31695204,31695204,0,nan
69,timeout_probe,0,1008191628,400,40,120,16000,480,2.0,moderate,0.33424554498290027,2000.0,493.2905178869359,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6454123820620296,0,2.1265977,0.0011091,0.0165578,0.0013095,2.1461051,2.1478834,2.1265977,1.06329885,706404,706404,107,1278.0334503190265
70,timeout_probe,1,1534936791,400,40,120,16000,480,2.0,moderate,0.3590313477814312,2000.0,493.5901188043639,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.42795552333093867,0,2.1053348,0.0005374,0.0141329,0.0007786,2.1211717,2.1225735,2.1053348,1.0526674,706404,706404,104,784.2979673717919
71,timeout_probe,2,2549542646,400,40,120,16000,480,2.0,moderate,0.35244425455700973,2000.0000000000005,504.2476476115408,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.6803107991132702,0,2.1110443,0.0005211,0.0186534,0.0021816,2.1326876,2.134476,2.1110443,1.05552215,706404,706404,109,1496.214336374517
72,timeout_probe,0,1710514085,400,40,120,16000,480,5.0,moderate,0.34949162332255945,2000.0,506.0591917074843,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.007728907817028487,0,5.0640366,0.0004064,0.0126196,0.0007923,5.0781441,5.0795576,5.0640366,1.0128073199999998,706404,706404,97,507.6776791957525
73,timeout_probe,1,3382565277,400,40,120,16000,480,5.0,moderate,0.34733888453578593,2000.0000000000005,496.92729203860415,True,True,True,False,True,timeout_with_incumbent,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.011262293870146139,0,5.1296402,0.0006744,0.0164085,0.0008202,5.1481324,5.1496589,5.1296402,1.02592804,706404,706404,99,507.9277051991659
