scalar_feasible_rate,wrench_feasible_rate,false_positive_rate,false_positive_given_scalar_rate,assigned_loads,feasible_assigned_loads,infeasible_assigned_loads,feasible_available_loads,relative_feasibility,feasible_coverage,precision_given_assigned,fp_given_assigned,wrench_residual_norm,max_wrench_residual_norm,wrench_residual_feasible_available,max_wrench_residual_feasible_available,wrench_margin,torque_error_nm,force_error_n,slot_coverage_ratio,complementarity_gain,scalar_wrench_success_gap,slot_conflict_count,assignment_valid,travel_distance_m,mean_assigned_travel_distance_m,max_assigned_travel_distance_m,estimated_arrival_time_s,energy_proxy_wh,communication_messages,runtime_ms,score_value,oracle_score_value,signed_score_delta_vs_oracle,oracle_dominance_violation,optimality_gap_vs_wrench_oracle,captured_reward,oracle_reward,assigned_robots,idle_robots,world_id,seed,scenario,method,strict_score,runtime_s,raw_fp_given_assigned,raw_wrench_feasible_rate,raw_closed_distinct,iterations,messages,simplex_error,slot_violation,kkt_residual,complementarity_residual,consensus_error,potential_initial,potential_final,potential_gain,converged,qp_potential,qp_potential_gap,qp_success
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,66.03540014475584,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460020,460020,one_sided_push,smith_price_guarded,0.0,0.06603540014475584,0.0,0.0,False,136,0,1.1102230246251565e-16,0.0,0.0011012742418034338,0.0,0.0,-5.281208890527779,-0.4069687699275606,4.874240120600218,True,-0.4050000000000021,0.0019687699275585113,True
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,55.47480005770922,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460020,460020,one_sided_push,replicator_price_guarded,0.0,0.05547480005770922,0.0,0.0,False,152,0,2.220446049250313e-16,0.0,0.001123343721280928,0.0,0.0,-5.281208890527779,-0.4070282819455168,4.874180608582262,True,-0.4050000000000021,0.0020282819455147427,True
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,196.5228000190109,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460020,460020,one_sided_push,erv_bnn_price_guarded,0.0,0.1965228000190109,0.0,0.0,False,500,0,2.220446049250313e-16,0.0,0.04257763467819033,0.0,0.0,-5.281208890527779,-0.5153255341944064,4.765883356333372,False,-0.4050000000000021,0.11032553419440433,True
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,132.75340013206005,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460021,460021,one_sided_push,wrench_oracle,0.0,0.13275340013206005,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
1.0,0.0,1.0,1.0,1,0,1,0,1.0,1.0,0.0,1.0,0.9000000002095476,0.9000000002095476,0.0,0.0,-0.8500000002095476,4.8789180479908955e-20,54.000000012572855,1.0,0.0,1.0,0,True,5.713833615162015,1.904611205054005,2.753828542511568,4.0520292291197055,34.05288007537557,15,4.8189000226557255,-12.615592445766564,0.0,-12.615592445766564,False,0.2468804783907351,0.0,0.0,3,2,one_sided_push_seed460021,460021,one_sided_push,oracle_scalar_assignment,-12.615592445766564,0.0048189000226557255,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
0.0,0.0,0.0,0.0,1,0,1,0,1.0,1.0,0.0,1.0,0.9000000000000188,0.9000000000000188,0.0,0.0,-0.8500000000000187,5.079365894411486e-13,54.00000000000113,0.3333333333333333,0.0,0.0,0,True,1.0652506558704637,1.0652506558704637,1.0652506558704637,1.637892175204961,6.614067167113797,15,28.414799831807613,-12.24609004145422,0.0,-12.24609004145422,False,0.23964951157444658,0.0,0.0,1,4,one_sided_push_seed460021,460021,one_sided_push,cbba_slots,-12.24609004145422,0.028414799831807613,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
0.0,0.0,0.0,0.0,1,0,1,0,1.0,1.0,0.0,1.0,0.9000000000000188,0.9000000000000188,0.0,0.0,-0.8500000000000187,5.079365894411486e-13,54.00000000000113,0.3333333333333333,0.0,0.0,0,True,1.0652506558704637,1.0652506558704637,1.0652506558704637,1.637892175204961,6.614067167113797,15,22.035200148820877,-12.24609004145422,0.0,-12.24609004145422,False,0.23964951157444658,0.0,0.0,1,4,one_sided_push_seed460021,460021,one_sided_push,wrench_greedy,-12.24609004145422,0.022035200148820877,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,229.22539990395308,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460021,460021,one_sided_push,smith_wrench_pairs_guarded,0.0,0.22922539990395308,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,146.22560003772378,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460021,460021,one_sided_push,uniform_guarded,0.0,0.14622560003772378,0.0,0.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,,,
0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9,0.9,0.0,0.0,-0.85,0.0,54.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,15,8.324500173330307,0.0,0.0,0.0,False,0.0,0.0,0.0,0,5,one_sided_push_seed460021,460021,one_sided_push,nash_pd_exact_unguarded,0.0,0.008324500173330307,0.0,0.0,False,28,0,0.0,0.0,0.0,0.0,0.0,-5.149134313320804,-0.405,4.744134313320804,True,-0.40500000000000075,0.0,True
