world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
8e02412d4ad448e004d009019b8941e89a6ca2bd919f64e88ec9868cb9928d53,05d45a4e1a5e516b34d14ffb6b9f7a713811319a9eb688bd4eef11560c0a0783,independent_loss,4,8,8805,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
010534f4db4ca2b85dd9b2d984bb3df66af317367b16802accb04c34105bdf69,05d45a4e1a5e516b34d14ffb6b9f7a713811319a9eb688bd4eef11560c0a0783,harsh_combined,4,8,8805,1,0.5,1,3,False,0.0,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
05ff33093803305b4d291e9458a0affe594349ab3a8970c533a1c5400aa702c9,c6d81770073a1bc7d584ec2362c196bf5410c512b0c3d6978fcfefa6cb736cce,nominal,4,8,8806,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
9ef30768bb2a7f1789e34e301ce83153959879f7c8bf241c905f0ca7fa7d08d1,c6d81770073a1bc7d584ec2362c196bf5410c512b0c3d6978fcfefa6cb736cce,sparse_radio,4,8,8806,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.0,0.0
e3d25f2e57a9f31974c45de523e777ff8a4fe5cdc27dcae1e0a6ec284f0c5b54,c6d81770073a1bc7d584ec2362c196bf5410c512b0c3d6978fcfefa6cb736cce,bounded_delay,4,8,8806,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
07fa45fd5edc0d9fe16d9930c3f82bb9723b8e9406dc8f219cb2cc18128db26f,c6d81770073a1bc7d584ec2362c196bf5410c512b0c3d6978fcfefa6cb736cce,independent_loss,4,8,8806,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.25,0.0009765625
d9c865b421f2dc93031a484c6f61fe5be906c42baf7a5f40753211b83c3a2f07,c6d81770073a1bc7d584ec2362c196bf5410c512b0c3d6978fcfefa6cb736cce,harsh_combined,4,8,8806,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
08a827349f289f68f2673a5419086f0d1550facb31f30a2def6cbbcf1c5fbe3f,7077ff0bca1159de255ffe791a4709920764e4502c34fd464cb260ab07d1f7f1,nominal,4,8,8807,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
e82d13209ce11ea3b3957e1e04be6544ec76bf68a5e81dd634b560e5dca38b81,7077ff0bca1159de255ffe791a4709920764e4502c34fd464cb260ab07d1f7f1,sparse_radio,4,8,8807,2,1.0,2,2,False,0.0,16,True,True,True,True,True,1,15,True,0.0,0.0
550321afa40a8c17c3268851c24378b89a122f0dff3ff5845cf7e57f1cccfdff,7077ff0bca1159de255ffe791a4709920764e4502c34fd464cb260ab07d1f7f1,bounded_delay,4,8,8807,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
106a2f08216dae7d22def802b83add9127fedd0243a59fb752eb48585c6a063f,7077ff0bca1159de255ffe791a4709920764e4502c34fd464cb260ab07d1f7f1,independent_loss,4,8,8807,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
