method,method_label,scenario,seed,n_robots,world_hash,target_reached,safe_transport_success,any_collision,timeout,numerical_failure,termination_reason,time_to_target_s,final_position_error_m,final_orientation_error_rad,min_clearance_m,raw_barrier_violation_rate,safe_barrier_violation_rate,exec_barrier_violation_rate,guard_intervention_norm,wrench_realization_rmse,saturation_fraction,positive_hamiltonian_delta_rate,mechanical_work_j,force_effort_n2s,messages,runtime_wall_s,steps,max_mechanics_residual,positions_repaired_after_integration
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.985483984752364e-16,0.0,0.0,217.71380014635255,1468.6898753416679,0,0.07987499999580905,188,4.4550802883181196e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,1.9236339038320485e-12,4.589057008035276e-16,0.0,0.0,217.71380014635247,1468.6898753416674,1504,0.08054130000527948,188,7.105427357601002e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,32.699999999999996,0.271101986688713,0.0016612205828843152,1.659206165891018,0.0,0.0,0.0,0.0,4.936482950354065e-16,0.0,0.0,202.26709057629543,1411.6903817796453,0,0.10037679999368265,218,4.37737722704114e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,32.699999999999996,0.271101986688713,0.0016612205828843152,1.659206165891018,0.0,0.0,0.0,1.834995730933787e-12,4.279670006651074e-16,0.0,0.0,202.2670905762954,1411.690381779646,1744,0.09943130001192912,218,7.160723346098895e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,33.6,0.27601015160770315,0.002155999073416126,1.659206165891018,0.0,0.0,0.0,1.821331269545145e-12,6.063132565785613e-16,0.0,0.0,196.09249975473693,1326.6850750055798,1792,0.10188360000029206,224,8.140289677804162e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575101,4,910947e3ae6e83643a4ccafd0a58cf0dafba3b725e4702ea5272140b1f44ad64,1,1,0,0,0,target_reached,35.4,0.2733280823087406,0.0009794166755296985,1.659206165891018,0.0,0.0,0.0,1.749821414195557e-12,5.964926245099723e-16,0.0,0.0,189.7535281497788,1284.5724694684006,2832,0.11410500001511537,236,1.464821375527116e-14,0
pose_pd_raw,Pose PD (RAW),open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,28.2,0.2680680116647417,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,7.152118989115666e-16,0.0,0.0,213.97380028653674,1443.4672493311743,0,0.08161930000642315,188,4.4012467058513894e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,28.2,0.2680680116647417,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,7.152118989115666e-16,0.0,0.0,213.97380028653674,1443.4672493311743,0,0.07586769998306409,188,4.4012467058513894e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,28.2,0.2680680116647417,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,7.152118989115666e-16,0.0,0.0,213.97380028653674,1443.4672493311743,0,0.07375329997739755,188,4.4012467058513894e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,28.2,0.2680680116647417,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,1.83029972203543e-12,6.956294062856749e-16,0.0,0.0,213.97380028653677,1443.4672493311748,1504,0.08876059998874553,188,7.993605777301127e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,32.55,0.2743159286128897,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,0.0,5.403760944156974e-16,0.0,0.0,198.7949595048783,1387.5165804184842,0,0.09495129997958429,217,4.2303430916421444e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,32.55,0.2743159286128897,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,1.7497888862472266e-12,4.809302648896895e-16,0.0,0.0,198.79495950487845,1387.5165804184842,1736,0.11017920001177117,217,1.4210854715202004e-14,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,33.6,0.273607940948016,0.002155999073416126,1.659206165891018,0.0,0.0,0.0,1.811261883502553e-12,3.6991575711287206e-16,0.0,0.0,192.72684625604106,1303.9453652663285,1792,0.09710489999270067,224,6.217248937900877e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575102,4,538a1f6f8c57331afb6acc695d2eb5ba670fa538ea57536db673e7a0f91d26e8,1,1,0,0,0,target_reached,35.25,0.27606458761634883,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.6367587439251899e-12,5.132546802142507e-16,0.0,0.0,186.49509871186547,1262.5506667937623,2820,0.11019269999815151,235,8.140289677804162e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,28.2,0.2660349983806002,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.098088472707105e-16,0.0,0.0,210.76950798069927,1421.8574446552936,0,0.07984829999622889,188,4.72741255285714e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,28.2,0.2660349983806002,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.098088472707105e-16,0.0,0.0,210.76950798069927,1421.8574446552936,0,0.08719590000691824,188,4.72741255285714e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,28.2,0.2660349983806002,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,0.0,6.098088472707105e-16,0.0,0.0,210.76950798069927,1421.8574446552936,0,0.08161150000523776,188,4.72741255285714e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,28.2,0.2660349983806002,0.0005036848439412545,1.659206165891018,0.0,0.0,0.0,1.7219042220802184e-12,4.762052527588244e-16,0.0,0.0,210.7695079806994,1421.8574446552934,1504,0.09031199998571537,188,7.105427357601002e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,32.55,0.2722355314649503,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,0.0,5.509972151138738e-16,0.0,0.0,195.82151198225986,1366.8077712310687,0,0.1064302000158932,217,4.149858623982322e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,32.55,0.2722355314649503,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,1.7818436346516558e-12,4.618283856052488e-16,0.0,0.0,195.82151198225978,1366.8077712310683,1736,0.08147999999346212,217,6.661338147750939e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,33.449999999999996,0.2769928722086824,0.002248225917458324,1.659206165891018,0.0,0.0,0.0,1.8334925918992866e-12,5.909191324049164e-16,0.0,0.0,189.84175268215944,1284.4600124891315,1784,0.10173819999909028,223,7.993605777301127e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575103,4,5177c26711481643051ac24d970dda798dded4326d23f7010fd8e61514d92007,1,1,0,0,0,target_reached,35.25,0.2739709287332191,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.6766831667108383e-12,5.368059583067255e-16,0.0,0.0,183.7046353129293,1243.6856316749204,2820,0.11297480002394877,235,8.379058453350832e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,28.2,0.2688560931075686,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.448965372135255e-16,0.0,0.0,215.22247951645298,1451.888364412393,0,0.08127629998489283,188,4.2927602711964753e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,28.2,0.2688560931075686,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.448965372135255e-16,0.0,0.0,215.22247951645298,1451.888364412393,0,0.07423490000655875,188,4.2927602711964753e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,28.2,0.2688560931075686,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.448965372135255e-16,0.0,0.0,215.22247951645298,1451.888364412393,0,0.06875909998780116,188,4.2927602711964753e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,28.2,0.2688560931075686,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,1.817393993610973e-12,4.611325158361726e-16,0.0,0.0,215.22247951645306,1451.8883644123932,1504,0.07855960002052598,188,6.4047456679787536e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,32.55,0.2751223780339486,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,0.0,5.049175445073001e-16,0.0,0.0,199.95368093487298,1395.586586972356,0,0.09714130000793375,217,4.294195698568815e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,32.55,0.2751223780339486,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,1.7729271881001773e-12,4.954424811978859e-16,0.0,0.0,199.9536809348729,1395.5865869723557,1736,0.09459769999375567,217,7.32410687763558e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,33.6,0.2744123089870497,0.002155999073416126,1.659206165891018,0.0,0.0,0.0,1.886793941646819e-12,4.672777558179322e-16,0.0,0.0,193.8505419181916,1311.5375054561753,1792,0.09218539998983033,224,7.588599744428075e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575104,4,0565e34052195fcbc28d3b4c09ef16f0c4a081eb3920a2ae05dbb2d6b9ee733c,1,1,0,0,0,target_reached,35.25,0.2768761778436586,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.8084648178121691e-12,4.745532920938396e-16,0.0,0.0,187.58251314086297,1269.9021738587207,2820,0.09955929999705404,235,7.993605777301127e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,28.2,0.26681921899379035,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.741492003310742e-16,0.0,0.0,212.00265127595134,1430.1737851150021,0,0.08124800000223331,188,4.304001185740126e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,28.2,0.26681921899379035,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.741492003310742e-16,0.0,0.0,212.00265127595134,1430.1737851150021,0,0.08925960000487976,188,4.304001185740126e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,28.2,0.26681921899379035,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,0.0,5.741492003310742e-16,0.0,0.0,212.00265127595134,1430.1737851150021,0,0.06928629998583347,188,4.304001185740126e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,28.2,0.26681921899379035,0.0005036848439412545,1.6592061658910175,0.0,0.0,0.0,2.012555651324776e-12,5.049832105235855e-16,0.0,0.0,212.0026512759512,1430.1737851150012,1504,0.0873223000089638,188,7.944109290391274e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,32.55,0.2730380300712119,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,0.0,8.183278624449674e-16,0.0,0.0,196.9658167230042,1374.7773716185206,0,0.08974249998573214,217,4.360449514452545e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,32.55,0.2730380300712119,0.0017720898376625271,1.659206165891018,0.0,0.0,0.0,1.8493551120063248e-12,7.120458486514674e-16,0.0,0.0,196.9658167230042,1374.7773716185209,1736,0.0939547999878414,217,6.661338147750939e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,33.6,0.272333340561163,0.002155999073416126,1.659206165891018,0.0,0.0,0.0,1.8318930441007586e-12,5.385004316048142e-16,0.0,0.0,190.952994701872,1291.9605101771247,1792,0.09327189999748953,224,6.4047456679787536e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575105,4,1eac3d39e4c08ba3996b2c057b1e8f95a0f67e3b936810109066b72d861ffd46,1,1,0,0,0,target_reached,35.25,0.27477854296079984,0.0010453402401080503,1.659206165891018,0.0,0.0,0.0,1.8111558766461966e-12,4.207887989239799e-16,0.0,0.0,184.77852024682747,1250.9456720679614,2820,0.10736910000559874,235,6.661338147750939e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,0.6624999999999986,0.0,0.0,0.0,0.0,8.873748797518368e-16,0.0,0.0,212.54441882745175,717.4504066533926,0,0.1109534999995958,188,4.719897452640404e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,0.6624999999999986,0.0,0.0,0.0,0.0,8.873748797518368e-16,0.0,0.0,212.54441882745175,717.4504066533926,0,0.10962489998200908,188,4.719897452640404e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,0.6624999999999986,0.0,0.0,0.0,0.0,8.873748797518368e-16,0.0,0.0,212.54441882745175,717.4504066533926,0,0.11007779999636114,188,4.719897452640404e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,28.2,0.2671630296118707,0.0005036848439412545,0.6624999999999986,0.0,0.0,0.0,1.7486324936051834e-12,7.435079305846755e-16,0.0,0.0,212.54441882745172,717.4504066533925,3008,0.11614300002111122,188,6.4047456679787536e-15,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,32.55,0.2733898539549383,0.0017720898376625271,0.662499999999998,0.0,0.0,0.0,0.0,6.343209888852738e-16,0.0,0.0,197.46855406095216,689.8239881048717,0,0.1370873000123538,217,4.574765547600603e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,32.55,0.2733898539549383,0.0017720898376625271,0.662499999999998,0.0,0.0,0.0,1.939749026694348e-12,8.100724251296514e-16,0.0,0.0,197.46855406095213,689.8239881048718,3472,0.12928049999754876,217,9.900301382973689e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,33.6,0.2726842564153356,0.002155999073416126,0.6624999999999984,0.0,0.0,0.0,1.8017925079746081e-12,4.851197571046834e-16,0.0,0.0,191.44053532313734,648.2146433383492,3584,0.13155570000526495,224,5.995204332975845e-15,0
centralized_preview_reference,Centralized preview reference,open_nominal,575100,8,703aef86d37f66e7fd2709d43725fc3f311c2a17da3ebccbca23fdff782b0946,1,1,0,0,0,target_reached,35.25,0.2751326095870626,0.0010453402401080503,0.6624999999999984,0.0,0.0,0.0,1.893388754347856e-12,7.079340572090037e-16,0.0,0.0,185.25031943956623,627.6337451290374,13160,0.15544999999110587,235,8.379058453350832e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,0.6624999999999982,0.0,0.0,0.0,0.0,1.0587468678668387e-15,0.0,0.0,217.71380014635258,734.8816067335299,0,0.11146539999754168,188,4.4012467058513894e-14,0
apf_wrench_heuristic,APF wrench heuristic,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,0.6624999999999982,0.0,0.0,0.0,0.0,1.0587468678668387e-15,0.0,0.0,217.71380014635258,734.8816067335299,0,0.11280139998416416,188,4.4012467058513894e-14,0
velocity_obstacle_proxy,Velocity-obstacle proxy,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,0.6624999999999982,0.0,0.0,0.0,0.0,1.0587468678668387e-15,0.0,0.0,217.71380014635258,734.8816067335299,0,0.1130884000158403,188,4.4012467058513894e-14,0
cbf_wrench_local,Local CBF wrench filter,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,28.2,0.2704215831031699,0.0005036848439412545,0.6624999999999982,0.0,0.0,0.0,1.920126625378463e-12,8.631065580293003e-16,0.0,0.0,217.71380014635247,734.8816067335297,3008,0.10473749999073334,188,1.0087767680389479e-14,0
damped_hamiltonian_raw,Damped Hamiltonian (RAW),open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,32.699999999999996,0.271101986688713,0.0016612205828843152,0.6624999999999982,0.0,0.0,0.0,0.0,5.247317082682612e-16,0.0,0.0,202.26709057629543,706.5298163526868,0,0.13738249999005347,218,4.4043822151864207e-14,0
damped_hamiltonian_cbf,Damped Hamiltonian + CBF,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,32.699999999999996,0.271101986688713,0.0016612205828843152,0.6624999999999982,0.0,0.0,0.0,1.831416209318302e-12,4.2163795399319843e-16,0.0,0.0,202.2670905762954,706.5298163526868,3488,0.1401657999958843,218,7.216449660063518e-15,0
distributed_preview_cbf,Distributed preview-CBF,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,33.6,0.27601015160770315,0.002155999073416126,0.6624999999999982,0.0,0.0,0.0,1.821344363082036e-12,8.459947331367931e-16,0.0,0.0,196.09249975473696,663.9299154144707,3584,0.12507159999222495,224,1.432144669219779e-14,0
centralized_preview_reference,Centralized preview reference,open_nominal,575101,8,fb5e3fa11bc03c4ca7c0f889d7a865e4e980d5ec53988c04ef8f3c3cb61c5b6f,1,1,0,0,0,target_reached,35.4,0.2733280823087406,0.0009794166755296985,0.6624999999999984,0.0,0.0,0.0,1.7142669038565432e-12,4.791351137976216e-16,0.0,0.0,189.75352814977873,642.8523355432495,13216,0.15284080000128597,236,7.160723346098895e-15,0
pose_pd_raw,Pose PD (RAW),open_nominal,575102,8,6ab3ece4783a4f2e70dd068fb343c2c054cd01ccc0c445bc316c830c21cd5fd1,1,1,0,0,0,target_reached,28.2,0.2680680116647417,0.0005036848439412545,0.662499999999998,0.0,0.0,0.0,0.0,9.420644777155872e-16,0.0,0.0,213.97380028653674,722.2702937282825,0,0.11550419998820871,188,4.498308043807662e-14,0
